ward,precinct,total,ERIC W. SOLIS,ERIC W. SOLIS Percent,JOHN J. CULLERTON,JOHN J. CULLERTON Percent,precinct_id
2,49,248,50,20.16,198,79.84,02049
27,13,658,153,23.25,505,76.75,27013
27,16,302,81,26.82,221,73.18,27016
27,37,1,0,0.0,1,100.0,27037
27,38,618,232,37.54,386,62.46,27038
27,42,406,135,33.25,271,66.75,27042
32,7,441,157,35.6,284,64.4,32007
32,8,621,241,38.81,380,61.19,32008
32,18,438,146,33.33,292,66.67,32018
32,23,468,142,30.34,326,69.66,32023
32,32,560,195,34.82,365,65.18,32032
32,39,517,160,30.95,357,69.05,32039
32,48,508,185,36.42,323,63.58,32048
42,1,524,142,27.1,382,72.9,42001
42,2,362,144,39.78,218,60.22,42002
42,3,378,111,29.37,267,70.63,42003
42,4,400,149,37.25,251,62.75,42004
42,5,350,97,27.71,253,72.29,42005
42,6,627,178,28.39,449,71.61,42006
42,7,450,145,32.22,305,67.78,42007
42,8,561,159,28.34,402,71.66,42008
42,9,576,201,34.9,375,65.1,42009
42,10,657,227,34.55,430,65.45,42010
42,11,454,183,40.31,271,59.69,42011
42,13,606,200,33.0,406,67.0,42013
42,15,497,152,30.58,345,69.42,42015
42,16,750,249,33.2,501,66.8,42016
42,17,375,116,30.93,259,69.07,42017
42,19,638,258,40.44,380,59.56,42019
42,20,294,100,34.01,194,65.99,42020
42,22,229,57,24.89,172,75.11,42022
42,23,509,173,33.99,336,66.01,42023
42,24,524,165,31.49,359,68.51,42024
42,25,404,127,31.44,277,68.56,42025
42,27,509,169,33.2,340,66.8,42027
42,28,401,108,26.93,293,73.07,42028
42,29,435,160,36.78,275,63.22,42029
42,30,648,227,35.03,421,64.97,42030
42,31,243,91,37.45,152,62.55,42031
42,33,450,123,27.33,327,72.67,42033
42,34,399,124,31.08,275,68.92,42034
42,35,279,73,26.16,206,73.84,42035
42,36,705,266,37.73,439,62.27,42036
42,37,410,119,29.02,291,70.98,42037
42,38,504,188,37.3,316,62.7,42038
42,40,262,57,21.76,205,78.24,42040
42,41,363,118,32.51,245,67.49,42041
42,42,429,146,34.03,283,65.97,42042
42,43,437,153,35.01,284,64.99,42043
42,44,512,179,34.96,333,65.04,42044
42,45,405,117,28.89,288,71.11,42045
42,46,275,72,26.18,203,73.82,42046
42,47,249,86,34.54,163,65.46,42047
42,50,439,182,41.46,257,58.54,42050
42,51,377,161,42.71,216,57.29,42051
42,52,245,86,35.1,159,64.9,42052
42,53,251,82,32.67,169,67.33,42053
42,54,358,141,39.39,217,60.61,42054
42,55,457,174,38.07,283,61.93,42055
42,56,365,142,38.9,223,61.1,42056
42,57,155,40,25.81,115,74.19,42057
42,58,518,133,25.68,385,74.32,42058
42,59,254,64,25.2,190,74.8,42059
42,60,326,113,34.66,213,65.34,42060
42,61,256,98,38.28,158,61.72,42061
42,62,286,84,29.37,202,70.63,42062
42,63,356,123,34.55,233,65.45,42063
42,64,200,70,35.0,130,65.0,42064
42,65,415,169,40.72,246,59.28,42065
42,66,341,111,32.55,230,67.45,42066
43,1,478,193,40.38,285,59.62,43001
43,2,376,113,30.05,263,69.95,43002
43,3,494,172,34.82,322,65.18,43003
43,4,371,107,28.84,264,71.16,43004
43,5,512,191,37.3,321,62.7,43005
43,6,396,131,33.08,265,66.92,43006
43,7,408,133,32.6,275,67.4,43007
43,8,430,116,26.98,314,73.02,43008
43,9,431,174,40.37,257,59.63,43009
43,11,375,152,40.53,223,59.47,43011
43,12,560,184,32.86,376,67.14,43012
43,14,312,85,27.24,227,72.76,43014
43,15,418,149,35.65,269,64.35,43015
43,16,453,156,34.44,297,65.56,43016
43,17,601,243,40.43,358,59.57,43017
43,18,114,39,34.21,75,65.79,43018
43,19,516,171,33.14,345,66.86,43019
43,20,570,178,31.23,392,68.77,43020
43,21,368,131,35.6,237,64.4,43021
43,22,328,116,35.37,212,64.63,43022
43,23,396,120,30.3,276,69.7,43023
43,24,375,149,39.73,226,60.27,43024
43,25,413,109,26.39,304,73.61,43025
43,26,351,120,34.19,231,65.81,43026
43,27,393,115,29.26,278,70.74,43027
43,28,445,189,42.47,256,57.53,43028
43,29,307,104,33.88,203,66.12,43029
43,30,326,120,36.81,206,63.19,43030
43,32,345,117,33.91,228,66.09,43032
43,33,431,177,41.07,254,58.93,43033
43,34,387,131,33.85,256,66.15,43034
43,35,560,204,36.43,356,63.57,43035
43,36,429,170,39.63,259,60.37,43036
43,37,368,125,33.97,243,66.03,43037
43,38,415,151,36.39,264,63.61,43038
43,39,418,153,36.6,265,63.4,43039
43,40,437,119,27.23,318,72.77,43040
43,41,444,171,38.51,273,61.49,43041
43,42,362,130,35.91,232,64.09,43042
43,43,463,172,37.15,291,62.85,43043
43,44,585,190,32.48,395,67.52,43044
43,45,438,155,35.39,283,64.61,43045
43,46,533,198,37.15,335,62.85,43046
43,47,443,134,30.25,309,69.75,43047
43,48,547,203,37.11,344,62.89,43048
43,49,331,122,36.86,209,63.14,43049
43,50,335,131,39.1,204,60.9,43050
43,51,374,116,31.02,258,68.98,43051
