ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
4,9,267,216,80.9,51,19.1,04009
4,10,290,217,74.83,73,25.17,04010
4,11,152,117,76.97,35,23.03,04011
4,12,139,107,76.98,32,23.02,04012
4,13,250,205,82.0,45,18.0,04013
4,14,109,85,77.98,24,22.02,04014
4,15,55,40,72.73,15,27.27,04015
4,16,157,124,78.98,33,21.02,04016
4,17,241,205,85.06,36,14.94,04017
4,18,135,92,68.15,43,31.85,04018
4,19,45,38,84.44,7,15.56,04019
4,20,51,38,74.51,13,25.49,04020
4,21,184,150,81.52,34,18.48,04021
4,22,205,169,82.44,36,17.56,04022
4,23,126,102,80.95,24,19.05,04023
4,24,155,117,75.48,38,24.52,04024
4,25,169,134,79.29,35,20.71,04025
4,26,140,106,75.71,34,24.29,04026
4,27,168,138,82.14,30,17.86,04027
4,28,186,168,90.32,18,9.68,04028
4,29,161,127,78.88,34,21.12,04029
4,30,50,37,74.0,13,26.0,04030
4,31,41,29,70.73,12,29.27,04031
4,32,238,204,85.71,34,14.29,04032
4,33,67,57,85.07,10,14.93,04033
4,34,152,128,84.21,24,15.79,04034
4,35,110,83,75.45,27,24.55,04035
4,36,152,123,80.92,29,19.08,04036
4,37,84,60,71.43,24,28.57,04037
4,38,247,197,79.76,50,20.24,04038
4,39,69,54,78.26,15,21.74,04039
4,40,151,126,83.44,25,16.56,04040
4,41,176,140,79.55,36,20.45,04041
4,42,148,112,75.68,36,24.32,04042
4,43,147,123,83.67,24,16.33,04043
4,44,124,104,83.87,20,16.13,04044
4,45,217,176,81.11,41,18.89,04045
4,46,153,117,76.47,36,23.53,04046
4,47,303,240,79.21,63,20.79,04047
4,48,261,215,82.38,46,17.62,04048
4,49,22,17,77.27,5,22.73,04049
4,50,120,97,80.83,23,19.17,04050
4,51,197,170,86.29,27,13.71,04051
4,52,31,25,80.65,6,19.35,04052
4,53,49,37,75.51,12,24.49,04053
4,54,117,99,84.62,18,15.38,04054
4,55,131,110,83.97,21,16.03,04055
5,1,148,115,77.7,33,22.3,05001
5,2,163,125,76.69,38,23.31,05002
5,3,178,148,83.15,30,16.85,05003
5,4,208,157,75.48,51,24.52,05004
5,5,137,103,75.18,34,24.82,05005
