ward,precinct,total,ANNAZETTE R. COLLINS,ANNAZETTE R. COLLINS Percent,precinct_id
1,28,0,0,0.0,01028
24,4,279,279,100.0,24004
24,17,291,291,100.0,24017
24,18,200,200,100.0,24018
24,20,310,310,100.0,24020
24,32,311,311,100.0,24032
24,33,209,209,100.0,24033
24,39,350,350,100.0,24039
24,42,260,260,100.0,24042
24,50,378,378,100.0,24050
24,52,331,331,100.0,24052
26,2,230,230,100.0,26002
27,2,106,106,100.0,27002
27,3,294,294,100.0,27003
27,15,197,197,100.0,27015
27,19,286,286,100.0,27019
27,22,230,230,100.0,27022
27,24,308,308,100.0,27024
27,25,199,199,100.0,27025
27,29,227,227,100.0,27029
27,31,237,237,100.0,27031
27,34,238,238,100.0,27034
27,40,229,229,100.0,27040
27,44,331,331,100.0,27044
27,45,346,346,100.0,27045
27,46,268,268,100.0,27046
27,47,125,125,100.0,27047
27,48,356,356,100.0,27048
28,6,403,403,100.0,28006
28,7,390,390,100.0,28007
28,9,344,344,100.0,28009
28,11,251,251,100.0,28011
28,13,300,300,100.0,28013
28,16,238,238,100.0,28016
28,18,366,366,100.0,28018
28,22,276,276,100.0,28022
28,23,338,338,100.0,28023
28,24,174,174,100.0,28024
28,25,219,219,100.0,28025
28,26,277,277,100.0,28026
28,28,265,265,100.0,28028
28,30,211,211,100.0,28030
28,31,270,270,100.0,28031
28,37,238,238,100.0,28037
28,38,265,265,100.0,28038
28,41,163,163,100.0,28041
28,43,200,200,100.0,28043
28,46,216,216,100.0,28046
28,55,176,176,100.0,28055
28,56,274,274,100.0,28056
28,57,274,274,100.0,28057
28,59,220,220,100.0,28059
29,2,142,142,100.0,29002
29,4,0,0,0.0,29004
29,6,122,122,100.0,29006
29,7,205,205,100.0,29007
29,17,193,193,100.0,29017
29,24,450,450,100.0,29024
29,25,519,519,100.0,29025
29,30,275,275,100.0,29030
29,32,317,317,100.0,29032
29,36,361,361,100.0,29036
29,39,191,191,100.0,29039
29,49,436,436,100.0,29049
29,52,243,243,100.0,29052
30,20,27,27,100.0,30020
30,41,104,104,100.0,30041
31,8,79,79,100.0,31008
36,26,497,497,100.0,36026
36,43,378,378,100.0,36043
37,2,20,20,100.0,37002
37,3,188,188,100.0,37003
37,6,481,481,100.0,37006
37,8,395,395,100.0,37008
37,10,467,467,100.0,37010
37,13,393,393,100.0,37013
37,14,348,348,100.0,37014
37,16,485,485,100.0,37016
37,17,292,292,100.0,37017
37,19,285,285,100.0,37019
37,28,319,319,100.0,37028
37,30,338,338,100.0,37030
37,31,444,444,100.0,37031
37,34,416,416,100.0,37034
37,35,53,53,100.0,37035
37,38,382,382,100.0,37038
37,40,312,312,100.0,37040
37,41,385,385,100.0,37041
37,43,439,439,100.0,37043
37,44,374,374,100.0,37044
37,47,62,62,100.0,37047
37,49,285,285,100.0,37049
