ward,precinct,total,SUSANA MENDOZA,SUSANA MENDOZA Percent,precinct_id
11,14,152,152,100.0,11014
11,17,0,0,0.0,11017
11,23,266,266,100.0,11023
11,27,93,93,100.0,11027
11,31,78,78,100.0,11031
12,2,147,147,100.0,12002
12,3,145,145,100.0,12003
12,4,173,173,100.0,12004
12,5,79,79,100.0,12005
12,6,209,209,100.0,12006
12,9,134,134,100.0,12009
12,11,170,170,100.0,12011
12,12,145,145,100.0,12012
12,13,14,14,100.0,12013
12,16,184,184,100.0,12016
12,21,189,189,100.0,12021
12,23,144,144,100.0,12023
12,24,19,19,100.0,12024
12,29,273,273,100.0,12029
12,30,202,202,100.0,12030
14,6,181,181,100.0,14006
14,7,186,186,100.0,14007
14,8,153,153,100.0,14008
14,12,100,100,100.0,14012
14,22,201,201,100.0,14022
14,26,175,175,100.0,14026
16,42,280,280,100.0,16042
22,2,260,260,100.0,22002
22,3,274,274,100.0,22003
22,4,244,244,100.0,22004
22,5,344,344,100.0,22005
22,6,265,265,100.0,22006
22,9,289,289,100.0,22009
22,10,354,354,100.0,22010
22,11,249,249,100.0,22011
22,13,223,223,100.0,22013
22,14,148,148,100.0,22014
22,16,266,266,100.0,22016
22,17,290,290,100.0,22017
22,18,212,212,100.0,22018
22,22,0,0,0.0,22022
22,23,262,262,100.0,22023
22,24,261,261,100.0,22024
22,25,267,267,100.0,22025
22,26,165,165,100.0,22026
22,27,322,322,100.0,22027
