ward,precinct,total,JULIE HAMOS,JULIE HAMOS Percent,precinct_id
49,1,333,333,100.0,49001
49,5,370,370,100.0,49005
49,6,346,346,100.0,49006
49,8,254,254,100.0,49008
49,11,344,344,100.0,49011
49,14,331,331,100.0,49014
49,15,327,327,100.0,49015
49,16,310,310,100.0,49016
49,19,301,301,100.0,49019
49,20,360,360,100.0,49020
49,28,354,354,100.0,49028
49,30,303,303,100.0,49030
49,33,267,267,100.0,49033
49,34,311,311,100.0,49034
49,35,296,296,100.0,49035
50,1,275,275,100.0,50001
50,2,305,305,100.0,50002
50,3,250,250,100.0,50003
50,4,261,261,100.0,50004
