ward,precinct,total,ROBERT DALLAS,ROBERT DALLAS Percent,DANNY K. DAVIS,DANNY K. DAVIS Percent,precinct_id
1,6,223,58,26.01,165,73.99,01006
1,28,69,4,5.8,65,94.2,01028
1,34,79,13,16.46,66,83.54,01034
1,35,84,25,29.76,59,70.24,01035
2,1,556,161,28.96,395,71.04,02001
2,3,303,15,4.95,288,95.05,02003
2,4,142,3,2.11,139,97.89,02004
2,5,251,4,1.59,247,98.41,02005
2,7,398,0,0.0,398,100.0,02007
2,8,399,77,19.3,322,80.7,02008
2,9,200,6,3.0,194,97.0,02009
2,10,221,5,2.26,216,97.74,02010
2,11,599,118,19.7,481,80.3,02011
2,15,151,1,0.66,150,99.34,02015
2,17,307,6,1.95,301,98.05,02017
2,19,174,2,1.15,172,98.85,02019
2,22,690,171,24.78,519,75.22,02022
2,23,279,5,1.79,274,98.21,02023
2,25,190,18,9.47,172,90.53,02025
2,26,265,5,1.89,260,98.11,02026
2,27,63,4,6.35,59,93.65,02027
2,28,369,3,0.81,366,99.19,02028
2,30,266,3,1.13,263,98.87,02030
2,32,233,8,3.43,225,96.57,02032
2,34,316,10,3.16,306,96.84,02034
2,35,155,38,24.52,117,75.48,02035
2,36,226,2,0.88,224,99.12,02036
2,37,491,125,25.46,366,74.54,02037
2,38,341,18,5.28,323,94.72,02038
2,39,440,24,5.45,416,94.55,02039
2,40,449,55,12.25,394,87.75,02040
2,41,127,2,1.57,125,98.43,02041
2,42,156,17,10.9,139,89.1,02042
2,43,481,119,24.74,362,75.26,02043
2,49,237,50,21.1,187,78.9,02049
2,51,278,7,2.52,271,97.48,02051
2,52,596,93,15.6,503,84.4,02052
2,53,210,5,2.38,205,97.62,02053
2,54,516,128,24.81,388,75.19,02054
3,1,450,4,0.89,446,99.11,03001
3,4,192,4,2.08,188,97.92,03004
3,5,252,5,1.98,247,98.02,03005
3,7,62,1,1.61,61,98.39,03007
3,8,237,4,1.69,233,98.31,03008
3,10,386,12,3.11,374,96.89,03010
3,11,202,2,0.99,200,99.01,03011
3,12,286,7,2.45,279,97.55,03012
3,13,103,3,2.91,100,97.09,03013
3,14,161,8,4.97,153,95.03,03014
3,15,234,4,1.71,230,98.29,03015
3,16,395,4,1.01,391,98.99,03016
3,17,264,3,1.14,261,98.86,03017
3,18,203,2,0.99,201,99.01,03018
3,19,210,4,1.9,206,98.1,03019
3,20,115,3,2.61,112,97.39,03020
3,21,177,3,1.69,174,98.31,03021
3,22,203,2,0.99,201,99.01,03022
3,26,194,2,1.03,192,98.97,03026
3,29,96,1,1.04,95,98.96,03029
3,30,305,3,0.98,302,99.02,03030
3,31,283,3,1.06,280,98.94,03031
3,32,376,6,1.6,370,98.4,03032
3,35,272,4,1.47,268,98.53,03035
3,37,264,2,0.76,262,99.24,03037
3,40,275,8,2.91,267,97.09,03040
3,43,19,1,5.26,18,94.74,03043
3,46,41,0,0.0,41,100.0,03046
3,47,204,2,0.98,202,99.02,03047
3,48,218,3,1.38,215,98.62,03048
3,49,250,3,1.2,247,98.8,03049
3,50,254,8,3.15,246,96.85,03050
3,52,343,6,1.75,337,98.25,03052
4,8,456,6,1.32,450,98.68,04008
11,12,26,5,19.23,21,80.77,11012
11,13,329,60,18.24,269,81.76,11013
11,33,0,0,0.0,0,0.0,11033
11,34,204,21,10.29,183,89.71,11034
11,35,29,4,13.79,25,86.21,11035
11,37,61,14,22.95,47,77.05,11037
11,38,411,68,16.55,343,83.45,11038
11,39,386,60,15.54,326,84.46,11039
11,40,324,46,14.2,278,85.8,11040
11,41,248,44,17.74,204,82.26,11041
11,42,197,24,12.18,173,87.82,11042
11,43,345,64,18.55,281,81.45,11043
11,45,246,47,19.11,199,80.89,11045
11,46,218,16,7.34,202,92.66,11046
11,47,290,45,15.52,245,84.48,11047
11,48,147,31,21.09,116,78.91,11048
11,49,225,37,16.44,188,83.56,11049
11,50,161,21,13.04,140,86.96,11050
11,52,301,57,18.94,244,81.06,11052
11,53,254,51,20.08,203,79.92,11053
11,54,0,0,0.0,0,0.0,11054
12,19,0,0,0.0,0,0.0,12019
16,16,173,7,4.05,166,95.95,16016
16,17,74,0,0.0,74,100.0,16017
16,18,221,3,1.36,218,98.64,16018
20,4,389,9,2.31,380,97.69,20004
20,8,291,6,2.06,285,97.94,20008
20,15,335,5,1.49,330,98.51,20015
20,21,258,5,1.94,253,98.06,20021
20,27,217,2,0.92,215,99.08,20027
20,31,241,3,1.24,238,98.76,20031
20,48,233,8,3.43,225,96.57,20048
22,7,284,5,1.76,279,98.24,22007
22,8,366,5,1.37,361,98.63,22008
22,12,237,7,2.95,230,97.05,22012
22,20,302,3,0.99,299,99.01,22020
22,21,323,5,1.55,318,98.45,22021
22,28,2,1,50.0,1,50.0,22028
24,1,385,5,1.3,380,98.7,24001
24,2,357,4,1.12,353,98.88,24002
24,3,306,6,1.96,300,98.04,24003
24,4,302,3,0.99,299,99.01,24004
24,5,297,7,2.36,290,97.64,24005
24,6,364,4,1.1,360,98.9,24006
24,7,332,7,2.11,325,97.89,24007
24,8,326,7,2.15,319,97.85,24008
24,9,329,10,3.04,319,96.96,24009
24,10,290,6,2.07,284,97.93,24010
24,11,210,4,1.9,206,98.1,24011
24,12,244,3,1.23,241,98.77,24012
24,13,277,6,2.17,271,97.83,24013
24,14,420,8,1.9,412,98.1,24014
24,15,269,3,1.12,266,98.88,24015
24,16,314,5,1.59,309,98.41,24016
24,17,306,5,1.63,301,98.37,24017
24,18,209,4,1.91,205,98.09,24018
24,19,279,2,0.72,277,99.28,24019
24,20,332,4,1.2,328,98.8,24020
24,21,224,3,1.34,221,98.66,24021
24,22,349,5,1.43,344,98.57,24022
24,23,327,1,0.31,326,99.69,24023
24,24,253,7,2.77,246,97.23,24024
24,25,316,5,1.58,311,98.42,24025
24,26,369,9,2.44,360,97.56,24026
24,27,213,13,6.1,200,93.9,24027
24,28,364,4,1.1,360,98.9,24028
24,29,373,5,1.34,368,98.66,24029
24,30,283,6,2.12,277,97.88,24030
24,31,308,5,1.62,303,98.38,24031
24,32,348,2,0.57,346,99.43,24032
24,33,251,4,1.59,247,98.41,24033
24,34,234,6,2.56,228,97.44,24034
24,35,365,3,0.82,362,99.18,24035
24,36,299,2,0.67,297,99.33,24036
24,37,314,6,1.91,308,98.09,24037
24,38,333,11,3.3,322,96.7,24038
24,39,379,5,1.32,374,98.68,24039
24,40,378,7,1.85,371,98.15,24040
24,41,266,5,1.88,261,98.12,24041
24,42,280,2,0.71,278,99.29,24042
24,43,297,10,3.37,287,96.63,24043
24,44,95,1,1.05,94,98.95,24044
24,45,288,2,0.69,286,99.31,24045
24,46,351,7,1.99,344,98.01,24046
24,47,263,4,1.52,259,98.48,24047
24,48,78,0,0.0,78,100.0,24048
24,49,407,10,2.46,397,97.54,24049
24,50,405,5,1.23,400,98.77,24050
24,51,429,9,2.1,420,97.9,24051
24,52,350,4,1.14,346,98.86,24052
