ward,precinct,total,DENNIS J. DRISCOLL,DENNIS J. DRISCOLL Percent,JAN SCHAKOWSKY,JAN SCHAKOWSKY Percent,precinct_id
39,1,323,124,38.39,199,61.61,39001
39,3,344,140,40.7,204,59.3,39003
39,15,200,89,44.5,111,55.5,39015
39,20,312,128,41.03,184,58.97,39020
39,23,157,56,35.67,101,64.33,39023
39,26,340,130,38.24,210,61.76,39026
39,28,184,76,41.3,108,58.7,39028
39,32,372,50,13.44,322,86.56,39032
39,34,325,67,20.62,258,79.38,39034
39,36,377,79,20.95,298,79.05,39036
39,37,414,145,35.02,269,64.98,39037
39,38,470,171,36.38,299,63.62,39038
39,40,228,95,41.67,133,58.33,39040
39,42,271,122,45.02,149,54.98,39042
39,47,225,73,32.44,152,67.56,39047
40,3,309,38,12.3,271,87.7,40003
40,4,365,59,16.16,306,83.84,40004
40,7,280,44,15.71,236,84.29,40007
40,8,392,56,14.29,336,85.71,40008
40,9,190,39,20.53,151,79.47,40009
40,11,268,32,11.94,236,88.06,40011
40,12,234,30,12.82,204,87.18,40012
40,13,303,42,13.86,261,86.14,40013
40,15,347,82,23.63,265,76.37,40015
40,16,335,35,10.45,300,89.55,40016
40,18,292,51,17.47,241,82.53,40018
40,22,218,30,13.76,188,86.24,40022
40,26,294,38,12.93,256,87.07,40026
40,27,402,64,15.92,338,84.08,40027
40,28,292,49,16.78,243,83.22,40028
40,33,269,48,17.84,221,82.16,40033
40,35,347,73,21.04,274,78.96,40035
40,37,452,87,19.25,365,80.75,40037
40,39,236,47,19.92,189,80.08,40039
40,41,408,56,13.73,352,86.27,40041
40,42,439,84,19.13,355,80.87,40042
40,43,358,55,15.36,303,84.64,40043
40,45,401,79,19.7,322,80.3,40045
40,46,332,41,12.35,291,87.65,40046
40,47,352,54,15.34,298,84.66,40047
41,1,282,103,36.52,179,63.48,41001
41,2,428,184,42.99,244,57.01,41002
41,3,343,125,36.44,218,63.56,41003
41,4,379,154,40.63,225,59.37,41004
41,5,316,123,38.92,193,61.08,41005
41,6,328,138,42.07,190,57.93,41006
41,7,511,195,38.16,316,61.84,41007
41,8,358,139,38.83,219,61.17,41008
41,9,315,99,31.43,216,68.57,41009
41,10,364,145,39.84,219,60.16,41010
41,11,303,123,40.59,180,59.41,41011
41,12,363,111,30.58,252,69.42,41012
41,14,405,147,36.3,258,63.7,41014
41,15,254,100,39.37,154,60.63,41015
41,16,364,122,33.52,242,66.48,41016
41,17,346,134,38.73,212,61.27,41017
41,18,275,110,40.0,165,60.0,41018
41,19,445,145,32.58,300,67.42,41019
41,20,344,123,35.76,221,64.24,41020
41,21,289,115,39.79,174,60.21,41021
41,22,313,134,42.81,179,57.19,41022
41,23,349,117,33.52,232,66.48,41023
41,24,326,134,41.1,192,58.9,41024
41,30,316,113,35.76,203,64.24,41030
41,31,361,134,37.12,227,62.88,41031
41,34,312,133,42.63,179,57.37,41034
41,35,336,128,38.1,208,61.9,41035
41,36,318,117,36.79,201,63.21,41036
41,37,404,156,38.61,248,61.39,41037
41,39,394,160,40.61,234,59.39,41039
41,40,275,103,37.45,172,62.55,41040
41,41,375,154,41.07,221,58.93,41041
41,42,325,129,39.69,196,60.31,41042
41,43,281,101,35.94,180,64.06,41043
41,44,286,105,36.71,181,63.29,41044
41,45,314,94,29.94,220,70.06,41045
41,46,296,117,39.53,179,60.47,41046
41,47,335,152,45.37,183,54.63,41047
41,49,260,125,48.08,135,51.92,41049
41,50,320,101,31.56,219,68.44,41050
41,51,219,81,36.99,138,63.01,41051
41,52,352,142,40.34,210,59.66,41052
41,53,391,191,48.85,200,51.15,41053
41,54,296,110,37.16,186,62.84,41054
41,56,382,156,40.84,226,59.16,41056
41,57,353,145,41.08,208,58.92,41057
41,58,244,109,44.67,135,55.33,41058
41,59,305,121,39.67,184,60.33,41059
41,60,293,114,38.91,179,61.09,41060
41,61,400,159,39.75,241,60.25,41061
41,62,342,120,35.09,222,64.91,41062
41,63,297,118,39.73,179,60.27,41063
41,64,364,166,45.6,198,54.4,41064
41,65,274,109,39.78,165,60.22,41065
41,66,363,148,40.77,215,59.23,41066
44,1,363,74,20.39,289,79.61,44001
44,2,388,108,27.84,280,72.16,44002
44,3,374,68,18.18,306,81.82,44003
44,4,412,86,20.87,326,79.13,44004
44,5,584,145,24.83,439,75.17,44005
44,6,542,153,28.23,389,71.77,44006
44,7,453,131,28.92,322,71.08,44007
44,8,594,143,24.07,451,75.93,44008
44,10,532,80,15.04,452,84.96,44010
44,12,353,95,26.91,258,73.09,44012
44,15,571,127,22.24,444,77.76,44015
44,17,507,115,22.68,392,77.32,44017
44,18,203,59,29.06,144,70.94,44018
44,19,356,77,21.63,279,78.37,44019
44,21,591,163,27.58,428,72.42,44021
44,22,293,74,25.26,219,74.74,44022
44,23,478,103,21.55,375,78.45,44023
44,24,466,135,28.97,331,71.03,44024
44,26,458,99,21.62,359,78.38,44026
44,28,375,120,32.0,255,68.0,44028
44,30,517,110,21.28,407,78.72,44030
44,31,600,202,33.67,398,66.33,44031
44,32,325,63,19.38,262,80.62,44032
44,33,697,136,19.51,561,80.49,44033
44,34,366,107,29.23,259,70.77,44034
44,35,357,79,22.13,278,77.87,44035
44,36,379,113,29.82,266,70.18,44036
44,37,609,130,21.35,479,78.65,44037
44,41,592,141,23.82,451,76.18,44041
44,42,463,113,24.41,350,75.59,44042
44,44,564,106,18.79,458,81.21,44044
44,45,617,200,32.41,417,67.59,44045
44,46,327,80,24.46,247,75.54,44046
44,48,322,77,23.91,245,76.09,44048
44,49,350,87,24.86,263,75.14,44049
44,50,0,0,0.0,0,0.0,44050
45,1,229,93,40.61,136,59.39,45001
45,2,320,117,36.56,203,63.44,45002
45,3,423,92,21.75,331,78.25,45003
45,4,354,154,43.5,200,56.5,45004
45,5,214,84,39.25,130,60.75,45005
45,6,310,95,30.65,215,69.35,45006
45,9,354,120,33.9,234,66.1,45009
45,11,342,124,36.26,218,63.74,45011
45,13,353,92,26.06,261,73.94,45013
45,15,342,104,30.41,238,69.59,45015
45,17,312,106,33.97,206,66.03,45017
45,19,405,119,29.38,286,70.62,45019
45,21,372,116,31.18,256,68.82,45021
45,22,288,87,30.21,201,69.79,45022
45,23,287,90,31.36,197,68.64,45023
45,27,351,94,26.78,257,73.22,45027
45,30,335,110,32.84,225,67.16,45030
45,32,332,120,36.14,212,63.86,45032
45,33,402,140,34.83,262,65.17,45033
45,34,297,84,28.28,213,71.72,45034
45,36,411,166,40.39,245,59.61,45036
45,44,345,128,37.1,217,62.9,45044
45,49,340,107,31.47,233,68.53,45049
45,51,353,115,32.58,238,67.42,45051
45,52,344,102,29.65,242,70.35,45052
45,54,366,132,36.07,234,63.93,45054
45,57,346,108,31.21,238,68.79,45057
45,58,213,75,35.21,138,64.79,45058
46,1,569,104,18.28,465,81.72,46001
46,2,380,46,12.11,334,87.89,46002
46,3,531,79,14.88,452,85.12,46003
46,4,295,44,14.92,251,85.08,46004
46,5,514,154,29.96,360,70.04,46005
46,6,311,29,9.32,282,90.68,46006
46,7,639,146,22.85,493,77.15,46007
46,8,432,43,9.95,389,90.05,46008
46,9,417,99,23.74,318,76.26,46009
46,10,578,142,24.57,436,75.43,46010
46,11,467,60,12.85,407,87.15,46011
46,12,413,58,14.04,355,85.96,46012
46,13,697,202,28.98,495,71.02,46013
46,14,318,30,9.43,288,90.57,46014
46,15,477,91,19.08,386,80.92,46015
46,16,587,100,17.04,487,82.96,46016
46,17,565,130,23.01,435,76.99,46017
46,18,434,97,22.35,337,77.65,46018
46,19,412,47,11.41,365,88.59,46019
46,20,413,31,7.51,382,92.49,46020
46,21,164,30,18.29,134,81.71,46021
