ward,precinct,total,EILEEN LYONS,EILEEN LYONS Percent,MARK ERTLER,MARK ERTLER Percent,precinct_id
23,1,367,147,40.05,220,59.95,23001
23,3,353,160,45.33,193,54.67,23003
23,11,415,149,35.9,266,64.1,23011
23,12,378,104,27.51,274,72.49,23012
23,13,437,117,26.77,320,73.23,23013
23,15,372,160,43.01,212,56.99,23015
23,16,398,122,30.65,276,69.35,23016
23,17,441,159,36.05,282,63.95,23017
23,18,319,127,39.81,192,60.19,23018
23,26,363,146,40.22,217,59.78,23026
23,27,341,136,39.88,205,60.12,23027
23,36,461,166,36.01,295,63.99,23036
23,40,353,137,38.81,216,61.19,23040
23,42,29,11,37.93,18,62.07,23042
23,43,354,149,42.09,205,57.91,23043
23,46,357,125,35.01,232,64.99,23046
23,47,411,146,35.52,265,64.48,23047
23,52,422,141,33.41,281,66.59,23052
23,58,460,187,40.65,273,59.35,23058
23,60,420,166,39.52,254,60.48,23060
