ward,precinct,total,ROD R. BLAGOJEVICH,ROD R. BLAGOJEVICH Percent,MATT BEAUCHAMP,MATT BEAUCHAMP Percent,precinct_id
26,30,0,0,0.0,0,0.0,26030
29,2,34,31,91.18,3,8.82,29002
29,6,111,102,91.89,9,8.11,29006
29,53,194,185,95.36,9,4.64,29053
29,54,220,204,92.73,16,7.27,29054
30,1,348,304,87.36,44,12.64,30001
30,2,287,255,88.85,32,11.15,30002
30,3,401,345,86.03,56,13.97,30003
30,4,376,357,94.95,19,5.05,30004
30,5,181,166,91.71,15,8.29,30005
30,6,256,230,89.84,26,10.16,30006
30,7,263,236,89.73,27,10.27,30007
30,8,265,236,89.06,29,10.94,30008
30,9,366,340,92.9,26,7.1,30009
30,10,269,246,91.45,23,8.55,30010
30,11,282,260,92.2,22,7.8,30011
30,12,342,296,86.55,46,13.45,30012
30,13,217,193,88.94,24,11.06,30013
30,14,227,206,90.75,21,9.25,30014
30,15,361,323,89.47,38,10.53,30015
30,16,206,188,91.26,18,8.74,30016
30,18,299,283,94.65,16,5.35,30018
30,19,263,245,93.16,18,6.84,30019
30,21,82,76,92.68,6,7.32,30021
30,22,256,221,86.33,35,13.67,30022
30,23,107,100,93.46,7,6.54,30023
30,24,164,148,90.24,16,9.76,30024
30,25,267,244,91.39,23,8.61,30025
30,26,287,267,93.03,20,6.97,30026
30,27,241,219,90.87,22,9.13,30027
30,28,311,271,87.14,40,12.86,30028
30,29,300,267,89.0,33,11.0,30029
30,30,284,261,91.9,23,8.1,30030
30,31,262,241,91.98,21,8.02,30031
30,32,316,270,85.44,46,14.56,30032
30,33,184,170,92.39,14,7.61,30033
30,34,446,406,91.03,40,8.97,30034
30,35,243,217,89.3,26,10.7,30035
30,36,166,154,92.77,12,7.23,30036
30,37,238,222,93.28,16,6.72,30037
30,38,271,239,88.19,32,11.81,30038
30,39,257,235,91.44,22,8.56,30039
30,40,257,236,91.83,21,8.17,30040
30,41,116,111,95.69,5,4.31,30041
30,42,248,232,93.55,16,6.45,30042
30,43,219,203,92.69,16,7.31,30043
30,44,358,314,87.71,44,12.29,30044
30,45,227,212,93.39,15,6.61,30045
31,6,72,65,90.28,7,9.72,31006
31,18,62,57,91.94,5,8.06,31018
31,31,171,153,89.47,18,10.53,31031
31,32,142,129,90.85,13,9.15,31032
32,7,414,344,83.09,70,16.91,32007
32,8,542,451,83.21,91,16.79,32008
32,9,587,511,87.05,76,12.95,32009
32,10,367,311,84.74,56,15.26,32010
32,13,332,288,86.75,44,13.25,32013
32,15,378,313,82.8,65,17.2,32015
32,18,388,317,81.7,71,18.3,32018
32,19,545,482,88.44,63,11.56,32019
32,20,0,0,0.0,0,0.0,32020
32,21,478,410,85.77,68,14.23,32021
32,22,417,361,86.57,56,13.43,32022
32,23,412,336,81.55,76,18.45,32023
32,25,367,308,83.92,59,16.08,32025
32,27,370,309,83.51,61,16.49,32027
32,32,501,424,84.63,77,15.37,32032
32,37,390,330,84.62,60,15.38,32037
32,38,527,452,85.77,75,14.23,32038
32,39,442,383,86.65,59,13.35,32039
32,40,483,403,83.44,80,16.56,32040
32,41,583,505,86.62,78,13.38,32041
32,42,454,391,86.12,63,13.88,32042
32,43,569,486,85.41,83,14.59,32043
32,44,305,273,89.51,32,10.49,32044
32,46,59,49,83.05,10,16.95,32046
32,48,445,373,83.82,72,16.18,32048
33,1,272,253,93.01,19,6.99,33001
33,5,207,189,91.3,18,8.7,33005
33,6,26,23,88.46,3,11.54,33006
33,7,429,387,90.21,42,9.79,33007
33,8,414,371,89.61,43,10.39,33008
33,9,428,379,88.55,49,11.45,33009
33,10,418,377,90.19,41,9.81,33010
33,11,366,327,89.34,39,10.66,33011
33,12,408,372,91.18,36,8.82,33012
33,14,46,44,95.65,2,4.35,33014
33,16,375,342,91.2,33,8.8,33016
33,17,353,318,90.08,35,9.92,33017
33,18,152,133,87.5,19,12.5,33018
33,22,265,250,94.34,15,5.66,33022
