ward,precinct,total,LOUIS I. LANG,LOUIS I. LANG Percent,precinct_id
39,32,346,346,100.0,39032
39,34,264,264,100.0,39034
39,36,19,19,100.0,39036
39,38,0,0,0.0,39038
39,40,157,157,100.0,39040
39,42,184,184,100.0,39042
39,47,160,160,100.0,39047
40,4,308,308,100.0,40004
40,7,242,242,100.0,40007
40,9,183,183,100.0,40009
40,12,201,201,100.0,40012
40,18,240,240,100.0,40018
40,28,218,218,100.0,40028
40,35,282,282,100.0,40035
40,37,369,369,100.0,40037
40,39,208,208,100.0,40039
48,38,296,296,100.0,48038
49,4,261,261,100.0,49004
50,5,317,317,100.0,50005
50,6,232,232,100.0,50006
50,7,302,302,100.0,50007
50,8,309,309,100.0,50008
50,9,223,223,100.0,50009
50,10,214,214,100.0,50010
50,11,285,285,100.0,50011
50,12,208,208,100.0,50012
50,13,203,203,100.0,50013
50,14,170,170,100.0,50014
50,15,320,320,100.0,50015
50,16,185,185,100.0,50016
50,17,265,265,100.0,50017
50,18,231,231,100.0,50018
50,19,249,249,100.0,50019
50,20,295,295,100.0,50020
50,21,289,289,100.0,50021
50,22,289,289,100.0,50022
50,23,0,0,0.0,50023
50,24,270,270,100.0,50024
50,25,302,302,100.0,50025
50,26,209,209,100.0,50026
50,27,117,117,100.0,50027
50,28,224,224,100.0,50028
50,29,315,315,100.0,50029
50,30,243,243,100.0,50030
50,31,107,107,100.0,50031
50,32,245,245,100.0,50032
50,33,186,186,100.0,50033
50,34,276,276,100.0,50034
50,35,323,323,100.0,50035
50,36,294,294,100.0,50036
50,37,309,309,100.0,50037
50,38,184,184,100.0,50038
50,39,221,221,100.0,50039
50,40,267,267,100.0,50040
50,41,355,355,100.0,50041
50,42,360,360,100.0,50042
50,43,279,279,100.0,50043
50,44,289,289,100.0,50044
50,45,297,297,100.0,50045
50,46,254,254,100.0,50046
