ward,precinct,total,MAURA SLATTERY BOYLE,MAURA SLATTERY BOYLE Percent,precinct_id
2,28,3,3,100.0,02028
2,32,0,0,0.0,02032
3,36,33,33,100.0,03036
3,47,6,6,100.0,03047
3,51,32,32,100.0,03051
11,1,133,133,100.0,11001
11,2,128,128,100.0,11002
11,3,166,166,100.0,11003
11,4,188,188,100.0,11004
11,5,111,111,100.0,11005
11,6,181,181,100.0,11006
11,7,109,109,100.0,11007
11,8,141,141,100.0,11008
11,9,159,159,100.0,11009
11,10,110,110,100.0,11010
11,11,155,155,100.0,11011
11,14,63,63,100.0,11014
11,15,0,0,0.0,11015
11,16,155,155,100.0,11016
11,17,190,190,100.0,11017
11,18,125,125,100.0,11018
11,19,144,144,100.0,11019
11,20,233,233,100.0,11020
11,21,286,286,100.0,11021
11,22,93,93,100.0,11022
11,23,113,113,100.0,11023
11,24,271,271,100.0,11024
11,25,125,125,100.0,11025
11,26,184,184,100.0,11026
11,27,45,45,100.0,11027
11,29,168,168,100.0,11029
11,30,127,127,100.0,11030
11,31,35,35,100.0,11031
11,35,182,182,100.0,11035
11,36,78,78,100.0,11036
11,37,416,416,100.0,11037
11,38,250,250,100.0,11038
11,40,192,192,100.0,11040
11,41,137,137,100.0,11041
11,44,146,146,100.0,11044
11,50,70,70,100.0,11050
11,51,0,0,0.0,11051
11,52,219,219,100.0,11052
12,1,58,58,100.0,12001
12,2,60,60,100.0,12002
12,3,48,48,100.0,12003
12,4,69,69,100.0,12004
12,5,22,22,100.0,12005
12,6,54,54,100.0,12006
12,7,71,71,100.0,12007
12,8,69,69,100.0,12008
12,9,48,48,100.0,12009
12,10,34,34,100.0,12010
12,11,58,58,100.0,12011
12,12,59,59,100.0,12012
12,13,48,48,100.0,12013
12,14,77,77,100.0,12014
12,15,64,64,100.0,12015
12,16,54,54,100.0,12016
12,17,35,35,100.0,12017
12,18,51,51,100.0,12018
12,19,62,62,100.0,12019
12,20,74,74,100.0,12020
12,21,91,91,100.0,12021
12,22,64,64,100.0,12022
12,23,47,47,100.0,12023
12,24,27,27,100.0,12024
12,25,57,57,100.0,12025
12,26,62,62,100.0,12026
12,27,38,38,100.0,12027
12,28,57,57,100.0,12028
12,29,104,104,100.0,12029
12,30,77,77,100.0,12030
14,5,93,93,100.0,14005
14,6,77,77,100.0,14006
14,7,80,80,100.0,14007
14,8,73,73,100.0,14008
14,10,43,43,100.0,14010
14,11,81,81,100.0,14011
14,12,39,39,100.0,14012
14,14,70,70,100.0,14014
14,15,47,47,100.0,14015
14,16,95,95,100.0,14016
14,17,62,62,100.0,14017
14,18,65,65,100.0,14018
14,19,96,96,100.0,14019
14,20,99,99,100.0,14020
14,21,107,107,100.0,14021
14,22,78,78,100.0,14022
14,23,59,59,100.0,14023
14,24,88,88,100.0,14024
14,25,97,97,100.0,14025
14,26,70,70,100.0,14026
14,29,79,79,100.0,14029
14,30,87,87,100.0,14030
14,31,63,63,100.0,14031
14,32,99,99,100.0,14032
14,33,82,82,100.0,14033
14,34,70,70,100.0,14034
14,36,102,102,100.0,14036
14,37,71,71,100.0,14037
14,38,80,80,100.0,14038
14,39,76,76,100.0,14039
14,40,62,62,100.0,14040
14,41,90,90,100.0,14041
14,42,49,49,100.0,14042
14,46,83,83,100.0,14046
14,47,153,153,100.0,14047
14,48,89,89,100.0,14048
15,6,96,96,100.0,15006
15,9,104,104,100.0,15009
15,11,134,134,100.0,15011
15,22,133,133,100.0,15022
15,24,129,129,100.0,15024
15,29,123,123,100.0,15029
15,30,96,96,100.0,15030
15,38,96,96,100.0,15038
15,48,84,84,100.0,15048
16,1,49,49,100.0,16001
16,2,86,86,100.0,16002
16,4,26,26,100.0,16004
16,7,71,71,100.0,16007
16,11,113,113,100.0,16011
16,13,60,60,100.0,16013
16,21,69,69,100.0,16021
16,23,79,79,100.0,16023
16,32,26,26,100.0,16032
16,41,58,58,100.0,16041
16,42,78,78,100.0,16042
22,2,81,81,100.0,22002
22,3,87,87,100.0,22003
22,4,74,74,100.0,22004
22,5,104,104,100.0,22005
22,6,83,83,100.0,22006
22,9,87,87,100.0,22009
22,10,103,103,100.0,22010
22,11,81,81,100.0,22011
22,13,75,75,100.0,22013
22,14,51,51,100.0,22014
22,16,86,86,100.0,22016
22,17,79,79,100.0,22017
22,18,72,72,100.0,22018
22,19,66,66,100.0,22019
22,22,0,0,0.0,22022
22,23,80,80,100.0,22023
22,24,80,80,100.0,22024
22,25,97,97,100.0,22025
22,26,56,56,100.0,22026
22,27,95,95,100.0,22027
22,29,53,53,100.0,22029
23,23,94,94,100.0,23023
24,10,1,1,100.0,24010
24,44,29,29,100.0,24044
24,53,70,70,100.0,24053
25,1,291,291,100.0,25001
25,2,174,174,100.0,25002
25,5,109,109,100.0,25005
25,6,185,185,100.0,25006
25,7,88,88,100.0,25007
25,8,96,96,100.0,25008
25,9,143,143,100.0,25009
25,11,121,121,100.0,25011
25,12,63,63,100.0,25012
25,13,93,93,100.0,25013
25,14,0,0,0.0,25014
25,15,91,91,100.0,25015
25,17,109,109,100.0,25017
25,19,108,108,100.0,25019
25,20,118,118,100.0,25020
25,22,101,101,100.0,25022
25,23,104,104,100.0,25023
28,52,0,0,0.0,28052
42,12,92,92,100.0,42012
42,32,113,113,100.0,42032
