ward,precinct,total,MITCHELL A. KULWIN,MITCHELL A. KULWIN Percent,JOSEPH M. LYONS,JOSEPH M. LYONS Percent,precinct_id
33,14,342,49,14.33,293,85.67,33014
33,18,169,29,17.16,140,82.84,33018
38,22,331,88,26.59,243,73.41,38022
38,42,9,2,22.22,7,77.78,38042
38,45,373,85,22.79,288,77.21,38045
39,1,329,110,33.43,219,66.57,39001
39,2,380,85,22.37,295,77.63,39002
39,3,364,100,27.47,264,72.53,39003
39,4,255,73,28.63,182,71.37,39004
39,5,314,77,24.52,237,75.48,39005
39,6,675,169,25.04,506,74.96,39006
39,7,329,58,17.63,271,82.37,39007
39,8,303,55,18.15,248,81.85,39008
39,9,380,75,19.74,305,80.26,39009
39,10,243,37,15.23,206,84.77,39010
39,11,328,59,17.99,269,82.01,39011
39,12,216,37,17.13,179,82.87,39012
39,14,319,68,21.32,251,78.68,39014
39,15,219,72,32.88,147,67.12,39015
39,16,279,69,24.73,210,75.27,39016
39,17,311,60,19.29,251,80.71,39017
39,18,337,53,15.73,284,84.27,39018
39,20,318,97,30.5,221,69.5,39020
39,26,362,112,30.94,250,69.06,39026
39,33,411,99,24.09,312,75.91,39033
39,35,341,84,24.63,257,75.37,39035
39,36,386,62,16.06,324,83.94,39036
39,37,443,128,28.89,315,71.11,39037
39,38,498,137,27.51,361,72.49,39038
39,39,159,35,22.01,124,77.99,39039
39,41,92,17,18.48,75,81.52,39041
39,43,407,110,27.03,297,72.97,39043
39,44,377,66,17.51,311,82.49,39044
39,45,375,103,27.47,272,72.53,39045
39,48,229,42,18.34,187,81.66,39048
39,49,222,45,20.27,177,79.73,39049
40,1,255,59,23.14,196,76.86,40001
40,2,237,55,23.21,182,76.79,40002
40,5,291,46,15.81,245,84.19,40005
40,10,328,82,25.0,246,75.0,40010
40,15,349,67,19.2,282,80.8,40015
40,17,154,39,25.32,115,74.68,40017
40,19,259,64,24.71,195,75.29,40019
40,20,233,55,23.61,178,76.39,40020
40,24,195,41,21.03,154,78.97,40024
40,25,217,57,26.27,160,73.73,40025
40,29,270,63,23.33,207,76.67,40029
40,30,260,53,20.38,207,79.62,40030
40,31,273,78,28.57,195,71.43,40031
40,32,216,54,25.0,162,75.0,40032
40,34,205,35,17.07,170,82.93,40034
40,36,326,59,18.1,267,81.9,40036
40,38,180,26,14.44,154,85.56,40038
40,44,232,48,20.69,184,79.31,40044
41,14,81,18,22.22,63,77.78,41014
45,3,461,38,8.24,423,91.76,45003
45,6,329,70,21.28,259,78.72,45006
45,8,347,73,21.04,274,78.96,45008
45,9,382,91,23.82,291,76.18,45009
45,11,385,86,22.34,299,77.66,45011
45,13,400,71,17.75,329,82.25,45013
45,15,386,65,16.84,321,83.16,45015
45,17,330,73,22.12,257,77.88,45017
45,19,438,80,18.26,358,81.74,45019
45,20,325,86,26.46,239,73.54,45020
45,21,323,78,24.15,245,75.85,45021
45,24,472,141,29.87,331,70.13,45024
45,27,391,69,17.65,322,82.35,45027
45,29,359,71,19.78,288,80.22,45029
45,30,384,86,22.4,298,77.6,45030
45,32,366,92,25.14,274,74.86,45032
45,34,322,71,22.05,251,77.95,45034
45,35,378,97,25.66,281,74.34,45035
45,36,448,118,26.34,330,73.66,45036
45,37,339,59,17.4,280,82.6,45037
45,38,424,70,16.51,354,83.49,45038
45,39,408,91,22.3,317,77.7,45039
45,41,345,68,19.71,277,80.29,45041
45,42,330,61,18.48,269,81.52,45042
45,43,316,73,23.1,243,76.9,45043
45,44,378,83,21.96,295,78.04,45044
45,45,310,78,25.16,232,74.84,45045
45,46,396,70,17.68,326,82.32,45046
45,47,381,79,20.73,302,79.27,45047
45,49,357,86,24.09,271,75.91,45049
45,50,369,77,20.87,292,79.13,45050
45,51,381,97,25.46,284,74.54,45051
45,52,358,89,24.86,269,75.14,45052
45,53,346,77,22.25,269,77.75,45053
45,54,386,103,26.68,283,73.32,45054
45,55,319,72,22.57,247,77.43,45055
45,57,379,82,21.64,297,78.36,45057
47,1,196,28,14.29,168,85.71,47001
50,23,219,57,26.03,162,73.97,50023
