ward,precinct,registered,ballots,turnout,precinct_id
1,1,634,397,62.62,01001
1,2,1102,721,65.43,01002
1,3,648,435,67.13,01003
1,4,598,426,71.24,01004
1,5,753,503,66.8,01005
1,6,462,314,67.97,01006
1,7,807,558,69.14,01007
1,8,476,350,73.53,01008
1,9,753,509,67.6,01009
1,10,785,553,70.45,01010
1,11,612,404,66.01,01011
1,12,925,575,62.16,01012
1,13,632,329,52.06,01013
1,14,730,380,52.05,01014
1,15,632,397,62.82,01015
1,16,600,374,62.33,01016
1,17,634,495,78.08,01017
1,18,774,413,53.36,01018
1,19,814,411,50.49,01019
1,20,672,327,48.66,01020
1,21,975,655,67.18,01021
1,22,762,342,44.88,01022
1,23,944,614,65.04,01023
1,24,696,393,56.47,01024
1,25,1062,652,61.39,01025
1,26,1099,738,67.15,01026
1,27,747,437,58.5,01027
1,28,177,98,55.37,01028
1,29,977,624,63.87,01029
1,30,761,440,57.82,01030
1,31,232,155,66.81,01031
1,32,627,428,68.26,01032
1,33,804,466,57.96,01033
1,34,120,92,76.67,01034
1,35,148,107,72.3,01035
1,36,549,382,69.58,01036
2,1,754,634,84.08,02001
2,2,576,532,92.36,02002
2,3,665,367,55.19,02003
2,4,220,180,81.82,02004
2,5,453,303,66.89,02005
2,6,375,254,67.73,02006
2,7,560,461,82.32,02007
2,8,516,444,86.05,02008
2,9,403,249,61.79,02009
2,10,650,268,41.23,02010
2,11,866,695,80.25,02011
2,12,595,439,73.78,02012
2,13,582,497,85.4,02013
2,14,410,388,94.63,02014
2,15,234,175,74.79,02015
2,16,393,282,71.76,02016
2,17,527,374,70.97,02017
2,18,694,518,74.64,02018
2,19,288,224,77.78,02019
2,20,473,412,87.1,02020
2,21,491,375,76.37,02021
2,22,890,763,85.73,02022
2,23,557,339,60.86,02023
2,24,786,395,50.25,02024
2,25,306,221,72.22,02025
2,26,428,330,77.1,02026
2,27,66,82,124.24,02027
2,28,562,436,77.58,02028
2,29,438,318,72.6,02029
