ward,precinct,total,"GERALD C. """"JERRY"""" WELLER","GERALD C. """"JERRY"""" WELLER Percent",JAMES P. STEVENSON,JAMES P. STEVENSON Percent,precinct_id
10,2,223,89,39.91,134,60.09,10002
10,3,319,143,44.83,176,55.17,10003
10,5,246,104,42.28,142,57.72,10005
10,8,285,129,45.26,156,54.74,10008
10,9,302,142,47.02,160,52.98,10009
10,11,324,93,28.7,231,71.3,10011
10,12,289,95,32.87,194,67.13,10012
10,13,371,110,29.65,261,70.35,10013
10,15,162,66,40.74,96,59.26,10015
10,16,296,149,50.34,147,49.66,10016
10,17,258,110,42.64,148,57.36,10017
10,19,498,190,38.15,308,61.85,10019
10,20,550,202,36.73,348,63.27,10020
10,21,233,107,45.92,126,54.08,10021
10,22,101,28,27.72,73,72.28,10022
10,23,299,49,16.39,250,83.61,10023
10,24,297,159,53.54,138,46.46,10024
10,26,269,84,31.23,185,68.77,10026
10,27,350,135,38.57,215,61.43,10027
10,30,295,75,25.42,220,74.58,10030
10,31,335,101,30.15,234,69.85,10031
10,32,334,118,35.33,216,64.67,10032
10,33,288,77,26.74,211,73.26,10033
10,34,298,61,20.47,237,79.53,10034
10,35,315,88,27.94,227,72.06,10035
10,38,426,160,37.56,266,62.44,10038
10,39,307,77,25.08,230,74.92,10039
10,41,508,209,41.14,299,58.86,10041
10,42,304,138,45.39,166,54.61,10042
10,44,314,61,19.43,253,80.57,10044
10,45,331,95,28.7,236,71.3,10045
10,46,288,66,22.92,222,77.08,10046
