ward,precinct,total,RALPH C. CAPPARELLI,RALPH C. CAPPARELLI Percent,precinct_id
39,23,137,137,100.0,39023
39,28,148,148,100.0,39028
39,38,2,2,100.0,39038
41,1,268,268,100.0,41001
41,3,313,313,100.0,41003
41,9,295,295,100.0,41009
41,10,312,312,100.0,41010
41,11,284,284,100.0,41011
41,12,345,345,100.0,41012
41,14,252,252,100.0,41014
41,16,319,319,100.0,41016
41,17,314,314,100.0,41017
41,19,411,411,100.0,41019
41,21,238,238,100.0,41021
41,22,275,275,100.0,41022
41,23,318,318,100.0,41023
41,24,285,285,100.0,41024
41,30,301,301,100.0,41030
41,35,307,307,100.0,41035
41,40,261,261,100.0,41040
41,43,253,253,100.0,41043
41,46,275,275,100.0,41046
41,47,291,291,100.0,41047
41,49,255,255,100.0,41049
41,50,307,307,100.0,41050
41,51,206,206,100.0,41051
41,52,306,306,100.0,41052
41,54,258,258,100.0,41054
41,57,302,302,100.0,41057
41,59,261,261,100.0,41059
41,62,315,315,100.0,41062
41,63,284,284,100.0,41063
41,64,314,314,100.0,41064
41,65,256,256,100.0,41065
41,66,300,300,100.0,41066
45,1,193,193,100.0,45001
45,2,295,295,100.0,45002
45,4,280,280,100.0,45004
45,5,176,176,100.0,45005
45,21,0,0,0.0,45021
45,22,258,258,100.0,45022
45,23,249,249,100.0,45023
45,33,361,361,100.0,45033
45,58,185,185,100.0,45058
