ward,precinct,total,JOSEPH ANTHONY HORNOWSKI,JOSEPH ANTHONY HORNOWSKI Percent,RICHARD T. BRADLEY,RICHARD T. BRADLEY Percent,precinct_id
30,1,390,88,22.56,302,77.44,30001
30,2,328,93,28.35,235,71.65,30002
30,3,438,90,20.55,348,79.45,30003
30,4,459,96,20.92,363,79.08,30004
30,6,286,53,18.53,233,81.47,30006
30,7,287,63,21.95,224,78.05,30007
30,8,301,66,21.93,235,78.07,30008
30,12,408,108,26.47,300,73.53,30012
30,13,236,52,22.03,184,77.97,30013
30,14,255,52,20.39,203,79.61,30014
30,15,388,107,27.58,281,72.42,30015
30,16,240,78,32.5,162,67.5,30016
30,22,278,72,25.9,206,74.1,30022
30,23,157,34,21.66,123,78.34,30023
30,24,188,45,23.94,143,76.06,30024
30,25,321,79,24.61,242,75.39,30025
30,28,369,80,21.68,289,78.32,30028
30,29,322,59,18.32,263,81.68,30029
30,30,313,59,18.85,254,81.15,30030
30,32,343,88,25.66,255,74.34,30032
30,36,258,70,27.13,188,72.87,30036
30,38,298,54,18.12,244,81.88,30038
30,39,279,58,20.79,221,79.21,30039
30,40,280,66,23.57,214,76.43,30040
30,44,387,98,25.32,289,74.68,30044
31,5,208,42,20.19,166,79.81,31005
31,6,81,17,20.99,64,79.01,31006
31,18,72,12,16.67,60,83.33,31018
31,30,212,45,21.23,167,78.77,31030
31,31,281,57,20.28,224,79.72,31031
31,32,165,35,21.21,130,78.79,31032
31,33,139,33,23.74,106,76.26,31033
33,5,227,45,19.82,182,80.18,33005
33,10,445,80,17.98,365,82.02,33010
33,12,439,64,14.58,375,85.42,33012
33,15,100,7,7.0,93,93.0,33015
33,16,412,118,28.64,294,71.36,33016
33,17,376,56,14.89,320,85.11,33017
33,19,275,58,21.09,217,78.91,33019
33,29,400,59,14.75,341,85.25,33029
33,30,319,69,21.63,250,78.37,33030
33,31,365,56,15.34,309,84.66,33031
33,34,389,48,12.34,341,87.66,33034
33,37,338,63,18.64,275,81.36,33037
35,4,174,30,17.24,144,82.76,35004
35,6,280,73,26.07,207,73.93,35006
35,8,108,21,19.44,87,80.56,35008
35,11,208,42,20.19,166,79.81,35011
38,4,137,37,27.01,100,72.99,38004
38,5,465,111,23.87,354,76.13,38005
38,9,371,101,27.22,270,72.78,38009
38,13,269,57,21.19,212,78.81,38013
38,20,338,82,24.26,256,75.74,38020
38,24,192,41,21.35,151,78.65,38024
38,25,283,65,22.97,218,77.03,38025
38,31,308,58,18.83,250,81.17,38031
38,34,285,75,26.32,210,73.68,38034
38,39,296,69,23.31,227,76.69,38039
39,13,143,13,9.09,130,90.91,39013
39,19,260,62,23.85,198,76.15,39019
39,21,216,51,23.61,165,76.39,39021
39,24,295,47,15.93,248,84.07,39024
39,25,178,36,20.22,142,79.78,39025
39,29,207,43,20.77,164,79.23,39029
39,30,328,65,19.82,263,80.18,39030
39,31,234,42,17.95,192,82.05,39031
39,46,313,62,19.81,251,80.19,39046
45,7,244,73,29.92,171,70.08,45007
45,10,445,115,25.84,330,74.16,45010
45,12,392,102,26.02,290,73.98,45012
45,14,412,93,22.57,319,77.43,45014
45,16,374,81,21.66,293,78.34,45016
45,18,330,84,25.45,246,74.55,45018
45,25,285,76,26.67,209,73.33,45025
45,26,331,79,23.87,252,76.13,45026
45,28,408,78,19.12,330,80.88,45028
45,31,299,74,24.75,225,75.25,45031
45,40,335,80,23.88,255,76.12,45040
45,48,356,97,27.25,259,72.75,45048
45,56,346,114,32.95,232,67.05,45056
