ward,precinct,total,KAREN A. YARBROUGH,KAREN A. YARBROUGH Percent,precinct_id
29,1,297,297,100.0,29001
29,9,343,343,100.0,29009
29,10,284,284,100.0,29010
29,11,324,324,100.0,29011
29,16,237,237,100.0,29016
29,18,317,317,100.0,29018
29,19,254,254,100.0,29019
29,20,357,357,100.0,29020
29,21,376,376,100.0,29021
29,23,294,294,100.0,29023
29,26,306,306,100.0,29026
29,27,281,281,100.0,29027
29,31,0,0,0.0,29031
29,33,259,259,100.0,29033
29,42,237,237,100.0,29042
29,47,357,357,100.0,29047
29,56,281,281,100.0,29056
37,24,277,277,100.0,37024
37,39,292,292,100.0,37039
37,50,94,94,100.0,37050
