ward,precinct,total,CHRISTINE RADOGNO,CHRISTINE RADOGNO Percent,MARY JANE O'SHEA MANNELLA,MARY JANE O'SHEA MANNELLA Percent,precinct_id
23,1,373,122,32.71,251,67.29,23001
23,3,363,130,35.81,233,64.19,23003
23,11,413,131,31.72,282,68.28,23011
23,12,380,117,30.79,263,69.21,23012
23,13,447,115,25.73,332,74.27,23013
23,15,385,125,32.47,260,67.53,23015
23,16,405,121,29.88,284,70.12,23016
23,17,454,154,33.92,300,66.08,23017
23,18,324,122,37.65,202,62.35,23018
23,26,382,129,33.77,253,66.23,23026
23,27,336,120,35.71,216,64.29,23027
23,36,478,134,28.03,344,71.97,23036
23,40,366,119,32.51,247,67.49,23040
23,42,33,14,42.42,19,57.58,23042
23,43,366,123,33.61,243,66.39,23043
23,46,375,104,27.73,271,72.27,23046
23,47,429,135,31.47,294,68.53,23047
23,52,426,110,25.82,316,74.18,23052
23,58,468,150,32.05,318,67.95,23058
23,60,432,138,31.94,294,68.06,23060
