ward,precinct,total,ROBERT GORDON III,ROBERT GORDON III Percent,"JESSE L. JACKSON, JR.","JESSE L. JACKSON, JR. Percent",precinct_id
6,18,148,4,2.7,144,97.3,06018
7,2,465,11,2.37,454,97.63,07002
7,3,361,14,3.88,347,96.12,07003
7,4,397,21,5.29,376,94.71,07004
7,5,362,20,5.52,342,94.48,07005
7,6,394,16,4.06,378,95.94,07006
7,7,392,26,6.63,366,93.37,07007
7,8,429,30,6.99,399,93.01,07008
7,10,588,16,2.72,572,97.28,07010
7,11,366,4,1.09,362,98.91,07011
7,12,428,13,3.04,415,96.96,07012
7,14,406,20,4.93,386,95.07,07014
7,15,577,17,2.95,560,97.05,07015
7,16,434,8,1.84,426,98.16,07016
7,17,384,4,1.04,380,98.96,07017
7,18,450,8,1.78,442,98.22,07018
7,19,378,17,4.5,361,95.5,07019
7,20,205,2,0.98,203,99.02,07020
7,21,362,14,3.87,348,96.13,07021
7,23,449,14,3.12,435,96.88,07023
7,24,437,13,2.97,424,97.03,07024
7,26,403,9,2.23,394,97.77,07026
7,27,401,9,2.24,392,97.76,07027
7,28,390,5,1.28,385,98.72,07028
7,29,161,3,1.86,158,98.14,07029
7,31,415,9,2.17,406,97.83,07031
7,32,473,25,5.29,448,94.71,07032
7,33,400,16,4.0,384,96.0,07033
7,35,496,27,5.44,469,94.56,07035
7,39,437,7,1.6,430,98.4,07039
7,40,321,5,1.56,316,98.44,07040
7,42,506,12,2.37,494,97.63,07042
7,44,494,19,3.85,475,96.15,07044
7,45,445,13,2.92,432,97.08,07045
7,46,155,6,3.87,149,96.13,07046
9,1,384,3,0.78,381,99.22,09001
9,3,319,5,1.57,314,98.43,09003
9,4,434,6,1.38,428,98.62,09004
9,5,379,3,0.79,376,99.21,09005
9,6,289,4,1.38,285,98.62,09006
9,7,353,5,1.42,348,98.58,09007
9,8,267,7,2.62,260,97.38,09008
9,9,360,3,0.83,357,99.17,09009
9,11,304,3,0.99,301,99.01,09011
9,15,186,1,0.54,185,99.46,09015
9,16,368,5,1.36,363,98.64,09016
9,18,326,4,1.23,322,98.77,09018
9,19,380,5,1.32,375,98.68,09019
9,22,390,6,1.54,384,98.46,09022
9,23,281,9,3.2,272,96.8,09023
9,24,255,2,0.78,253,99.22,09024
9,25,235,11,4.68,224,95.32,09025
9,26,271,4,1.48,267,98.52,09026
9,28,340,27,7.94,313,92.06,09028
9,29,373,5,1.34,368,98.66,09029
9,30,389,7,1.8,382,98.2,09030
9,31,388,4,1.03,384,98.97,09031
9,32,407,5,1.23,402,98.77,09032
9,33,273,4,1.47,269,98.53,09033
9,34,379,10,2.64,369,97.36,09034
9,36,217,5,2.3,212,97.7,09036
9,37,450,113,25.11,337,74.89,09037
9,38,411,8,1.95,403,98.05,09038
9,39,344,2,0.58,342,99.42,09039
9,40,435,12,2.76,423,97.24,09040
9,41,457,13,2.84,444,97.16,09041
9,42,433,5,1.15,428,98.85,09042
9,43,318,5,1.57,313,98.43,09043
9,44,391,8,2.05,383,97.95,09044
9,45,478,4,0.84,474,99.16,09045
9,46,330,8,2.42,322,97.58,09046
9,47,259,11,4.25,248,95.75,09047
9,48,370,5,1.35,365,98.65,09048
9,49,189,3,1.59,186,98.41,09049
9,50,435,11,2.53,424,97.47,09050
10,1,264,11,4.17,253,95.83,10001
10,4,317,36,11.36,281,88.64,10004
10,7,88,10,11.36,78,88.64,10007
10,10,332,2,0.6,330,99.4,10010
10,14,72,7,9.72,65,90.28,10014
10,18,297,34,11.45,263,88.55,10018
10,25,398,44,11.06,354,88.94,10025
10,28,312,13,4.17,299,95.83,10028
10,29,379,3,0.79,376,99.21,10029
10,36,323,35,10.84,288,89.16,10036
10,37,320,25,7.81,295,92.19,10037
10,40,324,40,12.35,284,87.65,10040
10,43,321,29,9.03,292,90.97,10043
15,7,334,4,1.2,330,98.8,15007
15,13,262,8,3.05,254,96.95,15013
15,15,330,7,2.12,323,97.88,15015
15,18,355,5,1.41,350,98.59,15018
15,19,340,7,2.06,333,97.94,15019
15,21,418,4,0.96,414,99.04,15021
15,31,351,4,1.14,347,98.86,15031
15,34,283,6,2.12,277,97.88,15034
15,39,335,15,4.48,320,95.52,15039
15,40,377,3,0.8,374,99.2,15040
15,44,256,4,1.56,252,98.44,15044
15,46,280,4,1.43,276,98.57,15046
15,47,335,4,1.19,331,98.81,15047
16,10,330,3,0.91,327,99.09,16010
16,28,287,2,0.7,285,99.3,16028
17,1,221,1,0.45,220,99.55,17001
17,3,338,6,1.78,332,98.22,17003
17,4,438,6,1.37,432,98.63,17004
17,5,285,3,1.05,282,98.95,17005
17,6,299,3,1.0,296,99.0,17006
17,7,403,6,1.49,397,98.51,17007
17,8,241,1,0.41,240,99.59,17008
17,9,254,0,0.0,254,100.0,17009
17,10,331,9,2.72,322,97.28,17010
17,11,348,3,0.86,345,99.14,17011
17,12,333,5,1.5,328,98.5,17012
17,13,287,7,2.44,280,97.56,17013
17,14,328,8,2.44,320,97.56,17014
17,16,377,3,0.8,374,99.2,17016
17,17,323,3,0.93,320,99.07,17017
17,18,339,4,1.18,335,98.82,17018
17,19,260,2,0.77,258,99.23,17019
17,20,364,5,1.37,359,98.63,17020
17,22,342,4,1.17,338,98.83,17022
17,23,241,3,1.24,238,98.76,17023
17,24,382,6,1.57,376,98.43,17024
