ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,Marie-Elana Leone,Marie-Elana Leone Percent,precinct_id
42,8,539,393,72.91,146,27.09,42008
42,10,337,238,70.62,99,29.38,42010
42,15,452,311,68.81,141,31.19,42015
42,16,288,195,67.71,93,32.29,42016
42,26,398,305,76.63,93,23.37,42026
42,28,397,286,72.04,111,27.96,42028
42,30,317,213,67.19,104,32.81,42030
42,33,495,351,70.91,144,29.09,42033
42,34,386,274,70.98,112,29.02,42034
42,36,457,311,68.05,146,31.95,42036
43,4,476,340,71.43,136,28.57,43004
43,8,404,301,74.5,103,25.5,43008
43,12,581,420,72.29,161,27.71,43012
43,14,333,260,78.08,73,21.92,43014
43,16,460,308,66.96,152,33.04,43016
43,17,319,195,61.13,124,38.87,43017
43,18,535,352,65.79,183,34.21,43018
43,19,324,233,71.91,91,28.09,43019
43,23,324,248,76.54,76,23.46,43023
43,24,379,244,64.38,135,35.62,43024
43,25,395,291,73.67,104,26.33,43025
43,26,329,214,65.05,115,34.95,43026
43,27,384,284,73.96,100,26.04,43027
43,32,327,235,71.87,92,28.13,43032
43,33,409,286,69.93,123,30.07,43033
43,34,346,233,67.34,113,32.66,43034
43,36,439,269,61.28,170,38.72,43036
43,37,387,273,70.54,114,29.46,43037
43,38,437,307,70.25,130,29.75,43038
43,42,366,244,66.67,122,33.33,43042
43,43,458,300,65.5,158,34.5,43043
43,44,558,387,69.35,171,30.65,43044
43,45,154,107,69.48,47,30.52,43045
43,46,491,314,63.95,177,36.05,43046
43,48,547,388,70.93,159,29.07,43048
43,49,319,217,68.03,102,31.97,43049
43,52,597,380,63.65,217,36.35,43052
43,53,513,383,74.66,130,25.34,43053
43,58,497,352,70.82,145,29.18,43058
43,59,377,276,73.21,101,26.79,43059
43,64,259,181,69.88,78,30.12,43064
43,65,256,158,61.72,98,38.28,43065
43,67,307,216,70.36,91,29.64,43067
44,1,372,303,81.45,69,18.55,44001
44,2,400,347,86.75,53,13.25,44002
44,3,356,280,78.65,76,21.35,44003
44,4,426,354,83.1,72,16.9,44004
44,5,638,496,77.74,142,22.26,44005
44,6,623,486,78.01,137,21.99,44006
44,7,478,353,73.85,125,26.15,44007
44,8,303,231,76.24,72,23.76,44008
44,10,504,359,71.23,145,28.77,44010
44,12,322,262,81.37,60,18.63,44012
44,14,592,437,73.82,155,26.18,44014
44,15,592,481,81.25,111,18.75,44015
44,17,513,412,80.31,101,19.69,44017
44,18,421,303,71.97,118,28.03,44018
44,19,355,278,78.31,77,21.69,44019
44,20,656,535,81.55,121,18.45,44020
44,21,707,567,80.2,140,19.8,44021
44,22,545,434,79.63,111,20.37,44022
44,23,565,451,79.82,114,20.18,44023
44,24,467,337,72.16,130,27.84,44024
44,26,518,431,83.2,87,16.8,44026
44,28,532,383,71.99,149,28.01,44028
44,29,683,485,71.01,198,28.99,44029
44,30,527,449,85.2,78,14.8,44030
44,31,704,501,71.16,203,28.84,44031
44,32,369,304,82.38,65,17.62,44032
44,33,739,648,87.69,91,12.31,44033
44,34,383,318,83.03,65,16.97,44034
44,35,358,288,80.45,70,19.55,44035
44,36,641,502,78.32,139,21.68,44036
44,37,625,528,84.48,97,15.52,44037
44,38,659,452,68.59,207,31.41,44038
44,39,663,455,68.63,208,31.37,44039
44,41,538,418,77.7,120,22.3,44041
44,42,685,531,77.52,154,22.48,44042
44,44,577,473,81.98,104,18.02,44044
44,45,704,524,74.43,180,25.57,44045
44,46,340,279,82.06,61,17.94,44046
44,48,343,275,80.17,68,19.83,44048
44,49,721,574,79.61,147,20.39,44049
44,50,615,437,71.06,178,28.94,44050
46,1,650,549,84.46,101,15.54,46001
46,3,610,535,87.7,75,12.3,46003
46,5,593,503,84.82,90,15.18,46005
46,10,412,310,75.24,102,24.76,46010
46,13,753,588,78.09,165,21.91,46013
46,15,554,469,84.66,85,15.34,46015
46,17,738,599,81.17,139,18.83,46017
46,18,473,388,82.03,85,17.97,46018
46,24,553,459,83.0,94,17.0,46024
46,28,590,441,74.75,149,25.25,46028
46,29,402,330,82.09,72,17.91,46029
46,30,522,421,80.65,101,19.35,46030
46,31,516,432,83.72,84,16.28,46031
46,33,483,397,82.19,86,17.81,46033
46,36,469,367,78.25,102,21.75,46036
46,37,441,344,78.0,97,22.0,46037
46,43,327,281,85.93,46,14.07,46043
