ward,precinct,total,"Milton """"Milt"""" Patterson","Milton """"Milt"""" Patterson Percent",precinct_id
6,4,261,261,100.0,06004
6,5,239,239,100.0,06005
6,6,310,310,100.0,06006
6,7,447,447,100.0,06007
6,11,277,277,100.0,06011
6,12,250,250,100.0,06012
6,15,411,411,100.0,06015
6,18,136,136,100.0,06018
6,20,351,351,100.0,06020
6,30,339,339,100.0,06030
6,32,402,402,100.0,06032
6,33,413,413,100.0,06033
6,36,253,253,100.0,06036
6,40,286,286,100.0,06040
6,48,383,383,100.0,06048
6,61,275,275,100.0,06061
6,65,148,148,100.0,06065
6,66,372,372,100.0,06066
13,19,197,197,100.0,13019
13,26,201,201,100.0,13026
13,30,256,256,100.0,13030
13,47,232,232,100.0,13047
15,1,21,21,100.0,15001
15,6,295,295,100.0,15006
15,7,270,270,100.0,15007
15,8,415,415,100.0,15008
15,9,286,286,100.0,15009
15,11,310,310,100.0,15011
15,12,206,206,100.0,15012
15,13,192,192,100.0,15013
15,14,303,303,100.0,15014
15,15,267,267,100.0,15015
15,21,266,266,100.0,15021
15,25,300,300,100.0,15025
15,27,220,220,100.0,15027
15,28,253,253,100.0,15028
15,30,14,14,100.0,15030
15,32,334,334,100.0,15032
15,34,239,239,100.0,15034
15,41,385,385,100.0,15041
15,42,180,180,100.0,15042
15,44,287,287,100.0,15044
15,45,144,144,100.0,15045
15,46,195,195,100.0,15046
15,47,282,282,100.0,15047
15,49,111,111,100.0,15049
15,51,188,188,100.0,15051
16,35,195,195,100.0,16035
16,41,139,139,100.0,16041
17,1,232,232,100.0,17001
17,6,272,272,100.0,17006
17,8,292,292,100.0,17008
17,11,76,76,100.0,17011
17,13,216,216,100.0,17013
17,14,91,91,100.0,17014
17,16,272,272,100.0,17016
17,17,289,289,100.0,17017
17,19,169,169,100.0,17019
17,34,290,290,100.0,17034
17,36,217,217,100.0,17036
17,39,268,268,100.0,17039
17,40,46,46,100.0,17040
17,41,250,250,100.0,17041
17,42,264,264,100.0,17042
17,43,265,265,100.0,17043
17,45,233,233,100.0,17045
17,46,322,322,100.0,17046
17,49,273,273,100.0,17049
17,56,162,162,100.0,17056
17,58,244,244,100.0,17058
17,59,177,177,100.0,17059
17,60,397,397,100.0,17060
17,62,265,265,100.0,17062
17,63,337,337,100.0,17063
17,64,242,242,100.0,17064
18,1,229,229,100.0,18001
18,2,345,345,100.0,18002
18,5,364,364,100.0,18005
18,11,303,303,100.0,18011
18,15,225,225,100.0,18015
18,17,291,291,100.0,18017
18,21,456,456,100.0,18021
18,23,336,336,100.0,18023
18,27,379,379,100.0,18027
18,29,380,380,100.0,18029
18,31,345,345,100.0,18031
18,33,297,297,100.0,18033
18,39,365,365,100.0,18039
18,42,273,273,100.0,18042
18,43,271,271,100.0,18043
18,44,220,220,100.0,18044
18,47,373,373,100.0,18047
18,49,288,288,100.0,18049
18,50,381,381,100.0,18050
18,56,316,316,100.0,18056
18,57,293,293,100.0,18057
18,58,348,348,100.0,18058
18,59,276,276,100.0,18059
18,64,301,301,100.0,18064
20,10,299,299,100.0,20010
20,18,4,4,100.0,20018
20,25,137,137,100.0,20025
20,28,368,368,100.0,20028
20,30,272,272,100.0,20030
20,35,221,221,100.0,20035
20,49,280,280,100.0,20049
