ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Tony Cisneros,Tony Cisneros Percent,Jake Witmer,Jake Witmer Percent,precinct_id
1,1,62,49,79.03,8,12.9,5,8.06,01001
1,2,668,543,81.29,94,14.07,31,4.64,01002
1,3,523,416,79.54,77,14.72,30,5.74,01003
1,4,471,391,83.01,55,11.68,25,5.31,01004
1,5,587,478,81.43,79,13.46,30,5.11,01005
1,7,579,433,74.78,127,21.93,19,3.28,01007
1,8,454,360,79.3,67,14.76,27,5.95,01008
1,9,359,300,83.57,37,10.31,22,6.13,01009
1,10,434,348,80.18,65,14.98,21,4.84,01010
1,11,531,451,84.93,62,11.68,18,3.39,01011
1,12,535,417,77.94,99,18.5,19,3.55,01012
1,13,453,375,82.78,57,12.58,21,4.64,01013
1,14,410,342,83.41,54,13.17,14,3.41,01014
1,15,321,291,90.65,16,4.98,14,4.36,01015
1,16,227,210,92.51,14,6.17,3,1.32,01016
1,17,552,441,79.89,86,15.58,25,4.53,01017
1,18,363,310,85.4,28,7.71,25,6.89,01018
1,19,512,391,76.37,92,17.97,29,5.66,01019
1,20,368,310,84.24,47,12.77,11,2.99,01020
1,21,722,533,73.82,150,20.78,39,5.4,01021
1,22,426,367,86.15,45,10.56,14,3.29,01022
1,23,528,447,84.66,63,11.93,18,3.41,01023
1,24,538,440,81.78,64,11.9,34,6.32,01024
1,25,460,356,77.39,82,17.83,22,4.78,01025
1,26,523,394,75.33,103,19.69,26,4.97,01026
1,27,485,385,79.38,72,14.85,28,5.77,01027
1,28,239,213,89.12,17,7.11,9,3.77,01028
1,29,403,328,81.39,60,14.89,15,3.72,01029
1,30,552,466,84.42,67,12.14,19,3.44,01030
1,31,545,359,65.87,156,28.62,30,5.5,01031
1,32,375,320,85.33,41,10.93,14,3.73,01032
1,33,534,448,83.9,63,11.8,23,4.31,01033
1,34,310,253,81.61,44,14.19,13,4.19,01034
1,35,343,251,73.18,78,22.74,14,4.08,01035
1,36,611,459,75.12,127,20.79,25,4.09,01036
1,37,567,454,80.07,79,13.93,34,6.0,01037
1,38,254,205,80.71,38,14.96,11,4.33,01038
1,39,543,448,82.5,71,13.08,24,4.42,01039
1,40,203,161,79.31,27,13.3,15,7.39,01040
3,13,237,210,88.61,21,8.86,6,2.53,03013
11,3,288,241,83.68,40,13.89,7,2.43,11003
11,10,216,179,82.87,31,14.35,6,2.78,11010
11,18,33,31,93.94,1,3.03,1,3.03,11018
11,26,4,4,100.0,0,0.0,0,0.0,11026
12,1,134,117,87.31,14,10.45,3,2.24,12001
12,2,212,180,84.91,27,12.74,5,2.36,12002
12,3,212,189,89.15,20,9.43,3,1.42,12003
12,4,197,167,84.77,19,9.64,11,5.58,12004
12,5,249,203,81.53,31,12.45,15,6.02,12005
12,6,145,134,92.41,9,6.21,2,1.38,12006
12,7,97,89,91.75,6,6.19,2,2.06,12007
12,8,396,311,78.54,66,16.67,19,4.8,12008
12,9,221,205,92.76,13,5.88,3,1.36,12009
12,10,127,97,76.38,21,16.54,9,7.09,12010
12,11,194,178,91.75,15,7.73,1,0.52,12011
12,12,203,165,81.28,29,14.29,9,4.43,12012
12,13,173,130,75.14,29,16.76,14,8.09,12013
12,14,166,152,91.57,10,6.02,4,2.41,12014
12,15,205,189,92.2,16,7.8,0,0.0,12015
12,16,191,170,89.01,16,8.38,5,2.62,12016
12,17,208,177,85.1,23,11.06,8,3.85,12017
12,18,165,151,91.52,12,7.27,2,1.21,12018
12,19,202,178,88.12,14,6.93,10,4.95,12019
12,20,228,191,83.77,25,10.96,12,5.26,12020
12,21,281,233,82.92,38,13.52,10,3.56,12021
12,22,190,168,88.42,17,8.95,5,2.63,12022
12,23,168,141,83.93,23,13.69,4,2.38,12023
12,24,335,276,82.39,43,12.84,16,4.78,12024
12,25,214,185,86.45,23,10.75,6,2.8,12025
12,26,197,169,85.79,22,11.17,6,3.05,12026
