ward,precinct,total,Julie Hamos,Julie Hamos Percent,Julianne E. Curtis,Julianne E. Curtis Percent,precinct_id
49,1,399,376,94.24,23,5.76,49001
49,5,408,362,88.73,46,11.27,49005
49,6,438,377,86.07,61,13.93,49006
49,14,406,351,86.45,55,13.55,49014
49,16,245,217,88.57,28,11.43,49016
49,20,437,383,87.64,54,12.36,49020
49,30,385,337,87.53,48,12.47,49030
49,34,382,348,91.1,34,8.9,49034
49,35,491,432,87.98,59,12.02,49035
