ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,Darleen A. Conners,Darleen A. Conners Percent,precinct_id
13,1,357,289,80.95,68,19.05,13001
13,2,273,239,87.55,34,12.45,13002
13,4,389,319,82.01,70,17.99,13004
13,5,285,255,89.47,30,10.53,13005
13,6,292,247,84.59,45,15.41,13006
13,7,326,282,86.5,44,13.5,13007
13,8,376,315,83.78,61,16.22,13008
13,9,304,265,87.17,39,12.83,13009
13,10,285,230,80.7,55,19.3,13010
13,11,275,254,92.36,21,7.64,13011
13,12,386,331,85.75,55,14.25,13012
13,13,364,325,89.29,39,10.71,13013
13,14,285,231,81.05,54,18.95,13014
13,15,361,325,90.03,36,9.97,13015
13,16,249,222,89.16,27,10.84,13016
13,17,363,308,84.85,55,15.15,13017
13,21,261,227,86.97,34,13.03,13021
13,22,347,307,88.47,40,11.53,13022
13,23,283,256,90.46,27,9.54,13023
13,24,357,317,88.8,40,11.2,13024
13,25,335,268,80.0,67,20.0,13025
13,27,400,332,83.0,68,17.0,13027
13,28,266,237,89.1,29,10.9,13028
13,29,305,268,87.87,37,12.13,13029
13,32,377,341,90.45,36,9.55,13032
13,33,296,257,86.82,39,13.18,13033
13,34,302,264,87.42,38,12.58,13034
13,35,380,346,91.05,34,8.95,13035
13,36,232,200,86.21,32,13.79,13036
13,37,241,208,86.31,33,13.69,13037
13,38,408,350,85.78,58,14.22,13038
13,39,333,287,86.19,46,13.81,13039
13,40,303,277,91.42,26,8.58,13040
13,41,297,276,92.93,21,7.07,13041
13,42,325,286,88.0,39,12.0,13042
13,43,245,225,91.84,20,8.16,13043
13,44,370,355,95.95,15,4.05,13044
13,45,475,401,84.42,74,15.58,13045
13,46,303,288,95.05,15,4.95,13046
13,48,360,311,86.39,49,13.61,13048
13,49,393,340,86.51,53,13.49,13049
13,50,400,367,91.75,33,8.25,13050
13,51,255,232,90.98,23,9.02,13051
13,52,393,325,82.7,68,17.3,13052
13,53,428,366,85.51,62,14.49,13053
13,54,348,306,87.93,42,12.07,13054
