ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,precinct_id
4,1,376,376,100.0,04001
4,9,603,603,100.0,04009
4,17,418,418,100.0,04017
4,21,396,396,100.0,04021
4,22,494,494,100.0,04022
4,28,299,299,100.0,04028
4,29,305,305,100.0,04029
4,32,470,470,100.0,04032
4,34,313,313,100.0,04034
4,38,574,574,100.0,04038
4,41,232,232,100.0,04041
4,43,305,305,100.0,04043
4,44,331,331,100.0,04044
4,45,519,519,100.0,04045
4,47,697,697,100.0,04047
4,48,561,561,100.0,04048
4,54,240,240,100.0,04054
4,55,313,313,100.0,04055
5,1,419,419,100.0,05001
5,3,238,238,100.0,05003
5,5,348,348,100.0,05005
5,6,441,441,100.0,05006
5,7,378,378,100.0,05007
5,8,498,498,100.0,05008
5,11,405,405,100.0,05011
5,14,485,485,100.0,05014
5,17,416,416,100.0,05017
5,21,403,403,100.0,05021
5,22,311,311,100.0,05022
5,24,274,274,100.0,05024
5,25,450,450,100.0,05025
5,26,379,379,100.0,05026
5,27,677,677,100.0,05027
5,28,374,374,100.0,05028
5,29,401,401,100.0,05029
5,30,377,377,100.0,05030
5,31,350,350,100.0,05031
5,32,471,471,100.0,05032
5,33,195,195,100.0,05033
5,34,392,392,100.0,05034
5,35,348,348,100.0,05035
5,36,278,278,100.0,05036
5,37,328,328,100.0,05037
5,38,380,380,100.0,05038
5,39,450,450,100.0,05039
5,40,489,489,100.0,05040
5,41,375,375,100.0,05041
5,42,396,396,100.0,05042
5,43,379,379,100.0,05043
5,44,452,452,100.0,05044
5,46,500,500,100.0,05046
5,47,331,331,100.0,05047
5,48,280,280,100.0,05048
5,49,85,85,100.0,05049
5,53,385,385,100.0,05053
5,54,468,468,100.0,05054
5,55,296,296,100.0,05055
7,3,338,338,100.0,07003
7,8,153,153,100.0,07008
7,9,298,298,100.0,07009
7,10,311,311,100.0,07010
7,11,351,351,100.0,07011
7,14,411,411,100.0,07014
7,15,223,223,100.0,07015
7,16,307,307,100.0,07016
7,17,236,236,100.0,07017
7,18,253,253,100.0,07018
7,20,221,221,100.0,07020
7,22,264,264,100.0,07022
7,23,240,240,100.0,07023
7,28,404,404,100.0,07028
7,32,333,333,100.0,07032
7,35,186,186,100.0,07035
7,39,300,300,100.0,07039
7,40,348,348,100.0,07040
7,44,502,502,100.0,07044
7,45,431,431,100.0,07045
7,46,91,91,100.0,07046
7,48,158,158,100.0,07048
7,54,173,173,100.0,07054
7,56,292,292,100.0,07056
7,63,280,280,100.0,07063
7,64,275,275,100.0,07064
7,65,315,315,100.0,07065
8,70,499,499,100.0,08070
10,1,287,287,100.0,10001
10,4,280,280,100.0,10004
10,7,80,80,100.0,10007
10,18,296,296,100.0,10018
10,23,3,3,100.0,10023
10,25,332,332,100.0,10025
10,37,278,278,100.0,10037
10,43,185,185,100.0,10043
10,45,170,170,100.0,10045
10,47,225,225,100.0,10047
10,48,270,270,100.0,10048
10,49,204,204,100.0,10049
20,26,253,253,100.0,20026
20,34,442,442,100.0,20034
20,38,48,48,100.0,20038
