ward,precinct,total,"Maria Antonia """"Toni"""" Berrios","Maria Antonia """"Toni"""" Berrios Percent",precinct_id
1,7,89,89,100.0,01007
1,9,295,295,100.0,01009
1,13,375,375,100.0,01013
1,19,61,61,100.0,01019
1,20,291,291,100.0,01020
1,24,460,460,100.0,01024
1,29,301,301,100.0,01029
1,30,453,453,100.0,01030
1,31,37,37,100.0,01031
1,34,259,259,100.0,01034
1,38,198,198,100.0,01038
1,39,311,311,100.0,01039
26,8,166,166,100.0,26008
26,19,298,298,100.0,26019
26,34,212,212,100.0,26034
26,51,150,150,100.0,26051
30,9,157,157,100.0,30009
30,19,158,158,100.0,30019
30,25,147,147,100.0,30025
30,36,202,202,100.0,30036
30,43,155,155,100.0,30043
31,1,121,121,100.0,31001
31,2,157,157,100.0,31002
31,4,203,203,100.0,31004
31,5,220,220,100.0,31005
31,6,218,218,100.0,31006
31,7,209,209,100.0,31007
31,9,200,200,100.0,31009
31,11,148,148,100.0,31011
31,13,230,230,100.0,31013
31,14,182,182,100.0,31014
31,16,117,117,100.0,31016
31,18,184,184,100.0,31018
31,19,169,169,100.0,31019
31,22,132,132,100.0,31022
31,28,177,177,100.0,31028
31,30,198,198,100.0,31030
31,31,238,238,100.0,31031
31,32,183,183,100.0,31032
31,33,155,155,100.0,31033
31,38,113,113,100.0,31038
31,41,164,164,100.0,31041
31,46,165,165,100.0,31046
31,47,208,208,100.0,31047
31,48,157,157,100.0,31048
31,49,141,141,100.0,31049
31,50,203,203,100.0,31050
32,14,364,364,100.0,32014
32,16,85,85,100.0,32016
35,1,348,348,100.0,35001
35,3,215,215,100.0,35003
35,5,294,294,100.0,35005
35,6,327,327,100.0,35006
35,7,396,396,100.0,35007
35,8,333,333,100.0,35008
35,9,326,326,100.0,35009
35,10,339,339,100.0,35010
35,11,343,343,100.0,35011
35,12,384,384,100.0,35012
35,13,97,97,100.0,35013
35,14,329,329,100.0,35014
35,15,310,310,100.0,35015
35,16,342,342,100.0,35016
35,17,357,357,100.0,35017
35,18,380,380,100.0,35018
35,19,322,322,100.0,35019
35,20,296,296,100.0,35020
35,21,322,322,100.0,35021
35,24,172,172,100.0,35024
35,25,343,343,100.0,35025
35,27,385,385,100.0,35027
35,28,441,441,100.0,35028
35,29,390,390,100.0,35029
35,30,416,416,100.0,35030
35,31,188,188,100.0,35031
35,33,82,82,100.0,35033
35,34,348,348,100.0,35034
35,36,270,270,100.0,35036
38,53,36,36,100.0,38053
