ward,precinct,total,Joseph M. Lyons,Joseph M. Lyons Percent,Roman Wiewiora,Roman Wiewiora Percent,precinct_id
36,6,284,211,74.3,73,25.7,36006
36,13,77,58,75.32,19,24.68,36013
36,26,407,273,67.08,134,32.92,36026
36,41,107,77,71.96,30,28.04,36041
36,43,287,232,80.84,55,19.16,36043
38,1,396,317,80.05,79,19.95,38001
38,2,272,200,73.53,72,26.47,38002
38,4,186,135,72.58,51,27.42,38004
38,5,22,19,86.36,3,13.64,38005
38,6,311,220,70.74,91,29.26,38006
38,8,256,180,70.31,76,29.69,38008
38,9,295,230,77.97,65,22.03,38009
38,11,272,205,75.37,67,24.63,38011
38,12,358,266,74.3,92,25.7,38012
38,13,314,247,78.66,67,21.34,38013
38,14,283,234,82.69,49,17.31,38014
38,15,245,198,80.82,47,19.18,38015
38,17,249,213,85.54,36,14.46,38017
38,18,307,242,78.83,65,21.17,38018
38,19,339,241,71.09,98,28.91,38019
38,21,360,255,70.83,105,29.17,38021
38,22,337,252,74.78,85,25.22,38022
38,23,256,197,76.95,59,23.05,38023
38,25,299,256,85.62,43,14.38,38025
38,26,259,205,79.15,54,20.85,38026
38,27,225,164,72.89,61,27.11,38027
38,28,261,202,77.39,59,22.61,38028
38,29,292,232,79.45,60,20.55,38029
38,30,323,248,76.78,75,23.22,38030
38,31,393,331,84.22,62,15.78,38031
38,32,374,272,72.73,102,27.27,38032
38,33,286,236,82.52,50,17.48,38033
38,35,385,293,76.1,92,23.9,38035
38,36,302,239,79.14,63,20.86,38036
38,37,384,282,73.44,102,26.56,38037
38,39,327,224,68.5,103,31.5,38039
38,40,246,192,78.05,54,21.95,38040
38,41,426,345,80.99,81,19.01,38041
38,42,386,312,80.83,74,19.17,38042
38,43,332,262,78.92,70,21.08,38043
38,44,330,252,76.36,78,23.64,38044
38,45,399,326,81.7,73,18.3,38045
38,46,298,235,78.86,63,21.14,38046
38,47,321,242,75.39,79,24.61,38047
38,48,298,245,82.21,53,17.79,38048
38,49,295,215,72.88,80,27.12,38049
38,50,345,266,77.1,79,22.9,38050
38,51,257,208,80.93,49,19.07,38051
38,52,340,260,76.47,80,23.53,38052
41,65,458,335,73.14,123,26.86,41065
45,1,327,261,79.82,66,20.18,45001
45,2,422,314,74.41,108,25.59,45002
45,3,461,435,94.36,26,5.64,45003
45,6,386,305,79.02,81,20.98,45006
45,7,384,296,77.08,88,22.92,45007
45,8,352,275,78.13,77,21.88,45008
45,9,435,329,75.63,106,24.37,45009
45,11,403,303,75.19,100,24.81,45011
45,13,463,390,84.23,73,15.77,45013
45,15,425,333,78.35,92,21.65,45015
45,16,405,344,84.94,61,15.06,45016
45,17,337,271,80.42,66,19.58,45017
45,18,373,322,86.33,51,13.67,45018
45,19,403,320,79.4,83,20.6,45019
45,20,373,293,78.55,80,21.45,45020
45,21,403,285,70.72,118,29.28,45021
45,22,368,246,66.85,122,33.15,45022
45,23,379,291,76.78,88,23.22,45023
45,25,416,335,80.53,81,19.47,45025
45,26,424,355,83.73,69,16.27,45026
45,27,350,288,82.29,62,17.71,45027
45,28,370,309,83.51,61,16.49,45028
45,29,410,316,77.07,94,22.93,45029
45,30,404,293,72.52,111,27.48,45030
45,31,388,308,79.38,80,20.62,45031
45,32,277,208,75.09,69,24.91,45032
45,33,364,284,78.02,80,21.98,45033
45,34,307,206,67.1,101,32.9,45034
45,35,409,321,78.48,88,21.52,45035
45,37,377,306,81.17,71,18.83,45037
45,38,438,351,80.14,87,19.86,45038
45,39,444,347,78.15,97,21.85,45039
45,40,423,338,79.91,85,20.09,45040
45,41,283,222,78.45,61,21.55,45041
45,42,350,288,82.29,62,17.71,45042
45,43,347,276,79.54,71,20.46,45043
45,44,389,318,81.75,71,18.25,45044
45,45,340,257,75.59,83,24.41,45045
45,46,427,340,79.63,87,20.37,45046
45,47,430,337,78.37,93,21.63,45047
45,48,375,307,81.87,68,18.13,45048
45,49,383,299,78.07,84,21.93,45049
45,50,390,284,72.82,106,27.18,45050
45,51,385,288,74.81,97,25.19,45051
45,52,359,278,77.44,81,22.56,45052
45,53,327,261,79.82,66,20.18,45053
