ward,precinct,total,"Kenneth """"Ken"""" Dunkin","Kenneth """"Ken"""" Dunkin Percent",Robert Vaughn,Robert Vaughn Percent,precinct_id
2,1,631,448,71.0,183,29.0,02001
2,11,188,138,73.4,50,26.6,02011
2,14,457,431,94.31,26,5.69,02014
2,20,17,15,88.24,2,11.76,02020
2,22,601,481,80.03,120,19.97,02022
2,31,108,101,93.52,7,6.48,02031
2,35,230,177,76.96,53,23.04,02035
2,43,511,422,82.58,89,17.42,02043
2,49,543,439,80.85,104,19.15,02049
2,54,509,399,78.39,110,21.61,02054
2,55,115,92,80.0,23,20.0,02055
2,58,261,222,85.06,39,14.94,02058
2,59,372,308,82.8,64,17.2,02059
3,1,241,227,94.19,14,5.81,03001
3,3,288,240,83.33,48,16.67,03003
3,4,121,118,97.52,3,2.48,03004
3,6,307,296,96.42,11,3.58,03006
3,8,82,80,97.56,2,2.44,03008
3,9,131,127,96.95,4,3.05,03009
3,11,194,188,96.91,6,3.09,03011
3,14,164,154,93.9,10,6.1,03014
3,15,361,342,94.74,19,5.26,03015
3,17,235,231,98.3,4,1.7,03017
3,18,197,183,92.89,14,7.11,03018
3,19,114,105,92.11,9,7.89,03019
3,20,7,7,100.0,0,0.0,03020
3,22,218,213,97.71,5,2.29,03022
3,23,39,38,97.44,1,2.56,03023
3,24,237,227,95.78,10,4.22,03024
3,25,15,15,100.0,0,0.0,03025
3,26,209,202,96.65,7,3.35,03026
3,27,9,8,88.89,1,11.11,03027
3,28,250,231,92.4,19,7.6,03028
3,29,232,223,96.12,9,3.88,03029
3,32,293,289,98.63,4,1.37,03032
3,33,391,369,94.37,22,5.63,03033
3,35,288,278,96.53,10,3.47,03035
3,36,153,145,94.77,8,5.23,03036
3,37,158,151,95.57,7,4.43,03037
3,38,62,59,95.16,3,4.84,03038
3,40,238,222,93.28,16,6.72,03040
3,41,318,305,95.91,13,4.09,03041
3,42,295,286,96.95,9,3.05,03042
3,43,75,75,100.0,0,0.0,03043
3,45,118,109,92.37,9,7.63,03045
3,47,243,224,92.18,19,7.82,03047
3,49,111,105,94.59,6,5.41,03049
3,53,374,312,83.42,62,16.58,03053
3,54,141,108,76.6,33,23.4,03054
3,57,346,330,95.38,16,4.62,03057
3,59,190,183,96.32,7,3.68,03059
3,60,374,357,95.45,17,4.55,03060
3,61,103,87,84.47,16,15.53,03061
3,62,217,205,94.47,12,5.53,03062
3,63,556,407,73.2,149,26.8,03063
4,6,131,129,98.47,2,1.53,04006
11,14,311,272,87.46,39,12.54,11014
11,36,85,73,85.88,12,14.12,11036
11,48,24,21,87.5,3,12.5,11048
20,1,409,390,95.35,19,4.65,20001
20,3,361,344,95.29,17,4.71,20003
20,6,336,321,95.54,15,4.46,20006
20,7,215,198,92.09,17,7.91,20007
20,11,311,301,96.78,10,3.22,20011
20,14,377,352,93.37,25,6.63,20014
20,17,374,355,94.92,19,5.08,20017
20,23,420,394,93.81,26,6.19,20023
20,27,257,253,98.44,4,1.56,20027
20,31,351,334,95.16,17,4.84,20031
20,33,452,423,93.58,29,6.42,20033
20,37,244,225,92.21,19,7.79,20037
20,42,357,337,94.4,20,5.6,20042
20,46,271,257,94.83,14,5.17,20046
20,50,236,226,95.76,10,4.24,20050
25,14,218,171,78.44,47,21.56,25014
25,16,237,204,86.08,33,13.92,25016
25,18,140,114,81.43,26,18.57,25018
27,5,125,79,63.2,46,36.8,27005
27,6,263,247,93.92,16,6.08,27006
27,9,431,403,93.5,28,6.5,27009
27,12,291,179,61.51,112,38.49,27012
27,13,108,92,85.19,16,14.81,27013
27,14,187,180,96.26,7,3.74,27014
27,16,235,150,63.83,85,36.17,27016
27,20,447,430,96.2,17,3.8,27020
27,21,156,156,100.0,0,0.0,27021
27,28,276,184,66.67,92,33.33,27028
27,37,145,132,91.03,13,8.97,27037
27,39,200,196,98.0,4,2.0,27039
27,42,270,188,69.63,82,30.37,27042
27,43,310,294,94.84,16,5.16,27043
27,51,212,206,97.17,6,2.83,27051
27,52,65,60,92.31,5,7.69,27052
27,65,60,57,95.0,3,5.0,27065
27,66,124,120,96.77,4,3.23,27066
42,3,324,213,65.74,111,34.26,42003
42,4,330,208,63.03,122,36.97,42004
42,9,482,363,75.31,119,24.69,42009
42,17,466,307,65.88,159,34.12,42017
42,19,227,150,66.08,77,33.92,42019
42,20,274,176,64.23,98,35.77,42020
42,22,800,467,58.38,333,41.63,42022
42,24,82,56,68.29,26,31.71,42024
42,27,470,319,67.87,151,32.13,42027
42,32,514,349,67.9,165,32.1,42032
42,39,230,161,70.0,69,30.0,42039
42,45,395,273,69.11,122,30.89,42045
42,46,403,276,68.49,127,31.51,42046
42,49,297,71,23.91,226,76.09,42049
42,55,522,344,65.9,178,34.1,42055
42,56,540,323,59.81,217,40.19,42056
42,57,403,295,73.2,108,26.8,42057
42,58,135,98,72.59,37,27.41,42058
42,59,156,96,61.54,60,38.46,42059
42,60,290,201,69.31,89,30.69,42060
42,61,10,5,50.0,5,50.0,42061
43,30,378,239,63.23,139,36.77,43030
43,51,513,390,76.02,123,23.98,43051
43,54,347,232,66.86,115,33.14,43054
43,55,277,242,87.36,35,12.64,43055
43,60,385,240,62.34,145,37.66,43060
43,61,287,193,67.25,94,32.75,43061
43,63,355,249,70.14,106,29.86,43063
