ward,precinct,total,Marlow H. Colvin,Marlow H. Colvin Percent,precinct_id
5,4,256,256,100.0,05004
7,1,316,316,100.0,07001
7,2,448,448,100.0,07002
7,4,316,316,100.0,07004
7,5,302,302,100.0,07005
7,6,291,291,100.0,07006
7,7,207,207,100.0,07007
7,12,262,262,100.0,07012
7,13,248,248,100.0,07013
7,19,413,413,100.0,07019
7,21,304,304,100.0,07021
7,24,260,260,100.0,07024
7,25,346,346,100.0,07025
7,26,391,391,100.0,07026
7,27,385,385,100.0,07027
7,29,166,166,100.0,07029
7,30,292,292,100.0,07030
7,31,289,289,100.0,07031
7,33,221,221,100.0,07033
7,34,259,259,100.0,07034
7,38,239,239,100.0,07038
7,41,231,231,100.0,07041
7,42,488,488,100.0,07042
7,46,1,1,100.0,07046
7,47,256,256,100.0,07047
7,49,171,171,100.0,07049
7,50,189,189,100.0,07050
7,51,273,273,100.0,07051
7,52,259,259,100.0,07052
7,53,227,227,100.0,07053
7,55,251,251,100.0,07055
7,57,248,248,100.0,07057
7,58,313,313,100.0,07058
7,59,191,191,100.0,07059
7,60,195,195,100.0,07060
7,61,250,250,100.0,07061
7,62,262,262,100.0,07062
8,1,372,372,100.0,08001
8,2,190,190,100.0,08002
8,3,397,397,100.0,08003
8,4,324,324,100.0,08004
8,5,368,368,100.0,08005
8,6,367,367,100.0,08006
8,7,271,271,100.0,08007
8,8,378,378,100.0,08008
8,9,410,410,100.0,08009
8,10,437,437,100.0,08010
8,11,317,317,100.0,08011
8,12,340,340,100.0,08012
8,13,298,298,100.0,08013
8,14,396,396,100.0,08014
8,15,289,289,100.0,08015
8,16,354,354,100.0,08016
8,17,273,273,100.0,08017
8,19,405,405,100.0,08019
8,20,289,289,100.0,08020
8,21,259,259,100.0,08021
8,22,316,316,100.0,08022
8,23,342,342,100.0,08023
8,24,357,357,100.0,08024
8,25,362,362,100.0,08025
8,26,270,270,100.0,08026
8,27,363,363,100.0,08027
8,28,309,309,100.0,08028
8,29,422,422,100.0,08029
8,30,282,282,100.0,08030
8,31,282,282,100.0,08031
8,33,330,330,100.0,08033
8,35,407,407,100.0,08035
8,36,350,350,100.0,08036
8,37,0,0,0.0,08037
8,38,368,368,100.0,08038
8,40,384,384,100.0,08040
8,41,311,311,100.0,08041
8,42,348,348,100.0,08042
8,44,226,226,100.0,08044
8,46,292,292,100.0,08046
8,48,269,269,100.0,08048
8,49,404,404,100.0,08049
8,50,345,345,100.0,08050
8,51,399,399,100.0,08051
8,52,333,333,100.0,08052
8,53,386,386,100.0,08053
8,54,367,367,100.0,08054
8,55,413,413,100.0,08055
8,57,309,309,100.0,08057
8,58,354,354,100.0,08058
8,60,316,316,100.0,08060
8,61,285,285,100.0,08061
8,62,297,297,100.0,08062
8,63,374,374,100.0,08063
8,64,338,338,100.0,08064
8,65,227,227,100.0,08065
10,3,158,158,100.0,10003
10,6,267,267,100.0,10006
10,8,248,248,100.0,10008
10,9,216,216,100.0,10009
10,10,220,220,100.0,10010
10,11,268,268,100.0,10011
10,12,223,223,100.0,10012
10,13,192,192,100.0,10013
10,14,253,253,100.0,10014
10,16,234,234,100.0,10016
10,19,295,295,100.0,10019
10,20,200,200,100.0,10020
10,23,148,148,100.0,10023
10,24,205,205,100.0,10024
10,26,245,245,100.0,10026
10,27,279,279,100.0,10027
10,28,248,248,100.0,10028
10,29,255,255,100.0,10029
10,30,291,291,100.0,10030
10,31,284,284,100.0,10031
10,32,282,282,100.0,10032
10,33,275,275,100.0,10033
10,34,288,288,100.0,10034
10,35,257,257,100.0,10035
10,36,299,299,100.0,10036
10,38,291,291,100.0,10038
10,39,251,251,100.0,10039
10,40,208,208,100.0,10040
10,41,280,280,100.0,10041
10,42,230,230,100.0,10042
10,44,266,266,100.0,10044
10,46,266,266,100.0,10046
10,49,31,31,100.0,10049
