ward,precinct,total,"Constance A. """"Connie"""" Howard","Constance A. """"Connie"""" Howard Percent",precinct_id
5,12,264,264,100.0,05012
5,20,196,196,100.0,05020
5,50,297,297,100.0,05050
6,1,385,385,100.0,06001
6,2,416,416,100.0,06002
6,3,361,361,100.0,06003
6,8,312,312,100.0,06008
6,9,238,238,100.0,06009
6,10,379,379,100.0,06010
6,13,370,370,100.0,06013
6,14,399,399,100.0,06014
6,16,367,367,100.0,06016
6,17,433,433,100.0,06017
6,21,302,302,100.0,06021
6,22,377,377,100.0,06022
6,23,287,287,100.0,06023
6,24,368,368,100.0,06024
6,25,283,283,100.0,06025
6,26,396,396,100.0,06026
6,27,436,436,100.0,06027
6,28,540,540,100.0,06028
6,29,408,408,100.0,06029
6,31,407,407,100.0,06031
6,34,364,364,100.0,06034
6,35,443,443,100.0,06035
6,37,351,351,100.0,06037
6,38,402,402,100.0,06038
6,39,310,310,100.0,06039
6,41,364,364,100.0,06041
6,43,373,373,100.0,06043
6,44,362,362,100.0,06044
6,45,209,209,100.0,06045
6,46,315,315,100.0,06046
6,47,361,361,100.0,06047
6,50,356,356,100.0,06050
6,51,256,256,100.0,06051
6,52,293,293,100.0,06052
6,53,323,323,100.0,06053
6,54,344,344,100.0,06054
6,55,290,290,100.0,06055
6,56,245,245,100.0,06056
6,57,232,232,100.0,06057
6,58,342,342,100.0,06058
6,59,324,324,100.0,06059
6,60,224,224,100.0,06060
6,62,125,125,100.0,06062
6,63,311,311,100.0,06063
6,64,350,350,100.0,06064
7,36,355,355,100.0,07036
7,37,124,124,100.0,07037
7,43,333,333,100.0,07043
8,18,263,263,100.0,08018
8,32,504,504,100.0,08032
8,34,410,410,100.0,08034
8,37,415,415,100.0,08037
8,39,374,374,100.0,08039
8,43,317,317,100.0,08043
8,45,280,280,100.0,08045
8,47,353,353,100.0,08047
8,56,355,355,100.0,08056
8,59,247,247,100.0,08059
8,66,488,488,100.0,08066
8,67,169,169,100.0,08067
8,68,244,244,100.0,08068
8,69,194,194,100.0,08069
9,8,248,248,100.0,09008
9,25,189,189,100.0,09025
9,36,196,196,100.0,09036
9,37,303,303,100.0,09037
9,49,202,202,100.0,09049
9,54,294,294,100.0,09054
9,55,87,87,100.0,09055
9,56,211,211,100.0,09056
9,57,237,237,100.0,09057
9,58,267,267,100.0,09058
10,2,226,226,100.0,10002
10,3,102,102,100.0,10003
10,5,222,222,100.0,10005
10,15,130,130,100.0,10015
10,16,6,6,100.0,10016
10,17,211,211,100.0,10017
10,21,196,196,100.0,10021
10,22,82,82,100.0,10022
10,42,0,0,0.0,10042
21,23,271,271,100.0,21023
21,25,252,252,100.0,21025
21,26,215,215,100.0,21026
21,43,302,302,100.0,21043
21,46,266,266,100.0,21046
21,48,462,462,100.0,21048
21,53,12,12,100.0,21053
21,55,372,372,100.0,21055
