ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
1,1,302,223,73.84,79,26.16,01001
1,2,383,302,78.85,81,21.15,01002
1,3,297,236,79.46,61,20.54,01003
1,4,267,213,79.78,54,20.22,01004
1,5,307,243,79.15,64,20.85,01005
1,6,217,171,78.8,46,21.2,01006
1,7,397,317,79.85,80,20.15,01007
1,8,234,173,73.93,61,26.07,01008
1,9,214,145,67.76,69,32.24,01009
1,10,280,217,77.5,63,22.5,01010
1,11,303,227,74.92,76,25.08,01011
1,12,289,237,82.01,52,17.99,01012
1,13,266,198,74.44,68,25.56,01013
1,14,355,273,76.9,82,23.1,01014
1,15,155,112,72.26,43,27.74,01015
1,16,98,55,56.12,43,43.88,01016
1,17,286,217,75.87,69,24.13,01017
1,18,197,136,69.04,61,30.96,01018
1,19,304,234,76.97,70,23.03,01019
1,20,144,109,75.69,35,24.31,01020
1,21,403,309,76.67,94,23.33,01021
1,22,183,121,66.12,62,33.88,01022
1,23,291,215,73.88,76,26.12,01023
1,24,325,239,73.54,86,26.46,01024
1,25,249,188,75.5,61,24.5,01025
1,26,308,247,80.19,61,19.81,01026
1,27,252,191,75.79,61,24.21,01027
1,28,235,178,75.74,57,24.26,01028
1,29,216,159,73.61,57,26.39,01029
1,30,276,203,73.55,73,26.45,01030
1,31,314,247,78.66,67,21.34,01031
1,32,159,114,71.7,45,28.3,01032
1,33,267,208,77.9,59,22.1,01033
1,34,173,136,78.61,37,21.39,01034
1,35,198,163,82.32,35,17.68,01035
1,36,368,298,80.98,70,19.02,01036
1,37,333,257,77.18,76,22.82,01037
1,38,124,94,75.81,30,24.19,01038
1,39,305,216,70.82,89,29.18,01039
1,40,111,80,72.07,31,27.93,01040
2,1,429,339,79.02,90,20.98,02001
2,2,9,8,88.89,1,11.11,02002
2,3,285,216,75.79,69,24.21,02003
2,4,134,85,63.43,49,36.57,02004
2,5,151,106,70.2,45,29.8,02005
2,6,366,304,83.06,62,16.94,02006
2,7,263,202,76.81,61,23.19,02007
2,8,332,271,81.63,61,18.37,02008
2,9,175,119,68.0,56,32.0,02009
2,10,88,54,61.36,34,38.64,02010
2,11,104,81,77.88,23,22.12,02011
2,12,350,287,82.0,63,18.0,02012
2,13,174,120,68.97,54,31.03,02013
2,14,339,264,77.88,75,22.12,02014
2,15,48,31,64.58,17,35.42,02015
2,16,337,262,77.74,75,22.26,02016
2,17,227,149,65.64,78,34.36,02017
2,18,775,634,81.81,141,18.19,02018
2,19,87,53,60.92,34,39.08,02019
2,20,193,152,78.76,41,21.24,02020
2,21,205,146,71.22,59,28.78,02021
2,22,407,322,79.12,85,20.88,02022
2,23,159,113,71.07,46,28.93,02023
2,24,127,98,77.17,29,22.83,02024
2,25,175,131,74.86,44,25.14,02025
2,26,404,305,75.5,99,24.5,02026
2,27,138,97,70.29,41,29.71,02027
2,28,185,151,81.62,34,18.38,02028
2,29,99,82,82.83,17,17.17,02029
2,30,139,93,66.91,46,33.09,02030
2,31,236,188,79.66,48,20.34,02031
2,32,118,78,66.1,40,33.9,02032
2,33,181,116,64.09,65,35.91,02033
2,34,140,108,77.14,32,22.86,02034
2,35,152,113,74.34,39,25.66,02035
2,36,79,50,63.29,29,36.71,02036
2,37,339,269,79.35,70,20.65,02037
2,38,237,170,71.73,67,28.27,02038
2,39,235,168,71.49,67,28.51,02039
2,40,290,234,80.69,56,19.31,02040
2,41,146,101,69.18,45,30.82,02041
2,42,98,73,74.49,25,25.51,02042
2,43,318,254,79.87,64,20.13,02043
2,44,114,88,77.19,26,22.81,02044
2,45,226,153,67.7,73,32.3,02045
2,46,313,267,85.3,46,14.7,02046
2,47,179,112,62.57,67,37.43,02047
2,48,178,135,75.84,43,24.16,02048
2,49,404,315,77.97,89,22.03,02049
2,50,180,138,76.67,42,23.33,02050
2,51,193,134,69.43,59,30.57,02051
2,52,257,169,65.76,88,34.24,02052
2,53,94,63,67.02,31,32.98,02053
2,54,251,195,77.69,56,22.31,02054
2,55,72,60,83.33,12,16.67,02055
2,56,196,133,67.86,63,32.14,02056
2,57,60,42,70.0,18,30.0,02057
2,58,160,126,78.75,34,21.25,02058
2,59,238,197,82.77,41,17.23,02059
3,1,149,105,70.47,44,29.53,03001
3,2,253,192,75.89,61,24.11,03002
3,3,195,149,76.41,46,23.59,03003
3,4,82,56,68.29,26,31.71,03004
3,5,114,93,81.58,21,18.42,03005
3,6,202,105,51.98,97,48.02,03006
3,7,138,110,79.71,28,20.29,03007
3,8,49,25,51.02,24,48.98,03008
3,9,124,99,79.84,25,20.16,03009
3,10,100,69,69.0,31,31.0,03010
3,11,140,97,69.29,43,30.71,03011
3,12,214,153,71.5,61,28.5,03012
3,13,144,104,72.22,40,27.78,03013
3,14,44,31,70.45,13,29.55,03014
3,15,213,159,74.65,54,25.35,03015
3,16,400,293,73.25,107,26.75,03016
3,17,160,117,73.13,43,26.88,03017
3,18,128,99,77.34,29,22.66,03018
3,19,57,40,70.18,17,29.82,03019
3,20,5,5,100.0,0,0.0,03020
3,21,113,80,70.8,33,29.2,03021
3,22,157,125,79.62,32,20.38,03022
3,23,23,17,73.91,6,26.09,03023
3,24,142,103,72.54,39,27.46,03024
3,25,8,5,62.5,3,37.5,03025
3,26,130,99,76.15,31,23.85,03026
3,27,4,2,50.0,2,50.0,03027
3,28,162,99,61.11,63,38.89,03028
3,29,125,84,67.2,41,32.8,03029
3,30,165,124,75.15,41,24.85,03030
3,31,263,197,74.9,66,25.1,03031
3,32,186,138,74.19,48,25.81,03032
3,33,275,198,72.0,77,28.0,03033
3,34,141,107,75.89,34,24.11,03034
3,35,192,143,74.48,49,25.52,03035
3,36,122,91,74.59,31,25.41,03036
3,37,101,74,73.27,27,26.73,03037
3,38,47,38,80.85,9,19.15,03038
3,39,176,157,89.2,19,10.8,03039
3,40,163,124,76.07,39,23.93,03040
3,41,223,156,69.96,67,30.04,03041
3,42,189,140,74.07,49,25.93,03042
3,43,58,51,87.93,7,12.07,03043
3,44,98,66,67.35,32,32.65,03044
3,45,67,47,70.15,20,29.85,03045
3,46,134,99,73.88,35,26.12,03046
3,47,148,110,74.32,38,25.68,03047
3,48,158,126,79.75,32,20.25,03048
3,49,75,48,64.0,27,36.0,03049
3,50,196,135,68.88,61,31.12,03050
3,51,81,55,67.9,26,32.1,03051
3,52,105,75,71.43,30,28.57,03052
3,53,183,156,85.25,27,14.75,03053
3,54,79,68,86.08,11,13.92,03054
3,55,160,111,69.38,49,30.63,03055
3,56,156,113,72.44,43,27.56,03056
3,57,201,149,74.13,52,25.87,03057
3,58,78,64,82.05,14,17.95,03058
3,59,91,66,72.53,25,27.47,03059
3,60,253,191,75.49,62,24.51,03060
3,61,177,125,70.62,52,29.38,03061
3,62,107,65,60.75,42,39.25,03062
3,63,391,320,81.84,71,18.16,03063
4,1,251,218,86.85,33,13.15,04001
4,2,314,257,81.85,57,18.15,04002
4,3,347,266,76.66,81,23.34,04003
4,4,320,228,71.25,92,28.75,04004
4,5,277,218,78.7,59,21.3,04005
4,6,96,77,80.21,19,19.79,04006
4,7,193,140,72.54,53,27.46,04007
4,8,255,200,78.43,55,21.57,04008
4,9,426,344,80.75,82,19.25,04009
4,10,323,233,72.14,90,27.86,04010
4,11,301,213,70.76,88,29.24,04011
4,12,170,131,77.06,39,22.94,04012
4,13,238,199,83.61,39,16.39,04013
4,14,229,161,70.31,68,29.69,04014
4,15,166,142,85.54,24,14.46,04015
4,16,320,249,77.81,71,22.19,04016
4,17,277,220,79.42,57,20.58,04017
4,18,325,252,77.54,73,22.46,04018
4,19,305,232,76.07,73,23.93,04019
4,20,99,68,68.69,31,31.31,04020
4,21,321,268,83.49,53,16.51,04021
4,22,330,265,80.3,65,19.7,04022
4,23,195,155,79.49,40,20.51,04023
4,24,309,232,75.08,77,24.92,04024
4,25,254,212,83.46,42,16.54,04025
4,26,269,199,73.98,70,26.02,04026
4,27,260,204,78.46,56,21.54,04027
4,28,227,190,83.7,37,16.3,04028
4,29,205,164,80.0,41,20.0,04029
4,30,84,58,69.05,26,30.95,04030
4,31,43,28,65.12,15,34.88,04031
4,32,326,282,86.5,44,13.5,04032
4,33,117,98,83.76,19,16.24,04033
4,34,197,175,88.83,22,11.17,04034
4,35,181,116,64.09,65,35.91,04035
4,36,152,115,75.66,37,24.34,04036
4,37,136,82,60.29,54,39.71,04037
4,38,400,338,84.5,62,15.5,04038
4,39,178,139,78.09,39,21.91,04039
4,40,270,205,75.93,65,24.07,04040
4,41,160,145,90.63,15,9.38,04041
4,42,287,221,77.0,66,23.0,04042
4,43,194,168,86.6,26,13.4,04043
4,44,218,189,86.7,29,13.3,04044
4,45,379,322,84.96,57,15.04,04045
4,46,280,210,75.0,70,25.0,04046
4,47,513,421,82.07,92,17.93,04047
4,48,386,321,83.16,65,16.84,04048
4,49,87,66,75.86,21,24.14,04049
4,50,238,187,78.57,51,21.43,04050
4,51,277,209,75.45,68,24.55,04051
4,52,65,52,80.0,13,20.0,04052
4,53,274,222,81.02,52,18.98,04053
4,54,151,114,75.5,37,24.5,04054
4,55,172,154,89.53,18,10.47,04055
4,56,274,213,77.74,61,22.26,04056
4,57,109,94,86.24,15,13.76,04057
5,1,296,204,68.92,92,31.08,05001
5,2,242,181,74.79,61,25.21,05002
5,3,174,137,78.74,37,21.26,05003
5,4,196,147,75.0,49,25.0,05004
5,5,219,153,69.86,66,30.14,05005
5,6,319,232,72.73,87,27.27,05006
5,7,288,212,73.61,76,26.39,05007
5,8,341,310,90.91,31,9.09,05008
5,9,261,186,71.26,75,28.74,05009
5,10,290,204,70.34,86,29.66,05010
5,11,278,224,80.58,54,19.42,05011
5,12,206,150,72.82,56,27.18,05012
5,13,215,149,69.3,66,30.7,05013
5,14,318,245,77.04,73,22.96,05014
5,15,261,208,79.69,53,20.31,05015
5,16,247,162,65.59,85,34.41,05016
5,17,253,161,63.64,92,36.36,05017
5,18,256,190,74.22,66,25.78,05018
5,19,141,92,65.25,49,34.75,05019
5,20,126,91,72.22,35,27.78,05020
5,21,282,205,72.7,77,27.3,05021
5,22,224,159,70.98,65,29.02,05022
5,23,198,140,70.71,58,29.29,05023
5,24,182,152,83.52,30,16.48,05024
5,25,309,212,68.61,97,31.39,05025
5,26,272,193,70.96,79,29.04,05026
5,27,439,374,85.19,65,14.81,05027
5,28,271,215,79.34,56,20.66,05028
5,29,299,231,77.26,68,22.74,05029
5,30,252,231,91.67,21,8.33,05030
5,31,251,166,66.14,85,33.86,05031
5,32,340,272,80.0,68,20.0,05032
5,33,127,94,74.02,33,25.98,05033
5,34,303,222,73.27,81,26.73,05034
5,35,235,198,84.26,37,15.74,05035
5,36,201,131,65.17,70,34.83,05036
5,37,247,203,82.19,44,17.81,05037
5,38,244,210,86.07,34,13.93,05038
5,39,339,307,90.56,32,9.44,05039
5,40,354,232,65.54,122,34.46,05040
5,41,206,182,88.35,24,11.65,05041
5,42,276,197,71.38,79,28.62,05042
5,43,271,226,83.39,45,16.61,05043
5,44,315,233,73.97,82,26.03,05044
5,45,174,111,63.79,63,36.21,05045
5,46,314,252,80.25,62,19.75,05046
