ward,precinct,total,"Lovana S. """"Lou"""" Jones","Lovana S. """"Lou"""" Jones Percent",precinct_id
2,7,393,393,100.0,02007
2,8,424,424,100.0,02008
2,14,0,0,0.0,02014
2,18,954,954,100.0,02018
2,20,312,312,100.0,02020
2,21,311,311,100.0,02021
2,26,564,564,100.0,02026
2,31,202,202,100.0,02031
2,37,428,428,100.0,02037
2,40,425,425,100.0,02040
2,44,209,209,100.0,02044
2,46,412,412,100.0,02046
2,49,48,48,100.0,02049
3,2,371,371,100.0,03002
3,5,182,182,100.0,03005
3,7,242,242,100.0,03007
3,9,20,20,100.0,03009
3,16,485,485,100.0,03016
3,30,224,224,100.0,03030
3,31,387,387,100.0,03031
3,34,191,191,100.0,03034
3,39,310,310,100.0,03039
3,46,236,236,100.0,03046
3,49,2,2,100.0,03049
3,56,230,230,100.0,03056
3,58,103,103,100.0,03058
3,61,153,153,100.0,03061
4,2,424,424,100.0,04002
4,3,545,545,100.0,04003
4,4,501,501,100.0,04004
4,5,399,399,100.0,04005
4,7,283,283,100.0,04007
4,8,382,382,100.0,04008
4,10,485,485,100.0,04010
4,11,404,404,100.0,04011
4,12,232,232,100.0,04012
4,13,295,295,100.0,04013
4,14,334,334,100.0,04014
4,15,242,242,100.0,04015
4,16,501,501,100.0,04016
4,18,480,480,100.0,04018
4,19,445,445,100.0,04019
4,20,172,172,100.0,04020
4,23,261,261,100.0,04023
4,24,428,428,100.0,04024
4,25,362,362,100.0,04025
4,26,412,412,100.0,04026
4,27,364,364,100.0,04027
4,30,163,163,100.0,04030
4,31,85,85,100.0,04031
4,33,179,179,100.0,04033
4,35,267,267,100.0,04035
4,36,217,217,100.0,04036
4,37,208,208,100.0,04037
4,39,274,274,100.0,04039
4,40,373,373,100.0,04040
4,42,401,401,100.0,04042
4,46,362,362,100.0,04046
4,49,168,168,100.0,04049
4,50,330,330,100.0,04050
4,51,408,408,100.0,04051
4,52,122,122,100.0,04052
4,53,357,357,100.0,04053
4,56,438,438,100.0,04056
4,57,157,157,100.0,04057
5,2,340,340,100.0,05002
5,9,361,361,100.0,05009
5,10,393,393,100.0,05010
5,13,306,306,100.0,05013
5,15,374,374,100.0,05015
5,16,343,343,100.0,05016
5,18,431,431,100.0,05018
5,19,208,208,100.0,05019
5,23,283,283,100.0,05023
5,45,236,236,100.0,05045
5,51,289,289,100.0,05051
5,52,132,132,100.0,05052
6,39,0,0,0.0,06039
20,2,260,260,100.0,20002
20,5,192,192,100.0,20005
20,9,292,292,100.0,20009
20,14,1,1,100.0,20014
20,18,413,413,100.0,20018
20,22,349,349,100.0,20022
20,24,529,529,100.0,20024
20,29,328,328,100.0,20029
20,32,565,565,100.0,20032
20,36,346,346,100.0,20036
20,47,184,184,100.0,20047
42,1,403,403,100.0,42001
42,2,311,311,100.0,42002
42,5,244,244,100.0,42005
42,6,452,452,100.0,42006
42,7,338,338,100.0,42007
42,9,35,35,100.0,42009
42,11,322,322,100.0,42011
42,13,444,444,100.0,42013
42,23,339,339,100.0,42023
42,24,299,299,100.0,42024
42,25,277,277,100.0,42025
42,29,311,311,100.0,42029
42,31,248,248,100.0,42031
42,35,202,202,100.0,42035
42,37,283,283,100.0,42037
42,38,304,304,100.0,42038
42,40,254,254,100.0,42040
42,41,534,534,100.0,42041
42,42,202,202,100.0,42042
42,43,263,263,100.0,42043
42,44,408,408,100.0,42044
42,47,189,189,100.0,42047
42,48,258,258,100.0,42048
42,50,181,181,100.0,42050
42,51,288,288,100.0,42051
42,52,191,191,100.0,42052
42,53,217,217,100.0,42053
42,54,287,287,100.0,42054
42,61,188,188,100.0,42061
42,62,202,202,100.0,42062
42,63,252,252,100.0,42063
42,64,184,184,100.0,42064
42,65,363,363,100.0,42065
42,66,327,327,100.0,42066
43,62,315,315,100.0,43062
43,66,155,155,100.0,43066
