ward,precinct,total,Susana Mendoza,Susana Mendoza Percent,precinct_id
11,3,205,205,100.0,11003
12,2,191,191,100.0,12002
12,3,194,194,100.0,12003
12,4,171,171,100.0,12004
12,5,216,216,100.0,12005
12,6,159,159,100.0,12006
12,8,76,76,100.0,12008
12,9,76,76,100.0,12009
12,10,106,106,100.0,12010
12,11,177,177,100.0,12011
12,12,182,182,100.0,12012
12,13,152,152,100.0,12013
12,17,174,174,100.0,12017
12,19,177,177,100.0,12019
12,20,196,196,100.0,12020
12,21,243,243,100.0,12021
12,23,145,145,100.0,12023
12,24,288,288,100.0,12024
12,25,184,184,100.0,12025
12,26,176,176,100.0,12026
12,27,112,112,100.0,12027
12,28,214,214,100.0,12028
12,29,221,221,100.0,12029
14,7,217,217,100.0,14007
14,8,179,179,100.0,14008
14,10,243,243,100.0,14010
14,12,188,188,100.0,14012
14,14,186,186,100.0,14014
14,16,262,262,100.0,14016
14,17,252,252,100.0,14017
14,18,233,233,100.0,14018
14,19,306,306,100.0,14019
14,20,227,227,100.0,14020
14,21,243,243,100.0,14021
14,22,227,227,100.0,14022
14,23,204,204,100.0,14023
14,26,184,184,100.0,14026
14,29,271,271,100.0,14029
14,30,190,190,100.0,14030
14,31,238,238,100.0,14031
14,33,200,200,100.0,14033
14,34,22,22,100.0,14034
14,36,281,281,100.0,14036
14,37,254,254,100.0,14037
16,11,166,166,100.0,16011
16,13,223,223,100.0,16013
16,21,251,251,100.0,16021
16,23,271,271,100.0,16023
16,32,127,127,100.0,16032
16,42,134,134,100.0,16042
16,47,14,14,100.0,16047
20,4,210,210,100.0,20004
20,21,136,136,100.0,20021
22,8,202,202,100.0,22008
22,9,227,227,100.0,22009
22,11,227,227,100.0,22011
22,15,205,205,100.0,22015
22,22,160,160,100.0,22022
22,28,3,3,100.0,22028
