ward,precinct,total,Patricia A. Bailey,Patricia A. Bailey Percent,precinct_id
3,10,150,150,100.0,03010
3,12,300,300,100.0,03012
3,13,181,181,100.0,03013
3,21,185,185,100.0,03021
3,36,5,5,100.0,03036
3,44,165,165,100.0,03044
3,48,272,272,100.0,03048
3,50,258,258,100.0,03050
3,51,110,110,100.0,03051
3,52,145,145,100.0,03052
3,55,237,237,100.0,03055
11,12,212,212,100.0,11012
11,13,243,243,100.0,11013
11,15,193,193,100.0,11015
11,23,186,186,100.0,11023
11,25,0,0,0.0,11025
11,27,203,203,100.0,11027
11,28,202,202,100.0,11028
11,31,177,177,100.0,11031
11,32,177,177,100.0,11032
11,33,174,174,100.0,11033
11,34,128,128,100.0,11034
11,35,276,276,100.0,11035
11,36,14,14,100.0,11036
11,37,238,238,100.0,11037
11,39,310,310,100.0,11039
11,42,170,170,100.0,11042
11,43,278,278,100.0,11043
11,46,91,91,100.0,11046
11,48,75,75,100.0,11048
11,49,181,181,100.0,11049
12,9,0,0,0.0,12009
12,16,89,89,100.0,12016
15,2,227,227,100.0,15002
15,3,258,258,100.0,15003
15,4,265,265,100.0,15004
15,5,274,274,100.0,15005
15,17,292,292,100.0,15017
15,18,220,220,100.0,15018
15,19,246,246,100.0,15019
15,20,223,223,100.0,15020
15,22,315,315,100.0,15022
15,23,224,224,100.0,15023
15,24,280,280,100.0,15024
15,26,230,230,100.0,15026
15,29,146,146,100.0,15029
15,30,192,192,100.0,15030
15,31,212,212,100.0,15031
15,33,228,228,100.0,15033
15,35,254,254,100.0,15035
15,36,241,241,100.0,15036
15,37,214,214,100.0,15037
15,38,276,276,100.0,15038
15,39,284,284,100.0,15039
15,40,260,260,100.0,15040
15,43,238,238,100.0,15043
15,48,245,245,100.0,15048
15,49,105,105,100.0,15049
15,50,260,260,100.0,15050
15,52,151,151,100.0,15052
16,1,164,164,100.0,16001
16,2,203,203,100.0,16002
16,3,252,252,100.0,16003
16,4,256,256,100.0,16004
16,5,296,296,100.0,16005
16,6,86,86,100.0,16006
16,7,254,254,100.0,16007
16,8,214,214,100.0,16008
16,9,307,307,100.0,16009
16,10,221,221,100.0,16010
16,12,229,229,100.0,16012
16,14,274,274,100.0,16014
16,15,295,295,100.0,16015
16,16,268,268,100.0,16016
16,18,274,274,100.0,16018
16,19,215,215,100.0,16019
16,20,251,251,100.0,16020
16,22,216,216,100.0,16022
16,24,158,158,100.0,16024
16,25,210,210,100.0,16025
16,26,261,261,100.0,16026
16,27,259,259,100.0,16027
16,28,275,275,100.0,16028
16,29,156,156,100.0,16029
16,30,215,215,100.0,16030
16,31,282,282,100.0,16031
16,33,235,235,100.0,16033
16,34,248,248,100.0,16034
16,36,267,267,100.0,16036
16,37,279,279,100.0,16037
16,38,279,279,100.0,16038
16,40,293,293,100.0,16040
16,42,19,19,100.0,16042
16,43,230,230,100.0,16043
16,44,311,311,100.0,16044
16,45,170,170,100.0,16045
16,46,60,60,100.0,16046
16,47,141,141,100.0,16047
17,13,12,12,100.0,17013
17,14,0,0,0.0,17014
20,8,108,108,100.0,20008
20,12,101,101,100.0,20012
20,13,113,113,100.0,20013
20,15,110,110,100.0,20015
20,16,106,106,100.0,20016
20,19,142,142,100.0,20019
20,20,190,190,100.0,20020
20,25,9,9,100.0,20025
20,39,272,272,100.0,20039
20,40,240,240,100.0,20040
20,41,14,14,100.0,20041
20,43,128,128,100.0,20043
20,44,337,337,100.0,20044
20,45,67,67,100.0,20045
20,48,154,154,100.0,20048
20,51,89,89,100.0,20051
20,52,159,159,100.0,20052
20,53,66,66,100.0,20053
20,54,199,199,100.0,20054
20,55,156,156,100.0,20055
