ward,precinct,total,"Edward (""""ED"""") Washington II","Edward (""""ED"""") Washington II Percent",precinct_id
2,14,325,325,100.0,02014
2,20,224,224,100.0,02020
2,31,249,249,100.0,02031
2,44,155,155,100.0,02044
2,46,316,316,100.0,02046
3,1,161,161,100.0,03001
3,2,259,259,100.0,03002
3,4,84,84,100.0,03004
3,5,133,133,100.0,03005
3,7,192,192,100.0,03007
3,8,45,45,100.0,03008
3,9,162,162,100.0,03009
3,10,120,120,100.0,03010
3,11,130,130,100.0,03011
3,12,229,229,100.0,03012
3,14,122,122,100.0,03014
3,15,255,255,100.0,03015
3,16,396,396,100.0,03016
3,17,167,167,100.0,03017
3,18,150,150,100.0,03018
3,19,68,68,100.0,03019
3,20,4,4,100.0,03020
3,21,148,148,100.0,03021
3,22,154,154,100.0,03022
3,23,22,22,100.0,03023
3,24,160,160,100.0,03024
3,25,7,7,100.0,03025
3,26,151,151,100.0,03026
3,27,5,5,100.0,03027
3,29,134,134,100.0,03029
3,30,163,163,100.0,03030
3,31,269,269,100.0,03031
3,32,225,225,100.0,03032
3,33,273,273,100.0,03033
3,34,145,145,100.0,03034
3,35,211,211,100.0,03035
3,36,119,119,100.0,03036
3,37,106,106,100.0,03037
3,38,53,53,100.0,03038
3,39,231,231,100.0,03039
3,40,168,168,100.0,03040
3,41,218,218,100.0,03041
3,42,194,194,100.0,03042
3,43,59,59,100.0,03043
3,44,113,113,100.0,03044
3,45,77,77,100.0,03045
3,46,170,170,100.0,03046
3,47,130,130,100.0,03047
3,48,194,194,100.0,03048
3,49,84,84,100.0,03049
3,50,211,211,100.0,03050
3,52,122,122,100.0,03052
3,53,241,241,100.0,03053
3,55,170,170,100.0,03055
3,56,177,177,100.0,03056
3,57,234,234,100.0,03057
3,58,83,83,100.0,03058
3,59,135,135,100.0,03059
3,60,258,258,100.0,03060
3,62,140,140,100.0,03062
4,1,297,297,100.0,04001
4,2,336,336,100.0,04002
4,3,429,429,100.0,04003
4,4,371,371,100.0,04004
4,5,307,307,100.0,04005
4,6,107,107,100.0,04006
4,7,211,211,100.0,04007
4,8,299,299,100.0,04008
4,9,496,496,100.0,04009
4,10,368,368,100.0,04010
4,11,329,329,100.0,04011
4,12,177,177,100.0,04012
4,13,260,260,100.0,04013
4,14,231,231,100.0,04014
4,15,191,191,100.0,04015
4,16,390,390,100.0,04016
4,17,324,324,100.0,04017
4,18,376,376,100.0,04018
4,19,344,344,100.0,04019
4,20,130,130,100.0,04020
4,21,383,383,100.0,04021
4,22,356,356,100.0,04022
4,23,217,217,100.0,04023
4,24,358,358,100.0,04024
4,25,279,279,100.0,04025
4,26,329,329,100.0,04026
4,27,268,268,100.0,04027
4,28,227,227,100.0,04028
4,29,207,207,100.0,04029
4,30,102,102,100.0,04030
4,31,54,54,100.0,04031
4,32,358,358,100.0,04032
4,33,139,139,100.0,04033
4,34,214,214,100.0,04034
4,35,197,197,100.0,04035
4,36,171,171,100.0,04036
4,37,147,147,100.0,04037
4,38,417,417,100.0,04038
4,39,208,208,100.0,04039
4,40,281,281,100.0,04040
4,41,168,168,100.0,04041
4,42,305,305,100.0,04042
4,43,215,215,100.0,04043
4,44,263,263,100.0,04044
4,45,420,420,100.0,04045
4,46,293,293,100.0,04046
4,47,511,511,100.0,04047
4,48,399,399,100.0,04048
4,49,127,127,100.0,04049
4,50,256,256,100.0,04050
4,51,326,326,100.0,04051
4,52,93,93,100.0,04052
4,53,280,280,100.0,04053
4,54,197,197,100.0,04054
4,55,199,199,100.0,04055
4,56,311,311,100.0,04056
4,57,127,127,100.0,04057
5,1,326,326,100.0,05001
5,2,255,255,100.0,05002
5,3,185,185,100.0,05003
5,4,225,225,100.0,05004
5,5,246,246,100.0,05005
5,6,348,348,100.0,05006
5,7,303,303,100.0,05007
5,8,285,285,100.0,05008
5,9,289,289,100.0,05009
5,10,318,318,100.0,05010
5,11,263,263,100.0,05011
5,13,234,234,100.0,05013
5,14,329,329,100.0,05014
5,15,303,303,100.0,05015
5,16,232,232,100.0,05016
5,17,307,307,100.0,05017
5,18,337,337,100.0,05018
5,19,171,171,100.0,05019
5,20,168,168,100.0,05020
5,21,314,314,100.0,05021
5,22,243,243,100.0,05022
5,23,238,238,100.0,05023
5,24,184,184,100.0,05024
5,25,317,317,100.0,05025
5,26,312,312,100.0,05026
5,27,465,465,100.0,05027
5,28,295,295,100.0,05028
