ward,precinct,total,"Leroy K. Martin, Jr.","Leroy K. Martin, Jr. Percent",precinct_id
5,12,204,204,100.0,05012
5,50,24,24,100.0,05050
6,1,376,376,100.0,06001
6,2,374,374,100.0,06002
6,3,345,345,100.0,06003
6,4,212,212,100.0,06004
6,5,222,222,100.0,06005
6,6,278,278,100.0,06006
6,8,310,310,100.0,06008
6,9,215,215,100.0,06009
6,10,351,351,100.0,06010
6,11,309,309,100.0,06011
6,12,320,320,100.0,06012
6,13,343,343,100.0,06013
6,14,387,387,100.0,06014
6,16,348,348,100.0,06016
6,17,408,408,100.0,06017
6,19,386,386,100.0,06019
6,21,290,290,100.0,06021
6,22,351,351,100.0,06022
6,23,273,273,100.0,06023
6,24,354,354,100.0,06024
6,25,248,248,100.0,06025
6,26,370,370,100.0,06026
6,27,421,421,100.0,06027
6,28,530,530,100.0,06028
6,29,380,380,100.0,06029
6,31,394,394,100.0,06031
6,34,350,350,100.0,06034
6,35,435,435,100.0,06035
6,36,206,206,100.0,06036
6,37,355,355,100.0,06037
6,38,369,369,100.0,06038
6,39,183,183,100.0,06039
6,40,244,244,100.0,06040
6,41,356,356,100.0,06041
6,42,272,272,100.0,06042
6,43,370,370,100.0,06043
6,44,344,344,100.0,06044
6,45,200,200,100.0,06045
6,46,301,301,100.0,06046
6,47,349,349,100.0,06047
6,49,317,317,100.0,06049
6,50,333,333,100.0,06050
6,51,243,243,100.0,06051
6,52,290,290,100.0,06052
6,53,315,315,100.0,06053
6,54,328,328,100.0,06054
6,55,301,301,100.0,06055
6,56,234,234,100.0,06056
6,57,217,217,100.0,06057
6,58,334,334,100.0,06058
6,59,310,310,100.0,06059
6,60,232,232,100.0,06060
6,62,118,118,100.0,06062
6,63,292,292,100.0,06063
6,64,348,348,100.0,06064
7,1,310,310,100.0,07001
7,2,426,426,100.0,07002
7,3,295,295,100.0,07003
7,4,318,318,100.0,07004
7,5,290,290,100.0,07005
7,6,267,267,100.0,07006
7,7,224,224,100.0,07007
7,8,136,136,100.0,07008
7,10,268,268,100.0,07010
