ward,precinct,total,John Kerry and John Edwards,John Kerry and John Edwards Percent,George Bush and Dick Cheney,George Bush and Dick Cheney Percent,M. Badnarik and R. Campagna,M. Badnarik and R. Campagna Percent,precinct_id
1,1,536,430,80.22,101,18.84,5,0.93,01001
1,2,722,573,79.36,146,20.22,3,0.42,01002
1,3,575,472,82.09,99,17.22,4,0.7,01003
1,4,508,431,84.84,75,14.76,2,0.39,01004
1,5,621,505,81.32,108,17.39,8,1.29,01005
1,6,425,299,70.35,120,28.24,6,1.41,01006
1,7,705,513,72.77,184,26.1,8,1.13,01007
1,8,513,408,79.53,101,19.69,4,0.78,01008
1,9,382,324,84.82,57,14.92,1,0.26,01009
1,10,471,381,80.89,88,18.68,2,0.42,01010
1,11,637,511,80.22,123,19.31,3,0.47,01011
1,12,561,438,78.07,117,20.86,6,1.07,01012
1,13,479,376,78.5,99,20.67,4,0.84,01013
1,14,668,576,86.23,87,13.02,5,0.75,01014
1,15,341,298,87.39,40,11.73,3,0.88,01015
1,16,260,239,91.92,21,8.08,0,0.0,01016
1,17,599,493,82.3,103,17.2,3,0.5,01017
1,18,382,347,90.84,30,7.85,5,1.31,01018
1,19,546,408,74.73,136,24.91,2,0.37,01019
1,20,417,316,75.78,99,23.74,2,0.48,01020
1,21,797,623,78.17,170,21.33,4,0.5,01021
1,22,454,373,82.16,77,16.96,4,0.88,01022
1,23,572,463,80.94,105,18.36,4,0.7,01023
1,24,565,477,84.42,82,14.51,6,1.06,01024
1,25,492,385,78.25,99,20.12,8,1.63,01025
1,26,561,427,76.11,131,23.35,3,0.53,01026
1,27,522,420,80.46,97,18.58,5,0.96,01027
1,28,511,422,82.58,86,16.83,3,0.59,01028
1,29,422,318,75.36,100,23.7,4,0.95,01029
1,30,590,493,83.56,93,15.76,4,0.68,01030
1,31,597,402,67.34,184,30.82,11,1.84,01031
1,32,411,344,83.7,64,15.57,3,0.73,01032
1,33,575,477,82.96,97,16.87,1,0.17,01033
1,34,335,265,79.1,66,19.7,4,1.19,01034
1,35,367,257,70.03,107,29.16,3,0.82,01035
1,36,653,485,74.27,159,24.35,9,1.38,01036
1,37,594,467,78.62,120,20.2,7,1.18,01037
1,38,268,215,80.22,51,19.03,2,0.75,01038
1,39,576,451,78.3,117,20.31,8,1.39,01039
1,40,228,180,78.95,46,20.18,2,0.88,01040
2,1,693,492,71.0,190,27.42,11,1.59,02001
2,2,17,16,94.12,0,0.0,1,5.88,02002
2,3,506,395,78.06,109,21.54,2,0.4,02003
2,4,347,339,97.69,5,1.44,3,0.86,02004
2,5,257,244,94.94,13,5.06,0,0.0,02005
2,6,635,402,63.31,231,36.38,2,0.31,02006
2,7,458,444,96.94,14,3.06,0,0.0,02007
2,8,564,417,73.94,143,25.35,4,0.71,02008
2,9,265,256,96.6,9,3.4,0,0.0,02009
2,10,132,123,93.18,7,5.3,2,1.52,02010
2,11,212,155,73.11,53,25.0,4,1.89,02011
2,12,643,416,64.7,221,34.37,6,0.93,02012
2,13,390,329,84.36,54,13.85,7,1.79,02013
2,14,496,471,94.96,22,4.44,3,0.6,02014
2,15,99,98,98.99,1,1.01,0,0.0,02015
