ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Ryan Chlada,Ryan Chlada Percent,precinct_id
3,51,119,88,73.95,31,26.05,03051
11,1,384,330,85.94,54,14.06,11001
11,2,346,288,83.24,58,16.76,11002
11,4,418,371,88.76,47,11.24,11004
11,5,256,221,86.33,35,13.67,11005
11,6,458,393,85.81,65,14.19,11006
11,7,290,253,87.24,37,12.76,11007
11,8,355,298,83.94,57,16.06,11008
11,9,304,267,87.83,37,12.17,11009
11,11,486,394,81.07,92,18.93,11011
11,12,356,312,87.64,44,12.36,11012
11,13,369,317,85.91,52,14.09,11013
11,15,300,261,87.0,39,13.0,11015
11,16,393,341,86.77,52,13.23,11016
11,17,440,364,82.73,76,17.27,11017
11,18,199,166,83.42,33,16.58,11018
11,19,344,296,86.05,48,13.95,11019
11,20,245,225,91.84,20,8.16,11020
11,21,321,290,90.34,31,9.66,11021
11,22,255,231,90.59,24,9.41,11022
11,23,269,247,91.82,22,8.18,11023
11,24,561,503,89.66,58,10.34,11024
11,25,262,223,85.11,39,14.89,11025
11,26,470,408,86.81,62,13.19,11026
11,29,412,371,90.05,41,9.95,11029
11,30,355,316,89.01,39,10.99,11030
11,31,257,215,83.66,42,16.34,11031
11,32,279,250,89.61,29,10.39,11032
11,33,248,211,85.08,37,14.92,11033
11,34,27,25,92.59,2,7.41,11034
11,35,461,399,86.55,62,13.45,11035
11,37,360,310,86.11,50,13.89,11037
11,38,475,416,87.58,59,12.42,11038
11,39,432,373,86.34,59,13.66,11039
11,40,236,203,86.02,33,13.98,11040
11,41,221,196,88.69,25,11.31,11041
11,42,257,221,85.99,36,14.01,11042
11,43,437,380,86.96,57,13.04,11043
11,44,359,306,85.24,53,14.76,11044
11,45,199,170,85.43,29,14.57,11045
11,47,302,269,89.07,33,10.93,11047
11,48,150,128,85.33,22,14.67,11048
11,49,295,261,88.47,34,11.53,11049
11,50,252,221,87.7,31,12.3,11050
13,1,352,288,81.82,64,18.18,13001
13,2,266,240,90.23,26,9.77,13002
13,4,534,429,80.34,105,19.66,13004
13,5,290,260,89.66,30,10.34,13005
13,6,300,244,81.33,56,18.67,13006
13,7,322,281,87.27,41,12.73,13007
13,8,371,301,81.13,70,18.87,13008
13,9,301,262,87.04,39,12.96,13009
13,10,283,232,81.98,51,18.02,13010
13,11,271,249,91.88,22,8.12,13011
13,12,380,332,87.37,48,12.63,13012
13,13,369,332,89.97,37,10.03,13013
13,14,292,242,82.88,50,17.12,13014
13,15,355,317,89.3,38,10.7,13015
13,16,256,227,88.67,29,11.33,13016
13,17,353,296,83.85,57,16.15,13017
13,18,317,268,84.54,49,15.46,13018
13,19,322,299,92.86,23,7.14,13019
13,20,314,282,89.81,32,10.19,13020
13,21,255,227,89.02,28,10.98,13021
13,22,342,310,90.64,32,9.36,13022
13,23,279,247,88.53,32,11.47,13023
13,24,356,316,88.76,40,11.24,13024
13,25,326,273,83.74,53,16.26,13025
13,26,259,227,87.64,32,12.36,13026
13,27,404,330,81.68,74,18.32,13027
13,28,259,229,88.42,30,11.58,13028
13,29,299,250,83.61,49,16.39,13029
13,30,363,318,87.6,45,12.4,13030
13,31,354,320,90.4,34,9.6,13031
13,32,381,347,91.08,34,8.92,13032
13,33,293,257,87.71,36,12.29,13033
13,34,301,268,89.04,33,10.96,13034
13,35,373,325,87.13,48,12.87,13035
13,36,240,202,84.17,38,15.83,13036
13,37,238,193,81.09,45,18.91,13037
13,38,404,345,85.4,59,14.6,13038
13,39,339,297,87.61,42,12.39,13039
13,40,304,269,88.49,35,11.51,13040
13,41,304,276,90.79,28,9.21,13041
