ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Antonio Davis-Fairman,Antonio Davis-Fairman Percent,precinct_id
27,66,129,125,96.9,4,3.1,27066
28,1,344,333,96.8,11,3.2,28001
28,2,178,172,96.63,6,3.37,28002
28,3,217,211,97.24,6,2.76,28003
28,4,395,388,98.23,7,1.77,28004
28,5,412,391,94.9,21,5.1,28005
28,6,278,272,97.84,6,2.16,28006
28,7,334,325,97.31,9,2.69,28007
28,8,198,190,95.96,8,4.04,28008
28,9,213,212,99.53,1,0.47,28009
28,10,83,81,97.59,2,2.41,28010
28,11,280,275,98.21,5,1.79,28011
28,12,327,321,98.17,6,1.83,28012
28,13,326,318,97.55,8,2.45,28013
28,14,239,231,96.65,8,3.35,28014
28,15,212,208,98.11,4,1.89,28015
28,16,326,321,98.47,5,1.53,28016
28,17,284,274,96.48,10,3.52,28017
28,18,416,404,97.12,12,2.88,28018
28,19,430,421,97.91,9,2.09,28019
28,20,322,308,95.65,14,4.35,28020
28,21,377,371,98.41,6,1.59,28021
28,22,297,286,96.3,11,3.7,28022
28,23,372,361,97.04,11,2.96,28023
28,24,251,244,97.21,7,2.79,28024
28,25,252,246,97.62,6,2.38,28025
28,26,330,320,96.97,10,3.03,28026
28,27,273,268,98.17,5,1.83,28027
28,28,237,231,97.47,6,2.53,28028
28,30,219,210,95.89,9,4.11,28030
28,31,283,276,97.53,7,2.47,28031
28,32,335,327,97.61,8,2.39,28032
28,33,213,209,98.12,4,1.88,28033
28,35,237,229,96.62,8,3.38,28035
28,36,282,278,98.58,4,1.42,28036
28,37,325,317,97.54,8,2.46,28037
28,39,85,80,94.12,5,5.88,28039
28,40,339,332,97.94,7,2.06,28040
28,41,124,123,99.19,1,0.81,28041
28,42,267,254,95.13,13,4.87,28042
28,43,212,209,98.58,3,1.42,28043
28,44,223,217,97.31,6,2.69,28044
28,45,234,228,97.44,6,2.56,28045
28,46,216,209,96.76,7,3.24,28046
28,47,250,246,98.4,4,1.6,28047
28,48,261,253,96.93,8,3.07,28048
28,49,236,230,97.46,6,2.54,28049
28,50,221,216,97.74,5,2.26,28050
28,51,281,269,95.73,12,4.27,28051
28,52,285,275,96.49,10,3.51,28052
28,53,148,141,95.27,7,4.73,28053
28,54,267,254,95.13,13,4.87,28054
28,55,320,315,98.44,5,1.56,28055
28,56,288,277,96.18,11,3.82,28056
28,57,208,200,96.15,8,3.85,28057
28,58,220,216,98.18,4,1.82,28058
28,59,208,205,98.56,3,1.44,28059
28,60,263,260,98.86,3,1.14,28060
28,61,159,158,99.37,1,0.63,28061
28,62,312,301,96.47,11,3.53,28062
28,63,335,333,99.4,2,0.6,28063
28,64,240,236,98.33,4,1.67,28064
28,65,293,285,97.27,8,2.73,28065
28,66,291,286,98.28,5,1.72,28066
28,67,143,139,97.2,4,2.8,28067
28,68,311,308,99.04,3,0.96,28068
28,69,163,148,90.8,15,9.2,28069
28,70,200,194,97.0,6,3.0,28070
28,71,279,269,96.42,10,3.58,28071
28,72,159,157,98.74,2,1.26,28072
28,73,152,132,86.84,20,13.16,28073
29,1,397,386,97.23,11,2.77,29001
29,3,491,480,97.76,11,2.24,29003
29,4,379,367,96.83,12,3.17,29004
29,5,426,416,97.65,10,2.35,29005
29,8,331,322,97.28,9,2.72,29008
29,10,343,338,98.54,5,1.46,29010
29,11,540,523,96.85,17,3.15,29011
29,12,474,457,96.41,17,3.59,29012
29,13,442,431,97.51,11,2.49,29013
29,14,464,451,97.2,13,2.8,29014
29,15,431,412,95.59,19,4.41,29015
29,16,400,388,97.0,12,3.0,29016
29,17,352,344,97.73,8,2.27,29017
29,18,424,396,93.4,28,6.6,29018
29,19,332,327,98.49,5,1.51,29019
29,20,394,383,97.21,11,2.79,29020
29,21,440,429,97.5,11,2.5,29021
29,22,320,275,85.94,45,14.06,29022
29,23,485,463,95.46,22,4.54,29023
29,25,438,429,97.95,9,2.05,29025
29,26,369,359,97.29,10,2.71,29026
29,27,433,424,97.92,9,2.08,29027
29,28,543,523,96.32,20,3.68,29028
29,29,528,516,97.73,12,2.27,29029
29,31,406,399,98.28,7,1.72,29031
29,33,372,365,98.12,7,1.88,29033
29,34,306,270,88.24,36,11.76,29034
29,35,380,367,96.58,13,3.42,29035
29,36,422,408,96.68,14,3.32,29036
29,37,414,398,96.14,16,3.86,29037
29,38,377,369,97.88,8,2.12,29038
29,40,547,535,97.81,12,2.19,29040
29,41,430,422,98.14,8,1.86,29041
29,42,488,477,97.75,11,2.25,29042
29,43,520,505,97.12,15,2.88,29043
29,44,413,404,97.82,9,2.18,29044
29,45,401,388,96.76,13,3.24,29045
29,46,447,430,96.2,17,3.8,29046
29,47,518,487,94.02,31,5.98,29047
29,48,332,325,97.89,7,2.11,29048
29,49,461,454,98.48,7,1.52,29049
29,50,363,351,96.69,12,3.31,29050
29,51,377,363,96.29,14,3.71,29051
32,1,387,343,88.63,44,11.37,32001
32,6,436,339,77.75,97,22.25,32006
32,12,95,90,94.74,5,5.26,32012
32,17,157,121,77.07,36,22.93,32017
32,26,390,323,82.82,67,17.18,32026
32,46,102,80,78.43,22,21.57,32046
32,50,546,347,63.55,199,36.45,32050
32,51,587,365,62.18,222,37.82,32051
36,23,167,157,94.01,10,5.99,36023
36,24,335,310,92.54,25,7.46,36024
36,44,262,229,87.4,33,12.6,36044
36,54,340,303,89.12,37,10.88,36054
37,2,293,258,88.05,35,11.95,37002
37,3,263,251,95.44,12,4.56,37003
37,4,142,133,93.66,9,6.34,37004
37,5,361,348,96.4,13,3.6,37005
37,6,368,359,97.55,9,2.45,37006
37,7,287,284,98.95,3,1.05,37007
37,8,331,311,93.96,20,6.04,37008
37,9,427,414,96.96,13,3.04,37009
37,10,361,345,95.57,16,4.43,37010
37,12,302,279,92.38,23,7.62,37012
37,13,331,315,95.17,16,4.83,37013
37,14,405,396,97.78,9,2.22,37014
37,15,405,395,97.53,10,2.47,37015
37,16,447,432,96.64,15,3.36,37016
37,17,419,404,96.42,15,3.58,37017
37,18,362,354,97.79,8,2.21,37018
37,19,146,140,95.89,6,4.11,37019
37,20,294,288,97.96,6,2.04,37020
37,21,309,298,96.44,11,3.56,37021
37,22,471,451,95.75,20,4.25,37022
37,23,279,268,96.06,11,3.94,37023
37,24,370,359,97.03,11,2.97,37024
37,25,435,423,97.24,12,2.76,37025
37,26,225,218,96.89,7,3.11,37026
37,27,326,320,98.16,6,1.84,37027
37,28,292,279,95.55,13,4.45,37028
37,29,385,376,97.66,9,2.34,37029
37,30,283,269,95.05,14,4.95,37030
37,31,419,411,98.09,8,1.91,37031
37,32,399,392,98.25,7,1.75,37032
37,33,355,346,97.46,9,2.54,37033
37,34,335,326,97.31,9,2.69,37034
37,35,207,200,96.62,7,3.38,37035
37,36,374,367,98.13,7,1.87,37036
37,37,333,322,96.7,11,3.3,37037
37,38,435,422,97.01,13,2.99,37038
37,40,452,440,97.35,12,2.65,37040
37,41,377,366,97.08,11,2.92,37041
37,42,94,84,89.36,10,10.64,37042
37,43,263,256,97.34,7,2.66,37043
37,44,331,318,96.07,13,3.93,37044
37,45,273,269,98.53,4,1.47,37045
37,46,346,339,97.98,7,2.02,37046
37,48,407,392,96.31,15,3.69,37048
37,49,360,354,98.33,6,1.67,37049
37,51,300,287,95.67,13,4.33,37051
37,53,335,329,98.21,6,1.79,37053
37,54,403,389,96.53,14,3.47,37054
37,55,321,314,97.82,7,2.18,37055
37,56,284,270,95.07,14,4.93,37056
37,57,201,192,95.52,9,4.48,37057
37,58,314,304,96.82,10,3.18,37058
42,1,537,373,69.46,164,30.54,42001
42,2,402,293,72.89,109,27.11,42002
42,3,362,245,67.68,117,32.32,42003
42,4,357,238,66.67,119,33.33,42004
