ward,precinct,total,Mary Lane Mikva,Mary Lane Mikva Percent,precinct_id
2,1,503,503,100.0,02001
2,7,307,307,100.0,02007
2,8,393,393,100.0,02008
2,11,137,137,100.0,02011
2,12,1,1,100.0,02012
2,18,874,874,100.0,02018
2,20,18,18,100.0,02020
2,21,243,243,100.0,02021
2,22,463,463,100.0,02022
2,26,476,476,100.0,02026
2,35,172,172,100.0,02035
2,37,398,398,100.0,02037
2,40,348,348,100.0,02040
2,43,363,363,100.0,02043
2,49,486,486,100.0,02049
2,54,360,360,100.0,02054
2,55,92,92,100.0,02055
2,58,193,193,100.0,02058
2,59,298,298,100.0,02059
3,3,208,208,100.0,03003
3,6,211,211,100.0,03006
3,28,175,175,100.0,03028
3,54,105,105,100.0,03054
3,61,213,213,100.0,03061
3,63,477,477,100.0,03063
11,14,154,154,100.0,11014
11,27,31,31,100.0,11027
11,36,56,56,100.0,11036
25,14,138,138,100.0,25014
25,16,107,107,100.0,25016
25,18,194,194,100.0,25018
27,5,88,88,100.0,27005
27,6,182,182,100.0,27006
27,9,353,353,100.0,27009
27,12,212,212,100.0,27012
27,13,73,73,100.0,27013
27,14,108,108,100.0,27014
27,16,168,168,100.0,27016
27,20,298,298,100.0,27020
27,21,97,97,100.0,27021
27,28,198,198,100.0,27028
27,37,60,60,100.0,27037
27,39,90,90,100.0,27039
27,42,188,188,100.0,27042
27,43,196,196,100.0,27043
27,50,310,310,100.0,27050
27,51,111,111,100.0,27051
27,52,44,44,100.0,27052
27,65,42,42,100.0,27065
27,66,56,56,100.0,27066
32,7,300,300,100.0,32007
32,8,441,441,100.0,32008
32,10,360,360,100.0,32010
32,13,201,201,100.0,32013
32,18,304,304,100.0,32018
32,20,76,76,100.0,32020
32,23,355,355,100.0,32023
32,27,145,145,100.0,32027
32,32,371,371,100.0,32032
32,37,323,323,100.0,32037
32,38,389,389,100.0,32038
32,39,466,466,100.0,32039
32,43,391,391,100.0,32043
32,44,193,193,100.0,32044
32,46,11,11,100.0,32046
32,47,339,339,100.0,32047
32,48,512,512,100.0,32048
32,49,315,315,100.0,32049
32,50,450,450,100.0,32050
32,51,395,395,100.0,32051
40,3,322,322,100.0,40003
40,4,235,235,100.0,40004
40,7,310,310,100.0,40007
40,11,252,252,100.0,40011
40,16,238,238,100.0,40016
40,22,133,133,100.0,40022
40,23,372,372,100.0,40023
40,33,261,261,100.0,40033
40,40,161,161,100.0,40040
40,41,365,365,100.0,40041
40,42,329,329,100.0,40042
40,43,324,324,100.0,40043
40,45,365,365,100.0,40045
40,46,316,316,100.0,40046
42,1,387,387,100.0,42001
42,2,279,279,100.0,42002
42,3,225,225,100.0,42003
42,4,236,236,100.0,42004
42,5,236,236,100.0,42005
42,6,412,412,100.0,42006
42,7,329,329,100.0,42007
42,8,374,374,100.0,42008
42,9,589,589,100.0,42009
42,10,233,233,100.0,42010
42,11,294,294,100.0,42011
42,12,194,194,100.0,42012
42,13,405,405,100.0,42013
42,14,451,451,100.0,42014
42,15,299,299,100.0,42015
42,16,195,195,100.0,42016
42,17,354,354,100.0,42017
42,19,166,166,100.0,42019
42,20,208,208,100.0,42020
42,22,550,550,100.0,42022
42,23,323,323,100.0,42023
42,24,371,371,100.0,42024
42,25,257,257,100.0,42025
42,26,268,268,100.0,42026
42,27,332,332,100.0,42027
42,28,275,275,100.0,42028
42,29,302,302,100.0,42029
42,30,212,212,100.0,42030
42,31,223,223,100.0,42031
42,32,358,358,100.0,42032
42,33,364,364,100.0,42033
42,34,267,267,100.0,42034
42,35,219,219,100.0,42035
42,36,333,333,100.0,42036
42,37,279,279,100.0,42037
42,38,293,293,100.0,42038
42,39,159,159,100.0,42039
42,40,253,253,100.0,42040
42,41,484,484,100.0,42041
42,42,202,202,100.0,42042
42,43,237,237,100.0,42043
42,44,370,370,100.0,42044
42,45,297,297,100.0,42045
42,46,281,281,100.0,42046
42,47,176,176,100.0,42047
42,48,231,231,100.0,42048
42,49,150,150,100.0,42049
42,50,171,171,100.0,42050
42,51,262,262,100.0,42051
42,52,171,171,100.0,42052
42,53,192,192,100.0,42053
42,54,263,263,100.0,42054
42,55,372,372,100.0,42055
42,56,407,407,100.0,42056
42,57,305,305,100.0,42057
42,58,102,102,100.0,42058
42,59,117,117,100.0,42059
42,60,208,208,100.0,42060
42,61,188,188,100.0,42061
42,62,191,191,100.0,42062
42,63,262,262,100.0,42063
42,64,158,158,100.0,42064
42,65,333,333,100.0,42065
42,66,282,282,100.0,42066
42,67,401,401,100.0,42067
42,68,616,616,100.0,42068
43,1,204,204,100.0,43001
43,2,364,364,100.0,43002
43,3,351,351,100.0,43003
43,4,365,365,100.0,43004
43,5,352,352,100.0,43005
43,6,279,279,100.0,43006
43,7,169,169,100.0,43007
43,8,301,301,100.0,43008
43,9,306,306,100.0,43009
43,10,148,148,100.0,43010
43,11,226,226,100.0,43011
43,12,404,404,100.0,43012
43,13,196,196,100.0,43013
43,14,248,248,100.0,43014
43,15,284,284,100.0,43015
43,16,314,314,100.0,43016
43,17,208,208,100.0,43017
43,18,382,382,100.0,43018
43,19,224,224,100.0,43019
43,20,331,331,100.0,43020
43,21,227,227,100.0,43021
43,22,232,232,100.0,43022
43,23,236,236,100.0,43023
43,24,252,252,100.0,43024
43,25,258,258,100.0,43025
43,26,237,237,100.0,43026
43,27,281,281,100.0,43027
43,28,260,260,100.0,43028
43,29,265,265,100.0,43029
43,30,271,271,100.0,43030
43,31,253,253,100.0,43031
43,32,240,240,100.0,43032
43,33,300,300,100.0,43033
43,34,230,230,100.0,43034
43,35,385,385,100.0,43035
43,36,290,290,100.0,43036
43,37,292,292,100.0,43037
43,38,320,320,100.0,43038
43,39,278,278,100.0,43039
43,40,169,169,100.0,43040
43,41,240,240,100.0,43041
43,42,243,243,100.0,43042
43,43,313,313,100.0,43043
43,44,399,399,100.0,43044
43,45,116,116,100.0,43045
43,46,322,322,100.0,43046
43,47,271,271,100.0,43047
43,48,393,393,100.0,43048
43,49,226,226,100.0,43049
43,50,265,265,100.0,43050
43,51,379,379,100.0,43051
43,52,455,455,100.0,43052
43,53,374,374,100.0,43053
43,54,247,247,100.0,43054
43,55,195,195,100.0,43055
43,56,252,252,100.0,43056
43,57,356,356,100.0,43057
43,58,365,365,100.0,43058
43,59,249,249,100.0,43059
43,60,263,263,100.0,43060
43,61,214,214,100.0,43061
43,62,312,312,100.0,43062
43,63,253,253,100.0,43063
43,64,181,181,100.0,43064
43,65,181,181,100.0,43065
43,66,130,130,100.0,43066
43,67,218,218,100.0,43067
44,1,244,244,100.0,44001
44,2,286,286,100.0,44002
44,3,263,263,100.0,44003
44,4,269,269,100.0,44004
44,5,483,483,100.0,44005
44,6,481,481,100.0,44006
44,7,331,331,100.0,44007
44,8,231,231,100.0,44008
44,9,584,584,100.0,44009
44,10,353,353,100.0,44010
44,11,497,497,100.0,44011
44,12,226,226,100.0,44012
44,13,301,301,100.0,44013
44,14,395,395,100.0,44014
44,15,439,439,100.0,44015
44,16,422,422,100.0,44016
44,17,391,391,100.0,44017
44,18,299,299,100.0,44018
44,19,264,264,100.0,44019
44,20,529,529,100.0,44020
44,21,506,506,100.0,44021
44,22,395,395,100.0,44022
44,23,447,447,100.0,44023
44,24,329,329,100.0,44024
44,25,420,420,100.0,44025
44,26,387,387,100.0,44026
44,27,483,483,100.0,44027
44,28,395,395,100.0,44028
44,29,510,510,100.0,44029
44,30,416,416,100.0,44030
44,31,500,500,100.0,44031
44,32,251,251,100.0,44032
44,33,585,585,100.0,44033
44,34,263,263,100.0,44034
44,35,238,238,100.0,44035
44,36,461,461,100.0,44036
44,37,478,478,100.0,44037
44,38,480,480,100.0,44038
44,39,460,460,100.0,44039
44,40,444,444,100.0,44040
44,41,387,387,100.0,44041
44,42,500,500,100.0,44042
44,43,525,525,100.0,44043
44,44,420,420,100.0,44044
44,45,526,526,100.0,44045
44,46,253,253,100.0,44046
44,47,514,514,100.0,44047
44,48,240,240,100.0,44048
44,49,515,515,100.0,44049
44,50,476,476,100.0,44050
46,1,486,486,100.0,46001
46,2,392,392,100.0,46002
46,3,438,438,100.0,46003
46,4,262,262,100.0,46004
46,5,421,421,100.0,46005
46,6,301,301,100.0,46006
46,7,590,590,100.0,46007
46,8,290,290,100.0,46008
46,9,520,520,100.0,46009
46,10,298,298,100.0,46010
46,11,428,428,100.0,46011
46,12,324,324,100.0,46012
46,13,542,542,100.0,46013
46,14,298,298,100.0,46014
46,15,417,417,100.0,46015
46,16,415,415,100.0,46016
46,17,544,544,100.0,46017
46,18,344,344,100.0,46018
46,19,455,455,100.0,46019
46,20,349,349,100.0,46020
46,22,183,183,100.0,46022
46,23,208,208,100.0,46023
46,24,409,409,100.0,46024
46,25,222,222,100.0,46025
46,26,280,280,100.0,46026
46,27,448,448,100.0,46027
46,28,439,439,100.0,46028
46,29,280,280,100.0,46029
46,30,369,369,100.0,46030
46,31,397,397,100.0,46031
46,32,292,292,100.0,46032
46,33,315,315,100.0,46033
46,34,524,524,100.0,46034
46,35,382,382,100.0,46035
46,36,345,345,100.0,46036
46,37,335,335,100.0,46037
46,38,268,268,100.0,46038
46,39,430,430,100.0,46039
46,40,189,189,100.0,46040
46,41,284,284,100.0,46041
46,42,328,328,100.0,46042
46,43,242,242,100.0,46043
47,18,414,414,100.0,47018
47,23,191,191,100.0,47023
47,24,431,431,100.0,47024
47,41,586,586,100.0,47041
47,44,490,490,100.0,47044
48,1,351,351,100.0,48001
48,3,410,410,100.0,48003
48,4,319,319,100.0,48004
48,5,248,248,100.0,48005
