ward,precinct,total,Annazette R. Collins,Annazette R. Collins Percent,Thomas M. Swiss,Thomas M. Swiss Percent,precinct_id
1,6,359,289,80.5,70,19.5,01006
1,8,340,271,79.71,69,20.29,01008
1,12,390,311,79.74,79,20.26,01012
1,14,59,47,79.66,12,20.34,01014
1,21,10,8,80.0,2,20.0,01021
1,31,367,235,64.03,132,35.97,01031
1,32,114,101,88.6,13,11.4,01032
1,35,258,181,70.16,77,29.84,01035
2,5,220,210,95.45,10,4.55,02005
2,15,79,77,97.47,2,2.53,02015
2,19,176,169,96.02,7,3.98,02019
2,23,202,185,91.58,17,8.42,02023
2,24,215,204,94.88,11,5.12,02024
2,27,261,257,98.47,4,1.53,02027
2,45,347,335,96.54,12,3.46,02045
2,47,296,279,94.26,17,5.74,02047
2,48,270,264,97.78,6,2.22,02048
2,52,398,374,93.97,24,6.03,02052
2,53,209,201,96.17,8,3.83,02053
2,56,285,274,96.14,11,3.86,02056
2,57,118,112,94.92,6,5.08,02057
24,18,249,245,98.39,4,1.61,24018
24,29,245,243,99.18,2,0.82,24029
24,33,244,235,96.31,9,3.69,24033
24,55,165,160,96.97,5,3.03,24055
24,59,187,184,98.4,3,1.6,24059
26,7,20,13,65.0,7,35.0,26007
26,17,190,127,66.84,63,33.16,26017
26,28,17,16,94.12,1,5.88,26028
26,32,4,2,50.0,2,50.0,26032
26,33,119,83,69.75,36,30.25,26033
26,46,329,246,74.77,83,25.23,26046
27,2,294,280,95.24,14,4.76,27002
27,3,306,298,97.39,8,2.61,27003
27,8,117,110,94.02,7,5.98,27008
27,10,8,7,87.5,1,12.5,27010
27,11,199,190,95.48,9,4.52,27011
27,15,249,232,93.17,17,6.83,27015
27,18,194,128,65.98,66,34.02,27018
27,19,374,356,95.19,18,4.81,27019
27,22,313,301,96.17,12,3.83,27022
27,23,123,113,91.87,10,8.13,27023
27,24,338,328,97.04,10,2.96,27024
27,25,250,235,94.0,15,6.0,27025
27,26,225,218,96.89,7,3.11,27026
27,27,159,147,92.45,12,7.55,27027
27,29,276,263,95.29,13,4.71,27029
27,30,185,175,94.59,10,5.41,27030
27,31,274,264,96.35,10,3.65,27031
27,33,285,258,90.53,27,9.47,27033
27,34,235,231,98.3,4,1.7,27034
27,36,280,255,91.07,25,8.93,27036
27,40,238,235,98.74,3,1.26,27040
27,41,116,89,76.72,27,23.28,27041
27,44,275,266,96.73,9,3.27,27044
27,45,288,283,98.26,5,1.74,27045
27,46,268,255,95.15,13,4.85,27046
27,47,254,250,98.43,4,1.57,27047
27,48,281,273,97.15,8,2.85,27048
27,49,294,285,96.94,9,3.06,27049
27,50,349,236,67.62,113,32.38,27050
27,53,181,156,86.19,25,13.81,27053
27,54,181,129,71.27,52,28.73,27054
27,55,148,109,73.65,39,26.35,27055
27,56,1,1,100.0,0,0.0,27056
27,60,350,337,96.29,13,3.71,27060
27,61,76,75,98.68,1,1.32,27061
27,62,258,244,94.57,14,5.43,27062
27,63,335,320,95.52,15,4.48,27063
27,64,311,305,98.07,6,1.93,27064
28,2,170,165,97.06,5,2.94,28002
28,3,204,190,93.14,14,6.86,28003
28,5,377,356,94.43,21,5.57,28005
28,6,250,241,96.4,9,3.6,28006
28,7,320,311,97.19,9,2.81,28007
28,9,200,196,98.0,4,2.0,28009
28,10,79,78,98.73,1,1.27,28010
28,11,259,248,95.75,11,4.25,28011
28,13,311,301,96.78,10,3.22,28013
28,15,201,195,97.01,6,2.99,28015
28,16,312,302,96.79,10,3.21,28016
28,18,383,369,96.34,14,3.66,28018
28,20,288,278,96.53,10,3.47,28020
28,22,278,265,95.32,13,4.68,28022
28,23,359,344,95.82,15,4.18,28023
28,24,238,224,94.12,14,5.88,28024
28,25,236,228,96.61,8,3.39,28025
28,26,295,291,98.64,4,1.36,28026
28,28,222,216,97.3,6,2.7,28028
28,30,205,191,93.17,14,6.83,28030
28,31,256,250,97.66,6,2.34,28031
28,32,313,299,95.53,14,4.47,28032
28,33,194,185,95.36,9,4.64,28033
28,36,265,259,97.74,6,2.26,28036
28,37,305,298,97.7,7,2.3,28037
28,41,117,115,98.29,2,1.71,28041
28,43,206,198,96.12,8,3.88,28043
28,44,197,192,97.46,5,2.54,28044
28,46,211,202,95.73,9,4.27,28046
28,50,188,181,96.28,7,3.72,28050
28,59,203,199,98.03,4,1.97,28059
32,2,491,386,78.62,105,21.38,32002
32,4,544,417,76.65,127,23.35,32004
32,5,367,285,77.66,82,22.34,32005
32,6,416,312,75.0,104,25.0,32006
32,26,361,292,80.89,69,19.11,32026
32,29,301,257,85.38,44,14.62,32029
32,31,584,438,75.0,146,25.0,32031
32,33,306,230,75.16,76,24.84,32033
32,34,416,305,73.32,111,26.68,32034
32,35,529,418,79.02,111,20.98,32035
32,36,601,437,72.71,164,27.29,32036
32,37,1,1,100.0,0,0.0,32037
32,46,98,77,78.57,21,21.43,32046
32,50,45,28,62.22,17,37.78,32050
32,51,551,325,58.98,226,41.02,32051
32,52,298,234,78.52,64,21.48,32052
37,3,183,173,94.54,10,5.46,37003
37,4,126,115,91.27,11,8.73,37004
37,8,311,284,91.32,27,8.68,37008
37,12,271,248,91.51,23,8.49,37012
37,13,288,279,96.88,9,3.13,37013
37,17,408,395,96.81,13,3.19,37017
37,19,132,128,96.97,4,3.03,37019
37,51,272,263,96.69,9,3.31,37051
37,56,261,248,95.02,13,4.98,37056
43,1,274,190,69.34,84,30.66,43001
43,3,478,296,61.92,182,38.08,43003
43,5,472,292,61.86,180,38.14,43005
43,9,430,275,63.95,155,36.05,43009
43,10,198,122,61.62,76,38.38,43010
43,11,337,207,61.42,130,38.58,43011
43,13,253,149,58.89,104,41.11,43013
43,15,380,246,64.74,134,35.26,43015
43,28,368,213,57.88,155,42.12,43028
43,40,228,157,68.86,71,31.14,43040
43,47,366,240,65.57,126,34.43,43047
