ward,precinct,total,Larry McKeon,Larry McKeon Percent,precinct_id
40,1,96,96,100.0,40001
40,2,219,219,100.0,40002
40,9,199,199,100.0,40009
40,10,177,177,100.0,40010
40,14,299,299,100.0,40014
40,15,335,335,100.0,40015
40,18,316,316,100.0,40018
40,19,239,239,100.0,40019
40,21,288,288,100.0,40021
40,22,154,154,100.0,40022
40,23,426,426,100.0,40023
40,24,52,52,100.0,40024
40,25,231,231,100.0,40025
40,33,301,301,100.0,40033
40,35,61,61,100.0,40035
40,36,342,342,100.0,40036
40,39,256,256,100.0,40039
40,40,191,191,100.0,40040
40,41,438,438,100.0,40041
40,42,332,332,100.0,40042
40,43,269,269,100.0,40043
40,44,225,225,100.0,40044
40,45,451,451,100.0,40045
40,46,366,366,100.0,40046
46,2,449,449,100.0,46002
46,4,320,320,100.0,46004
46,6,371,371,100.0,46006
46,7,653,653,100.0,46007
46,8,368,368,100.0,46008
46,9,606,606,100.0,46009
46,11,470,470,100.0,46011
46,12,395,395,100.0,46012
46,14,336,336,100.0,46014
46,16,505,505,100.0,46016
46,19,529,529,100.0,46019
46,20,463,463,100.0,46020
46,21,135,135,100.0,46021
46,22,254,254,100.0,46022
46,23,285,285,100.0,46023
46,25,302,302,100.0,46025
46,26,350,350,100.0,46026
46,27,518,518,100.0,46027
46,32,354,354,100.0,46032
46,34,617,617,100.0,46034
46,35,491,491,100.0,46035
46,38,357,357,100.0,46038
46,39,491,491,100.0,46039
46,40,246,246,100.0,46040
46,41,367,367,100.0,46041
46,42,429,429,100.0,46042
47,5,411,411,100.0,47005
47,10,356,356,100.0,47010
47,11,669,669,100.0,47011
47,19,457,457,100.0,47019
47,20,433,433,100.0,47020
47,22,414,414,100.0,47022
47,23,209,209,100.0,47023
47,26,692,692,100.0,47026
47,28,566,566,100.0,47028
47,30,468,468,100.0,47030
47,31,443,443,100.0,47031
47,32,493,493,100.0,47032
47,33,435,435,100.0,47033
47,34,535,535,100.0,47034
47,36,629,629,100.0,47036
47,37,554,554,100.0,47037
47,38,458,458,100.0,47038
47,39,456,456,100.0,47039
47,41,681,681,100.0,47041
47,45,437,437,100.0,47045
48,4,397,397,100.0,48004
48,17,341,341,100.0,48017
48,21,204,204,100.0,48021
48,23,351,351,100.0,48023
48,24,318,318,100.0,48024
48,25,355,355,100.0,48025
48,34,181,181,100.0,48034
48,35,238,238,100.0,48035
48,40,244,244,100.0,48040
48,49,162,162,100.0,48049
48,55,137,137,100.0,48055
48,56,157,157,100.0,48056
50,34,16,16,100.0,50034
