ward,precinct,total,Cynthia Soto,Cynthia Soto Percent,precinct_id
1,1,408,408,100.0,01001
1,2,559,559,100.0,01002
1,3,446,446,100.0,01003
1,4,391,391,100.0,01004
1,5,484,484,100.0,01005
1,8,1,1,100.0,01008
1,10,373,373,100.0,01010
1,11,501,501,100.0,01011
1,14,481,481,100.0,01014
1,15,265,265,100.0,01015
1,17,462,462,100.0,01017
1,18,298,298,100.0,01018
1,21,445,445,100.0,01021
1,22,343,343,100.0,01022
1,23,471,471,100.0,01023
1,25,376,376,100.0,01025
1,26,433,433,100.0,01026
1,27,376,376,100.0,01027
1,32,193,193,100.0,01032
1,33,456,456,100.0,01033
1,35,1,1,100.0,01035
1,36,489,489,100.0,01036
1,37,475,475,100.0,01037
1,40,173,173,100.0,01040
26,1,195,195,100.0,26001
26,2,186,186,100.0,26002
26,3,199,199,100.0,26003
26,5,264,264,100.0,26005
26,7,94,94,100.0,26007
26,9,155,155,100.0,26009
26,10,122,122,100.0,26010
26,11,200,200,100.0,26011
26,12,120,120,100.0,26012
26,14,161,161,100.0,26014
26,15,183,183,100.0,26015
26,18,119,119,100.0,26018
26,20,288,288,100.0,26020
26,21,250,250,100.0,26021
26,22,178,178,100.0,26022
26,23,175,175,100.0,26023
26,24,173,173,100.0,26024
26,25,111,111,100.0,26025
26,27,168,168,100.0,26027
26,28,157,157,100.0,26028
26,29,201,201,100.0,26029
26,31,185,185,100.0,26031
26,32,185,185,100.0,26032
26,35,223,223,100.0,26035
26,36,168,168,100.0,26036
26,37,101,101,100.0,26037
26,38,175,175,100.0,26038
26,39,175,175,100.0,26039
26,40,106,106,100.0,26040
26,41,174,174,100.0,26041
26,43,159,159,100.0,26043
26,44,131,131,100.0,26044
26,45,212,212,100.0,26045
26,47,104,104,100.0,26047
26,48,256,256,100.0,26048
26,49,137,137,100.0,26049
26,50,116,116,100.0,26050
26,52,113,113,100.0,26052
26,53,158,158,100.0,26053
26,55,130,130,100.0,26055
26,56,203,203,100.0,26056
26,57,129,129,100.0,26057
26,58,139,139,100.0,26058
26,59,197,197,100.0,26059
26,61,119,119,100.0,26061
26,63,71,71,100.0,26063
27,4,251,251,100.0,27004
27,10,282,282,100.0,27010
27,27,1,1,100.0,27027
27,32,193,193,100.0,27032
27,35,584,584,100.0,27035
27,38,338,338,100.0,27038
27,41,326,326,100.0,27041
27,56,242,242,100.0,27056
27,59,379,379,100.0,27059
30,20,179,179,100.0,30020
30,23,199,199,100.0,30023
30,26,155,155,100.0,30026
30,29,150,150,100.0,30029
30,31,179,179,100.0,30031
30,32,101,101,100.0,30032
30,33,199,199,100.0,30033
32,1,422,422,100.0,32001
32,3,357,357,100.0,32003
32,11,303,303,100.0,32011
32,12,236,236,100.0,32012
32,17,445,445,100.0,32017
32,46,73,73,100.0,32046
35,14,1,1,100.0,35014
35,32,217,217,100.0,35032
37,42,2,2,100.0,37042
