ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
13,3,348,348,100.0,13003
13,18,238,238,100.0,13018
13,20,242,242,100.0,13020
13,31,239,239,100.0,13031
14,1,198,198,100.0,14001
14,2,227,227,100.0,14002
14,3,316,316,100.0,14003
14,4,233,233,100.0,14004
14,5,315,315,100.0,14005
14,6,228,228,100.0,14006
14,9,301,301,100.0,14009
14,11,230,230,100.0,14011
14,13,287,287,100.0,14013
14,15,270,270,100.0,14015
14,24,184,184,100.0,14024
14,25,254,254,100.0,14025
14,27,177,177,100.0,14027
14,28,235,235,100.0,14028
14,32,202,202,100.0,14032
14,34,193,193,100.0,14034
14,35,132,132,100.0,14035
15,1,79,79,100.0,15001
15,10,218,218,100.0,15010
15,16,207,207,100.0,15016
16,17,343,343,100.0,16017
16,32,66,66,100.0,16032
16,39,159,159,100.0,16039
22,2,147,147,100.0,22002
22,3,185,185,100.0,22003
22,4,211,211,100.0,22004
22,5,217,217,100.0,22005
22,6,158,158,100.0,22006
22,10,184,184,100.0,22010
22,12,146,146,100.0,22012
22,13,243,243,100.0,22013
22,14,149,149,100.0,22014
22,16,232,232,100.0,22016
22,17,211,211,100.0,22017
22,18,200,200,100.0,22018
22,20,232,232,100.0,22020
22,23,141,141,100.0,22023
22,24,158,158,100.0,22024
22,25,178,178,100.0,22025
22,26,154,154,100.0,22026
22,27,186,186,100.0,22027
22,28,92,92,100.0,22028
22,30,202,202,100.0,22030
23,5,322,322,100.0,23005
23,6,373,373,100.0,23006
23,7,2,2,100.0,23007
23,9,345,345,100.0,23009
23,10,358,358,100.0,23010
23,14,150,150,100.0,23014
23,24,246,246,100.0,23024
23,25,271,271,100.0,23025
23,29,299,299,100.0,23029
23,31,350,350,100.0,23031
23,32,392,392,100.0,23032
23,33,347,347,100.0,23033
23,37,11,11,100.0,23037
23,41,320,320,100.0,23041
23,50,246,246,100.0,23050
23,51,286,286,100.0,23051
23,53,256,256,100.0,23053
