ward,precinct,total,Michelle Jordan,Michelle Jordan Percent,John Joseph Coyne,John Joseph Coyne Percent,precinct_id
1,1,390,319,81.79,71,18.21,01001
1,2,547,444,81.17,103,18.83,01002
1,3,440,375,85.23,65,14.77,01003
1,4,365,319,87.4,46,12.6,01004
1,5,467,390,83.51,77,16.49,01005
1,6,308,240,77.92,68,22.08,01006
1,7,527,394,74.76,133,25.24,01007
1,8,345,280,81.16,65,18.84,01008
1,9,270,231,85.56,39,14.44,01009
1,10,364,294,80.77,70,19.23,01010
1,11,443,375,84.65,68,15.35,01011
1,12,420,329,78.33,91,21.67,01012
1,13,349,297,85.1,52,14.9,01013
1,14,521,439,84.26,82,15.74,01014
1,15,244,214,87.7,30,12.3,01015
1,16,165,154,93.33,11,6.67,01016
1,17,458,373,81.44,85,18.56,01017
1,18,259,232,89.58,27,10.42,01018
1,19,383,293,76.5,90,23.5,01019
1,20,268,223,83.21,45,16.79,01020
1,21,610,461,75.57,149,24.43,01021
1,22,307,261,85.02,46,14.98,01022
1,23,428,363,84.81,65,15.19,01023
1,24,434,365,84.1,69,15.9,01024
1,25,378,295,78.04,83,21.96,01025
1,26,437,340,77.8,97,22.2,01026
1,27,355,277,78.03,78,21.97,01027
1,28,332,273,82.23,59,17.77,01028
1,29,297,231,77.78,66,22.22,01029
1,30,418,349,83.49,69,16.51,01030
1,31,457,310,67.83,147,32.17,01031
1,32,253,209,82.61,44,17.39,01032
1,33,412,339,82.28,73,17.72,01033
1,34,252,209,82.94,43,17.06,01034
1,35,277,202,72.92,75,27.08,01035
1,36,491,362,73.73,129,26.27,01036
1,37,479,384,80.17,95,19.83,01037
1,38,177,147,83.05,30,16.95,01038
1,39,393,308,78.37,85,21.63,01039
1,40,157,127,80.89,30,19.11,01040
2,1,569,410,72.06,159,27.94,02001
2,2,12,12,100.0,0,0.0,02002
2,3,370,295,79.73,75,20.27,02003
2,4,214,209,97.66,5,2.34,02004
2,5,192,182,94.79,10,5.21,02005
2,6,505,329,65.15,176,34.85,02006
2,7,336,322,95.83,14,4.17,02007
2,8,450,344,76.44,106,23.56,02008
2,9,192,186,96.88,6,3.13,02009
2,10,97,93,95.88,4,4.12,02010
2,11,160,118,73.75,42,26.25,02011
2,12,522,345,66.09,177,33.91,02012
2,13,279,227,81.36,52,18.64,02013
2,14,383,370,96.61,13,3.39,02014
2,15,60,59,98.33,1,1.67,02015
2,16,465,328,70.54,137,29.46,02016
2,17,283,273,96.47,10,3.53,02017
2,18,1023,711,69.5,312,30.5,02018
2,19,121,116,95.87,5,4.13,02019
2,20,290,276,95.17,14,4.83,02020
2,21,280,237,84.64,43,15.36,02021
2,22,530,403,76.04,127,23.96,02022
2,23,201,185,92.04,16,7.96,02023
2,24,153,146,95.42,7,4.58,02024
2,25,213,176,82.63,37,17.37,02025
2,26,543,421,77.53,122,22.47,02026
2,27,197,192,97.46,5,2.54,02027
2,28,267,168,62.92,99,37.08,02028
2,29,136,114,83.82,22,16.18,02029
2,30,253,242,95.65,11,4.35,02030
2,31,279,270,96.77,9,3.23,02031
2,32,167,161,96.41,6,3.59,02032
2,33,222,212,95.5,10,4.5,02033
2,34,228,212,92.98,16,7.02,02034
2,35,196,148,75.51,48,24.49,02035
2,36,117,114,97.44,3,2.56,02036
2,37,454,338,74.45,116,25.55,02037
2,38,323,302,93.5,21,6.5,02038
2,39,309,268,86.73,41,13.27,02039
2,40,378,320,84.66,58,15.34,02040
2,41,198,189,95.45,9,4.55,02041
2,42,157,133,84.71,24,15.29,02042
2,43,424,345,81.37,79,18.63,02043
2,44,155,148,95.48,7,4.52,02044
2,45,272,257,94.49,15,5.51,02045
2,46,345,335,97.1,10,2.9,02046
2,47,208,199,95.67,9,4.33,02047
2,48,205,203,99.02,2,0.98,02048
2,49,538,417,77.51,121,22.49,02049
2,50,227,173,76.21,54,23.79,02050
2,51,239,227,94.98,12,5.02,02051
2,52,311,303,97.43,8,2.57,02052
2,53,147,139,94.56,8,5.44,02053
