ward,precinct,total,Jesse L. Jackson Jr.,Jesse L. Jackson Jr. Percent,Stephanie Sailor,Stephanie Sailor Percent,precinct_id
10,15,138,103,74.64,35,25.36,10015
10,16,265,167,63.02,98,36.98,10016
10,17,239,162,67.78,77,32.22,10017
10,18,322,296,91.93,26,8.07,10018
10,19,320,227,70.94,93,29.06,10019
10,20,231,165,71.43,66,28.57,10020
10,21,232,147,63.36,85,36.64,10021
10,22,87,64,73.56,23,26.44,10022
10,23,269,216,80.3,53,19.7,10023
10,24,221,140,63.35,81,36.65,10024
10,25,383,351,91.64,32,8.36,10025
10,26,266,207,77.82,59,22.18,10026
10,27,308,252,81.82,56,18.18,10027
10,28,283,275,97.17,8,2.83,10028
10,29,300,292,97.33,8,2.67,10029
10,30,329,269,81.76,60,18.24,10030
10,31,313,249,79.55,64,20.45,10031
10,32,311,227,72.99,84,27.01,10032
10,33,296,237,80.07,59,19.93,10033
10,34,297,246,82.83,51,17.17,10034
10,35,277,219,79.06,58,20.94,10035
10,36,334,302,90.42,32,9.58,10036
10,37,308,290,94.16,18,5.84,10037
10,38,330,241,73.03,89,26.97,10038
10,39,274,214,78.1,60,21.9,10039
10,40,233,207,88.84,26,11.16,10040
10,41,313,213,68.05,100,31.95,10041
10,42,265,167,63.02,98,36.98,10042
10,43,201,187,93.03,14,6.97,10043
10,44,298,243,81.54,55,18.46,10044
10,45,178,139,78.09,39,21.91,10045
10,46,296,233,78.72,63,21.28,10046
10,47,231,193,83.55,38,16.45,10047
10,48,277,259,93.5,18,6.5,10048
10,49,262,247,94.27,15,5.73,10049
34,1,401,396,98.75,5,1.25,34001
34,2,318,313,98.43,5,1.57,34002
34,3,314,302,96.18,12,3.82,34003
34,4,339,333,98.23,6,1.77,34004
34,5,336,328,97.62,8,2.38,34005
34,6,274,268,97.81,6,2.19,34006
34,7,430,417,96.98,13,3.02,34007
34,8,365,361,98.9,4,1.1,34008
34,9,353,344,97.45,9,2.55,34009
34,10,481,475,98.75,6,1.25,34010
34,11,324,313,96.6,11,3.4,34011
34,12,372,365,98.12,7,1.88,34012
34,14,317,311,98.11,6,1.89,34014
34,15,334,326,97.6,8,2.4,34015
34,16,316,311,98.42,5,1.58,34016
34,17,371,356,95.96,15,4.04,34017
34,18,301,296,98.34,5,1.66,34018
34,19,286,283,98.95,3,1.05,34019
34,20,435,423,97.24,12,2.76,34020
34,21,402,393,97.76,9,2.24,34021
34,22,416,408,98.08,8,1.92,34022
34,23,330,319,96.67,11,3.33,34023
34,24,355,349,98.31,6,1.69,34024
34,25,256,252,98.44,4,1.56,34025
34,26,335,328,97.91,7,2.09,34026
34,27,308,299,97.08,9,2.92,34027
34,28,281,278,98.93,3,1.07,34028
34,29,473,464,98.1,9,1.9,34029
34,30,450,433,96.22,17,3.78,34030
34,31,333,324,97.3,9,2.7,34031
34,32,400,390,97.5,10,2.5,34032
34,34,335,324,96.72,11,3.28,34034
34,35,468,465,99.36,3,0.64,34035
34,36,448,435,97.1,13,2.9,34036
34,37,242,237,97.93,5,2.07,34037
34,38,288,281,97.57,7,2.43,34038
34,39,301,298,99.0,3,1.0,34039
34,40,458,449,98.03,9,1.97,34040
34,41,366,358,97.81,8,2.19,34041
34,42,427,419,98.13,8,1.87,34042
34,43,331,328,99.09,3,0.91,34043
34,44,400,390,97.5,10,2.5,34044
34,45,436,433,99.31,3,0.69,34045
34,46,249,245,98.39,4,1.61,34046
34,48,333,323,97.0,10,3.0,34048
34,49,382,375,98.17,7,1.83,34049
34,50,333,328,98.5,5,1.5,34050
34,52,339,333,98.23,6,1.77,34052
34,53,399,394,98.75,5,1.25,34053
34,54,311,308,99.04,3,0.96,34054
34,55,316,304,96.2,12,3.8,34055
34,56,318,310,97.48,8,2.52,34056
34,57,279,274,98.21,5,1.79,34057
34,58,316,308,97.47,8,2.53,34058
34,59,330,321,97.27,9,2.73,34059
34,60,294,287,97.62,7,2.38,34060
34,61,202,198,98.02,4,1.98,34061
34,63,386,378,97.93,8,2.07,34063
34,65,142,138,97.18,4,2.82,34065
34,68,219,217,99.09,2,0.91,34068
