ward,precinct,total,Ira I. Silverstein,Ira I. Silverstein Percent,Joseph R. Hedrick,Joseph R. Hedrick Percent,precinct_id
33,18,63,48,76.19,15,23.81,33018
38,5,528,382,72.35,146,27.65,38005
38,7,375,264,70.4,111,29.6,38007
38,10,382,295,77.23,87,22.77,38010
38,20,422,296,70.14,126,29.86,38020
39,1,318,196,61.64,122,38.36,39001
39,2,452,319,70.58,133,29.42,39002
39,3,346,231,66.76,115,33.24,39003
39,4,271,191,70.48,80,29.52,39004
39,5,269,192,71.38,77,28.62,39005
39,6,387,258,66.67,129,33.33,39006
39,7,267,213,79.78,54,20.22,39007
39,8,416,332,79.81,84,20.19,39008
39,9,432,328,75.93,104,24.07,39009
39,10,287,246,85.71,41,14.29,39010
39,11,425,323,76.0,102,24.0,39011
39,12,117,89,76.07,28,23.93,39012
39,14,332,270,81.33,62,18.67,39014
39,15,300,176,58.67,124,41.33,39015
39,16,318,259,81.45,59,18.55,39016
39,17,346,269,77.75,77,22.25,39017
39,18,435,339,77.93,96,22.07,39018
39,19,251,178,70.92,73,29.08,39019
39,20,318,198,62.26,120,37.74,39020
39,21,229,165,72.05,64,27.95,39021
39,25,409,269,65.77,140,34.23,39025
39,26,365,222,60.82,143,39.18,39026
39,32,364,320,87.91,44,12.09,39032
39,33,463,360,77.75,103,22.25,39033
39,34,421,308,73.16,113,26.84,39034
39,35,426,321,75.35,105,24.65,39035
39,36,342,268,78.36,74,21.64,39036
39,37,427,279,65.34,148,34.66,39037
39,38,370,265,71.62,105,28.38,39038
39,39,164,130,79.27,34,20.73,39039
39,40,266,174,65.41,92,34.59,39040
39,41,167,137,82.04,30,17.96,39041
39,42,302,184,60.93,118,39.07,39042
39,43,508,362,71.26,146,28.74,39043
39,45,202,156,77.23,46,22.77,39045
39,47,248,157,63.31,91,36.69,39047
40,1,149,120,80.54,29,19.46,40001
40,2,0,0,0.0,0,0.0,40002
40,8,123,91,73.98,32,26.02,40008
40,10,168,130,77.38,38,22.62,40010
40,17,184,143,77.72,41,22.28,40017
40,20,46,37,80.43,9,19.57,40020
40,24,182,144,79.12,38,20.88,40024
40,29,346,266,76.88,80,23.12,40029
40,30,372,293,78.76,79,21.24,40030
40,31,315,232,73.65,83,26.35,40031
40,32,228,173,75.88,55,24.12,40032
40,34,259,193,74.52,66,25.48,40034
40,38,202,164,81.19,38,18.81,40038
40,48,306,239,78.1,67,21.9,40048
40,49,238,196,82.35,42,17.65,40049
41,10,359,185,51.53,174,48.47,41010
41,14,425,262,61.65,163,38.35,41014
41,23,380,238,62.63,142,37.37,41023
41,47,366,216,59.02,150,40.98,41047
41,54,316,203,64.24,113,35.76,41054
41,59,337,204,60.53,133,39.47,41059
41,66,380,203,53.42,177,46.58,41066
41,67,301,189,62.79,112,37.21,41067
41,69,477,308,64.57,169,35.43,41069
41,70,281,151,53.74,130,46.26,41070
41,71,228,132,57.89,96,42.11,41071
45,4,472,301,63.77,171,36.23,45004
45,5,430,256,59.53,174,40.47,45005
45,10,483,325,67.29,158,32.71,45010
45,12,410,277,67.56,133,32.44,45012
45,14,486,334,68.72,152,31.28,45014
45,24,496,329,66.33,167,33.67,45024
45,36,372,242,65.05,130,34.95,45036
49,28,354,321,90.68,33,9.32,49028
49,38,302,280,92.72,22,7.28,49038
49,40,332,287,86.45,45,13.55,49040
49,41,362,323,89.23,39,10.77,49041
49,44,413,364,88.14,49,11.86,49044
50,1,484,430,88.84,54,11.16,50001
50,2,451,375,83.15,76,16.85,50002
50,3,362,336,92.82,26,7.18,50003
50,4,379,337,88.92,42,11.08,50004
50,5,411,370,90.02,41,9.98,50005
50,6,313,271,86.58,42,13.42,50006
50,7,416,357,85.82,59,14.18,50007
50,8,363,293,80.72,70,19.28,50008
50,9,318,266,83.65,52,16.35,50009
50,10,344,299,86.92,45,13.08,50010
50,11,391,352,90.03,39,9.97,50011
50,12,244,220,90.16,24,9.84,50012
50,13,475,421,88.63,54,11.37,50013
50,14,183,162,88.52,21,11.48,50014
50,15,429,362,84.38,67,15.62,50015
50,16,205,190,92.68,15,7.32,50016
50,17,396,319,80.56,77,19.44,50017
50,18,355,308,86.76,47,13.24,50018
50,19,300,245,81.67,55,18.33,50019
50,20,387,288,74.42,99,25.58,50020
50,21,401,325,81.05,76,18.95,50021
50,22,455,377,82.86,78,17.14,50022
50,23,276,229,82.97,47,17.03,50023
50,24,407,331,81.33,76,18.67,50024
50,25,402,333,82.84,69,17.16,50025
50,26,306,252,82.35,54,17.65,50026
50,27,157,146,92.99,11,7.01,50027
50,28,408,347,85.05,61,14.95,50028
50,29,409,353,86.31,56,13.69,50029
50,30,350,311,88.86,39,11.14,50030
50,31,155,151,97.42,4,2.58,50031
50,32,334,284,85.03,50,14.97,50032
50,33,298,250,83.89,48,16.11,50033
50,34,258,245,94.96,13,5.04,50034
50,35,448,379,84.6,69,15.4,50035
50,36,379,287,75.73,92,24.27,50036
50,37,422,354,83.89,68,16.11,50037
50,38,233,216,92.7,17,7.3,50038
50,39,395,343,86.84,52,13.16,50039
50,40,434,395,91.01,39,8.99,50040
50,41,469,428,91.26,41,8.74,50041
50,42,358,317,88.55,41,11.45,50042
50,43,388,330,85.05,58,14.95,50043
50,44,334,299,89.52,35,10.48,50044
50,45,195,159,81.54,36,18.46,50045
