ward,precinct,total,Rickey R. Hendon,Rickey R. Hendon Percent,precinct_id
1,6,379,295,77.84,01006
1,8,352,283,80.4,01008
1,12,397,314,79.09,01012
1,14,59,45,76.27,01014
1,21,10,7,70.0,01021
1,31,368,237,64.4,01031
1,32,116,101,87.07,01032
1,35,261,188,72.03,01035
2,2,15,14,93.33,02002
2,3,442,340,76.92,02003
2,4,306,301,98.37,02004
2,5,234,215,91.88,02005
2,6,562,350,62.28,02006
2,9,255,234,91.76,02009
2,10,120,113,94.17,02010
2,12,574,374,65.16,02012
2,13,338,274,81.07,02013
2,15,84,81,96.43,02015
2,16,555,396,71.35,02016
2,17,382,362,94.76,02017
2,19,201,192,95.52,02019
2,23,256,234,91.41,02023
2,24,227,210,92.51,02024
2,25,253,205,81.03,02025
2,27,277,269,97.11,02027
2,28,288,185,64.24,02028
2,29,158,131,82.91,02029
2,30,329,315,95.74,02030
2,32,216,207,95.83,02032
2,33,292,281,96.23,02033
2,34,335,323,96.42,02034
2,36,166,159,95.78,02036
2,38,410,376,91.71,02038
2,39,395,327,82.78,02039
2,41,257,244,94.94,02041
2,42,199,167,83.92,02042
2,45,373,354,94.91,02045
2,47,309,287,92.88,02047
2,48,291,282,96.91,02048
2,49,0,0,0.0,02049
2,50,279,218,78.14,02050
2,51,327,312,95.41,02051
2,52,415,382,92.05,02052
2,53,221,210,95.02,02053
2,56,301,271,90.03,02056
2,57,147,134,91.16,02057
11,50,6,5,83.33,11050
12,7,0,0,0.0,12007
22,7,315,306,97.14,22007
22,19,269,254,94.42,22019
22,21,332,320,96.39,22021
24,1,264,250,94.7,24001
24,2,367,351,95.64,24002
24,3,342,321,93.86,24003
24,4,342,327,95.61,24004
24,5,322,308,95.65,24005
24,6,339,328,96.76,24006
24,8,326,309,94.79,24008
24,9,337,318,94.36,24009
24,10,286,281,98.25,24010
24,11,229,221,96.51,24011
24,12,293,274,93.52,24012
24,13,283,272,96.11,24013
24,14,495,464,93.74,24014
24,15,313,295,94.25,24015
24,17,341,323,94.72,24017
24,18,265,257,96.98,24018
24,19,268,257,95.9,24019
24,20,374,353,94.39,24020
24,21,292,282,96.58,24021
24,22,343,333,97.08,24022
24,23,360,351,97.5,24023
24,24,296,282,95.27,24024
24,25,312,293,93.91,24025
24,26,427,414,96.96,24026
24,27,230,214,93.04,24027
24,28,349,345,98.85,24028
24,29,385,375,97.4,24029
24,30,318,312,98.11,24030
24,31,330,316,95.76,24031
24,32,352,335,95.17,24032
24,33,256,242,94.53,24033
24,34,290,277,95.52,24034
24,35,428,408,95.33,24035
24,36,281,270,96.09,24036
24,37,343,327,95.34,24037
24,38,331,314,94.86,24038
24,39,332,316,95.18,24039
24,40,382,363,95.03,24040
24,42,259,251,96.91,24042
24,43,447,430,96.2,24043
24,44,111,103,92.79,24044
24,45,318,305,95.91,24045
24,47,304,295,97.04,24047
24,48,167,162,97.01,24048
24,49,479,455,94.99,24049
24,50,470,448,95.32,24050
24,51,485,470,96.91,24051
24,52,298,290,97.32,24052
24,53,303,270,89.11,24053
24,54,328,322,98.17,24054
24,55,171,167,97.66,24055
24,56,364,347,95.33,24056
24,58,316,305,96.52,24058
24,59,200,192,96.0,24059
25,3,278,233,83.81,25003
25,4,453,345,76.16,25004
25,6,267,229,85.77,25006
25,9,19,18,94.74,25009
25,10,221,200,90.5,25010
25,12,368,328,89.13,25012
25,18,167,128,76.65,25018
25,21,310,219,70.65,25021
25,25,479,338,70.56,25025
25,26,327,234,71.56,25026
25,27,318,236,74.21,25027
25,28,449,320,71.27,25028
25,29,317,235,74.13,25029
25,31,258,207,80.23,25031
26,7,21,15,71.43,26007
26,17,199,141,70.85,26017
26,28,20,17,85.0,26028
26,32,4,2,50.0,26032
26,33,131,97,74.05,26033
26,46,346,261,75.43,26046
27,1,396,246,62.12,27001
27,2,312,299,95.83,27002
27,3,323,316,97.83,27003
27,7,439,288,65.6,27007
27,8,128,123,96.09,27008
27,10,8,7,87.5,27010
27,11,210,203,96.67,27011
27,15,268,245,91.42,27015
27,17,409,273,66.75,27017
27,18,201,134,66.67,27018
27,19,395,373,94.43,27019
27,22,334,322,96.41,27022
27,23,128,116,90.63,27023
27,24,355,344,96.9,27024
27,25,262,248,94.66,27025
27,26,244,227,93.03,27026
27,27,163,152,93.25,27027
27,29,291,280,96.22,27029
27,30,195,181,92.82,27030
27,31,282,266,94.33,27031
27,33,296,266,89.86,27033
27,34,247,243,98.38,27034
27,36,293,263,89.76,27036
27,40,254,241,94.88,27040
27,41,122,96,78.69,27041
27,44,286,275,96.15,27044
27,45,300,290,96.67,27045
27,46,276,264,95.65,27046
27,47,269,256,95.17,27047
27,48,302,295,97.68,27048
27,49,315,301,95.56,27049
27,50,598,420,70.23,27050
27,53,187,163,87.17,27053
27,54,560,372,66.43,27054
27,55,153,112,73.2,27055
27,56,1,1,100.0,27056
27,57,314,227,72.29,27057
27,58,279,214,76.7,27058
27,60,374,355,94.92,27060
27,61,76,75,98.68,27061
27,62,280,265,94.64,27062
27,63,350,335,95.71,27063
27,64,324,317,97.84,27064
28,2,176,163,92.61,28002
28,3,218,204,93.58,28003
28,5,394,370,93.91,28005
28,6,268,263,98.13,28006
28,7,329,316,96.05,28007
28,9,207,201,97.1,28009
28,10,82,79,96.34,28010
28,11,265,253,95.47,28011
28,13,319,304,95.3,28013
28,15,213,206,96.71,28015
28,16,325,312,96.0,28016
28,18,400,383,95.75,28018
28,20,302,293,97.02,28020
28,22,287,272,94.77,28022
28,23,371,363,97.84,28023
28,24,240,224,93.33,28024
28,25,243,235,96.71,28025
28,26,315,308,97.78,28026
28,28,229,216,94.32,28028
28,30,213,199,93.43,28030
28,31,277,274,98.92,28031
28,32,328,313,95.43,28032
28,33,205,198,96.59,28033
28,34,51,36,70.59,28034
28,35,234,225,96.15,28035
28,36,279,274,98.21,28036
28,37,324,318,98.15,28037
28,39,83,78,93.98,28039
28,41,125,120,96.0,28041
28,43,203,188,92.61,28043
28,44,202,197,97.52,28044
28,46,216,210,97.22,28046
28,50,213,205,96.24,28050
28,52,277,265,95.67,28052
28,53,143,130,90.91,28053
28,54,258,245,94.96,28054
28,59,206,202,98.06,28059
28,69,154,133,86.36,28069
28,73,153,131,85.62,28073
32,2,497,384,77.26,32002
32,4,546,408,74.73,32004
32,5,372,287,77.15,32005
32,6,422,313,74.17,32006
32,26,372,294,79.03,32026
32,29,301,246,81.73,32029
32,31,599,442,73.79,32031
32,33,314,230,73.25,32033
32,34,422,307,72.75,32034
32,35,520,401,77.12,32035
32,36,617,443,71.8,32036
32,37,1,1,100.0,32037
32,46,99,78,78.79,32046
32,50,46,25,54.35,32050
32,51,563,332,58.97,32051
32,52,300,236,78.67,32052
37,3,186,175,94.09,37003
37,4,131,117,89.31,37004
37,8,323,294,91.02,37008
37,12,282,259,91.84,37012
37,13,298,281,94.3,37013
37,17,417,396,94.96,37017
37,19,140,129,92.14,37019
37,51,283,267,94.35,37051
37,56,278,261,93.88,37056
42,9,214,138,64.49,42009
42,12,276,170,61.59,42012
42,14,606,378,62.38,42014
42,18,643,407,63.3,42018
42,21,284,177,62.32,42021
42,67,562,325,57.83,42067
42,68,841,525,62.43,42068
42,69,588,394,67.01,42069
43,1,274,193,70.44,43001
43,3,488,301,61.68,43003
43,5,477,292,61.22,43005
43,9,437,267,61.1,43009
43,10,204,125,61.27,43010
43,11,345,213,61.74,43011
43,13,258,153,59.3,43013
