ward,precinct,total,"Eugene """"Gene"""" Moore","Eugene """"Gene"""" Moore Percent",John H. Cox,John H. Cox Percent,precinct_id
1,1,443,354,79.91,89,20.09,01001
1,2,592,456,77.03,136,22.97,01002
1,3,474,390,82.28,84,17.72,01003
1,4,413,337,81.6,76,18.4,01004
1,5,528,429,81.25,99,18.75,01005
1,6,359,277,77.16,82,22.84,01006
1,7,611,447,73.16,164,26.84,01007
1,8,401,323,80.55,78,19.45,01008
1,9,324,265,81.79,59,18.21,01009
1,10,394,307,77.92,87,22.08,01010
1,11,519,431,83.04,88,16.96,01011
1,12,483,359,74.33,124,25.67,01012
1,13,411,333,81.02,78,18.98,01013
1,14,577,486,84.23,91,15.77,01014
1,15,282,244,86.52,38,13.48,01015
1,16,198,184,92.93,14,7.07,01016
1,17,498,406,81.53,92,18.47,01017
1,18,318,284,89.31,34,10.69,01018
1,19,455,338,74.29,117,25.71,01019
1,20,303,237,78.22,66,21.78,01020
1,21,663,491,74.06,172,25.94,01021
1,22,367,312,85.01,55,14.99,01022
1,23,479,389,81.21,90,18.79,01023
1,24,507,423,83.43,84,16.57,01024
1,25,421,338,80.29,83,19.71,01025
1,26,473,368,77.8,105,22.2,01026
1,27,426,334,78.4,92,21.6,01027
1,28,417,342,82.01,75,17.99,01028
1,29,351,269,76.64,82,23.36,01029
1,30,506,416,82.21,90,17.79,01030
1,31,501,323,64.47,178,35.53,01031
1,32,305,259,84.92,46,15.08,01032
1,33,489,400,81.8,89,18.2,01033
1,34,284,224,78.87,60,21.13,01034
1,35,311,223,71.7,88,28.3,01035
1,36,547,387,70.75,160,29.25,01036
1,37,516,397,76.94,119,23.06,01037
1,38,220,170,77.27,50,22.73,01038
1,39,482,378,78.42,104,21.58,01039
1,40,179,136,75.98,43,24.02,01040
2,1,623,421,67.58,202,32.42,02001
2,2,14,13,92.86,1,7.14,02002
2,3,431,336,77.96,95,22.04,02003
2,4,296,282,95.27,14,4.73,02004
2,5,229,214,93.45,15,6.55,02005
2,6,555,355,63.96,200,36.04,02006
2,7,430,411,95.58,19,4.42,02007
2,8,511,363,71.04,148,28.96,02008
2,9,252,235,93.25,17,6.75,02009
2,10,121,114,94.21,7,5.79,02010
2,11,190,124,65.26,66,34.74,02011
2,12,563,348,61.81,215,38.19,02012
2,13,319,255,79.94,64,20.06,02013
2,14,464,442,95.26,22,4.74,02014
2,15,81,79,97.53,2,2.47,02015
2,16,546,388,71.06,158,28.94,02016
2,17,372,349,93.82,23,6.18,02017
2,18,1164,772,66.32,392,33.68,02018
2,19,169,161,95.27,8,4.73,02019
2,20,366,338,92.35,28,7.65,02020
2,21,358,296,82.68,62,17.32,02021
2,22,587,429,73.08,158,26.92,02022
2,23,252,223,88.49,29,11.51,02023
2,24,214,204,95.33,10,4.67,02024
2,25,249,203,81.53,46,18.47,02025
2,26,638,483,75.71,155,24.29,02026
2,27,258,247,95.74,11,4.26,02027
2,28,294,182,61.9,112,38.1,02028
2,29,156,122,78.21,34,21.79,02029
2,30,313,300,95.85,13,4.15,02030
2,31,352,336,95.45,16,4.55,02031
2,32,205,196,95.61,9,4.39,02032
2,33,283,270,95.41,13,4.59,02033
2,34,306,291,95.1,15,4.9,02034
2,35,229,163,71.18,66,28.82,02035
2,36,156,147,94.23,9,5.77,02036
2,37,508,368,72.44,140,27.56,02037
2,38,398,357,89.7,41,10.3,02038
2,39,379,331,87.34,48,12.66,02039
2,40,464,385,82.97,79,17.03,02040
2,41,249,226,90.76,23,9.24,02041
2,42,193,161,83.42,32,16.58,02042
2,43,507,396,78.11,111,21.89,02043
2,44,220,205,93.18,15,6.82,02044
2,45,360,338,93.89,22,6.11,02045
2,46,442,419,94.8,23,5.2,02046
2,47,293,274,93.52,19,6.48,02047
2,48,269,262,97.4,7,2.6,02048
2,49,622,461,74.12,161,25.88,02049
2,50,274,215,78.47,59,21.53,02050
2,51,312,290,92.95,22,7.05,02051
2,52,398,374,93.97,24,6.03,02052
