ward,precinct,total,Paula Marie Daleo,Paula Marie Daleo Percent,precinct_id
29,2,184,184,100.0,29002
29,6,108,108,100.0,29006
29,7,146,146,100.0,29007
29,9,100,100,100.0,29009
29,12,331,331,100.0,29012
29,15,304,304,100.0,29015
29,17,241,241,100.0,29017
29,24,93,93,100.0,29024
29,25,318,318,100.0,29025
29,32,190,190,100.0,29032
29,36,315,315,100.0,29036
29,39,241,241,100.0,29039
29,48,231,231,100.0,29048
29,49,368,368,100.0,29049
29,52,211,211,100.0,29052
29,53,216,216,100.0,29053
29,54,171,171,100.0,29054
30,2,128,128,100.0,30002
30,7,178,178,100.0,30007
30,8,230,230,100.0,30008
30,9,179,179,100.0,30009
30,10,172,172,100.0,30010
30,11,137,137,100.0,30011
30,12,144,144,100.0,30012
30,13,198,198,100.0,30013
30,14,81,81,100.0,30014
30,16,204,204,100.0,30016
30,17,130,130,100.0,30017
30,25,123,123,100.0,30025
30,28,143,143,100.0,30028
30,30,188,188,100.0,30030
30,34,206,206,100.0,30034
30,36,178,178,100.0,30036
30,37,142,142,100.0,30037
30,38,266,266,100.0,30038
30,39,205,205,100.0,30039
30,42,147,147,100.0,30042
30,43,133,133,100.0,30043
31,3,161,161,100.0,31003
31,8,142,142,100.0,31008
31,9,140,140,100.0,31009
31,15,96,96,100.0,31015
31,16,91,91,100.0,31016
31,18,23,23,100.0,31018
31,26,102,102,100.0,31026
31,29,147,147,100.0,31029
31,38,81,81,100.0,31038
31,43,178,178,100.0,31043
31,45,153,153,100.0,31045
35,11,0,0,0.0,35011
35,13,79,79,100.0,35013
35,33,116,116,100.0,35033
36,1,219,219,100.0,36001
36,2,173,173,100.0,36002
36,3,224,224,100.0,36003
36,4,161,161,100.0,36004
36,5,180,180,100.0,36005
36,6,219,219,100.0,36006
36,7,193,193,100.0,36007
36,8,227,227,100.0,36008
36,9,217,217,100.0,36009
36,10,169,169,100.0,36010
36,11,261,261,100.0,36011
36,12,178,178,100.0,36012
36,13,261,261,100.0,36013
36,14,211,211,100.0,36014
36,15,214,214,100.0,36015
36,16,355,355,100.0,36016
36,17,227,227,100.0,36017
36,18,277,277,100.0,36018
36,19,402,402,100.0,36019
36,20,328,328,100.0,36020
36,21,376,376,100.0,36021
36,22,348,348,100.0,36022
36,23,121,121,100.0,36023
36,24,247,247,100.0,36024
36,25,180,180,100.0,36025
36,26,253,253,100.0,36026
36,27,149,149,100.0,36027
36,28,206,206,100.0,36028
36,29,230,230,100.0,36029
36,30,289,289,100.0,36030
36,31,262,262,100.0,36031
36,32,226,226,100.0,36032
36,33,187,187,100.0,36033
36,34,183,183,100.0,36034
36,35,307,307,100.0,36035
36,36,217,217,100.0,36036
36,37,207,207,100.0,36037
36,38,162,162,100.0,36038
36,39,266,266,100.0,36039
36,40,276,276,100.0,36040
36,41,197,197,100.0,36041
36,42,210,210,100.0,36042
36,43,185,185,100.0,36043
36,44,256,256,100.0,36044
36,45,231,231,100.0,36045
36,46,205,205,100.0,36046
36,47,167,167,100.0,36047
36,48,255,255,100.0,36048
36,49,304,304,100.0,36049
36,50,194,194,100.0,36050
36,51,278,278,100.0,36051
36,52,220,220,100.0,36052
36,53,169,169,100.0,36053
36,54,301,301,100.0,36054
36,55,302,302,100.0,36055
37,11,147,147,100.0,37011
37,16,291,291,100.0,37016
37,24,248,248,100.0,37024
37,52,3,3,100.0,37052
37,54,265,265,100.0,37054
37,57,121,121,100.0,37057
38,2,184,184,100.0,38002
38,3,186,186,100.0,38003
38,6,217,217,100.0,38006
38,8,182,182,100.0,38008
38,9,227,227,100.0,38009
38,10,226,226,100.0,38010
38,11,193,193,100.0,38011
38,12,256,256,100.0,38012
38,13,241,241,100.0,38013
38,14,191,191,100.0,38014
38,15,175,175,100.0,38015
38,16,260,260,100.0,38016
38,17,197,197,100.0,38017
38,18,205,205,100.0,38018
38,19,248,248,100.0,38019
38,20,304,304,100.0,38020
38,21,235,235,100.0,38021
38,22,228,228,100.0,38022
38,23,172,172,100.0,38023
38,24,166,166,100.0,38024
38,25,237,237,100.0,38025
38,26,188,188,100.0,38026
38,27,150,150,100.0,38027
38,28,180,180,100.0,38028
38,29,203,203,100.0,38029
38,30,241,241,100.0,38030
38,31,267,267,100.0,38031
38,32,242,242,100.0,38032
38,33,204,204,100.0,38033
38,34,159,159,100.0,38034
38,35,249,249,100.0,38035
38,36,218,218,100.0,38036
38,37,260,260,100.0,38037
38,38,296,296,100.0,38038
38,39,212,212,100.0,38039
38,40,183,183,100.0,38040
38,43,249,249,100.0,38043
38,44,241,241,100.0,38044
38,45,273,273,100.0,38045
38,46,212,212,100.0,38046
38,47,196,196,100.0,38047
38,48,213,213,100.0,38048
38,49,196,196,100.0,38049
38,50,250,250,100.0,38050
38,51,178,178,100.0,38051
38,52,227,227,100.0,38052
38,53,57,57,100.0,38053
41,25,142,142,100.0,41025
41,26,159,159,100.0,41026
41,27,119,119,100.0,41027
41,28,241,241,100.0,41028
41,29,142,142,100.0,41029
41,38,234,234,100.0,41038
41,48,201,201,100.0,41048
45,1,220,220,100.0,45001
45,20,41,41,100.0,45020
