ward,precinct,total,James D. Brosnahan,James D. Brosnahan Percent,Jason E. Tabour,Jason E. Tabour Percent,precinct_id
18,19,278,266,95.68,12,4.32,18019
18,24,422,403,95.5,19,4.5,18024
18,25,408,389,95.34,19,4.66,18025
18,26,287,271,94.43,16,5.57,18026
18,30,304,294,96.71,10,3.29,18030
18,32,403,387,96.03,16,3.97,18032
18,34,448,416,92.86,32,7.14,18034
18,45,365,348,95.34,17,4.66,18045
18,46,409,387,94.62,22,5.38,18046
18,51,245,239,97.55,6,2.45,18051
18,52,300,289,96.33,11,3.67,18052
18,53,326,313,96.01,13,3.99,18053
18,62,256,247,96.48,9,3.52,18062
18,63,359,349,97.21,10,2.79,18063
19,9,345,289,83.77,56,16.23,19009
19,56,523,448,85.66,75,14.34,19056
21,15,375,362,96.53,13,3.47,21015
21,29,169,160,94.67,9,5.33,21029
21,35,240,234,97.5,6,2.5,21035
21,36,371,355,95.69,16,4.31,21036
21,57,383,371,96.87,12,3.13,21057
21,73,495,473,95.56,22,4.44,21073
21,75,256,248,96.88,8,3.13,21075
21,76,404,384,95.05,20,4.95,21076
