ward,precinct,total,"Larry R. Rogers, Jr.","Larry R. Rogers, Jr. Percent",precinct_id
2,3,354,354,100.0,02003
2,4,212,212,100.0,02004
2,5,189,189,100.0,02005
2,6,425,425,100.0,02006
2,7,340,340,100.0,02007
2,9,208,208,100.0,02009
2,10,92,92,100.0,02010
2,12,354,354,100.0,02012
2,13,244,244,100.0,02013
2,14,405,405,100.0,02014
2,15,62,62,100.0,02015
2,16,434,434,100.0,02016
2,17,298,298,100.0,02017
2,18,794,794,100.0,02018
2,19,139,139,100.0,02019
2,20,303,303,100.0,02020
2,21,278,278,100.0,02021
2,23,203,203,100.0,02023
2,24,170,170,100.0,02024
2,25,208,208,100.0,02025
2,26,515,515,100.0,02026
2,27,210,210,100.0,02027
2,29,135,135,100.0,02029
2,30,255,255,100.0,02030
2,31,288,288,100.0,02031
2,33,234,234,100.0,02033
2,34,239,239,100.0,02034
2,36,120,120,100.0,02036
2,38,329,329,100.0,02038
2,39,317,317,100.0,02039
2,40,20,20,100.0,02040
2,41,203,203,100.0,02041
2,42,161,161,100.0,02042
2,44,183,183,100.0,02044
2,45,274,274,100.0,02045
2,46,378,378,100.0,02046
2,47,238,238,100.0,02047
2,48,230,230,100.0,02048
2,51,260,260,100.0,02051
2,52,320,320,100.0,02052
2,53,160,160,100.0,02053
2,56,241,241,100.0,02056
2,57,102,102,100.0,02057
3,1,190,190,100.0,03001
3,2,316,316,100.0,03002
3,4,103,103,100.0,03004
3,5,153,153,100.0,03005
3,6,250,250,100.0,03006
3,7,201,201,100.0,03007
3,8,67,67,100.0,03008
3,9,184,184,100.0,03009
3,10,134,134,100.0,03010
3,11,158,158,100.0,03011
3,12,262,262,100.0,03012
3,14,143,143,100.0,03014
3,15,287,287,100.0,03015
3,16,434,434,100.0,03016
3,17,180,180,100.0,03017
3,18,155,155,100.0,03018
3,19,84,84,100.0,03019
3,20,5,5,100.0,03020
3,21,164,164,100.0,03021
3,22,181,181,100.0,03022
3,23,36,36,100.0,03023
3,24,175,175,100.0,03024
3,25,13,13,100.0,03025
3,26,167,167,100.0,03026
3,27,8,8,100.0,03027
3,28,194,194,100.0,03028
3,30,200,200,100.0,03030
