ward,precinct,total,Arthur L. Turner,Arthur L. Turner Percent,precinct_id
2,2,12,12,100.0,02002
2,3,377,377,100.0,02003
2,4,264,264,100.0,02004
2,6,472,472,100.0,02006
2,9,224,224,100.0,02009
2,10,110,110,100.0,02010
2,12,457,457,100.0,02012
2,13,284,284,100.0,02013
2,16,473,473,100.0,02016
2,17,330,330,100.0,02017
2,23,34,34,100.0,02023
2,25,225,225,100.0,02025
2,28,243,243,100.0,02028
2,29,137,137,100.0,02029
2,30,290,290,100.0,02030
2,32,188,188,100.0,02032
2,33,256,256,100.0,02033
2,34,284,284,100.0,02034
2,36,137,137,100.0,02036
2,38,371,371,100.0,02038
2,39,340,340,100.0,02039
2,41,228,228,100.0,02041
2,42,183,183,100.0,02042
2,49,0,0,0.0,02049
2,50,246,246,100.0,02050
2,51,286,286,100.0,02051
11,50,5,5,100.0,11050
12,7,0,0,0.0,12007
22,7,297,297,100.0,22007
22,19,255,255,100.0,22019
22,21,313,313,100.0,22021
24,1,241,241,100.0,24001
24,2,336,336,100.0,24002
24,3,321,321,100.0,24003
24,4,307,307,100.0,24004
24,5,295,295,100.0,24005
24,6,322,322,100.0,24006
24,8,304,304,100.0,24008
24,9,314,314,100.0,24009
24,10,262,262,100.0,24010
24,11,212,212,100.0,24011
24,12,265,265,100.0,24012
24,13,263,263,100.0,24013
24,14,461,461,100.0,24014
24,15,284,284,100.0,24015
24,17,313,313,100.0,24017
24,19,248,248,100.0,24019
24,20,344,344,100.0,24020
24,21,272,272,100.0,24021
24,22,313,313,100.0,24022
24,23,339,339,100.0,24023
24,24,273,273,100.0,24024
24,25,295,295,100.0,24025
24,26,414,414,100.0,24026
24,27,204,204,100.0,24027
24,28,319,319,100.0,24028
24,29,4,4,100.0,24029
24,30,284,284,100.0,24030
24,31,313,313,100.0,24031
24,32,320,320,100.0,24032
24,34,263,263,100.0,24034
24,35,392,392,100.0,24035
24,36,266,266,100.0,24036
24,37,331,331,100.0,24037
24,38,298,298,100.0,24038
24,39,297,297,100.0,24039
24,40,386,386,100.0,24040
24,42,236,236,100.0,24042
24,43,409,409,100.0,24043
24,44,104,104,100.0,24044
24,45,297,297,100.0,24045
24,47,285,285,100.0,24047
24,48,157,157,100.0,24048
24,49,436,436,100.0,24049
24,50,427,427,100.0,24050
24,51,433,433,100.0,24051
24,52,273,273,100.0,24052
24,53,265,265,100.0,24053
24,54,313,313,100.0,24054
24,56,365,365,100.0,24056
24,58,307,307,100.0,24058
25,3,247,247,100.0,25003
25,4,378,378,100.0,25004
25,6,233,233,100.0,25006
25,9,18,18,100.0,25009
25,10,194,194,100.0,25010
25,12,330,330,100.0,25012
25,18,133,133,100.0,25018
25,21,265,265,100.0,25021
25,25,391,391,100.0,25025
25,26,274,274,100.0,25026
25,27,258,258,100.0,25027
25,28,388,388,100.0,25028
25,29,266,266,100.0,25029
25,31,218,218,100.0,25031
27,1,307,307,100.0,27001
27,7,361,361,100.0,27007
27,17,346,346,100.0,27017
27,18,3,3,100.0,27018
27,50,22,22,100.0,27050
27,54,295,295,100.0,27054
27,57,254,254,100.0,27057
27,58,236,236,100.0,27058
28,34,44,44,100.0,28034
28,35,204,204,100.0,28035
28,39,71,71,100.0,28039
28,52,253,253,100.0,28052
28,53,132,132,100.0,28053
28,54,225,225,100.0,28054
28,69,146,146,100.0,28069
28,73,130,130,100.0,28073
42,9,173,173,100.0,42009
42,12,210,210,100.0,42012
42,14,506,506,100.0,42014
42,18,534,534,100.0,42018
42,21,228,228,100.0,42021
42,67,469,469,100.0,42067
42,68,685,685,100.0,42068
42,69,490,490,100.0,42069
