ward,precinct,total,Louis S. Viverito,Louis S. Viverito Percent,Jeffrey P. Malinowski,Jeffrey P. Malinowski Percent,precinct_id
13,1,351,254,72.36,97,27.64,13001
13,2,272,236,86.76,36,13.24,13002
13,4,533,378,70.92,155,29.08,13004
13,5,282,237,84.04,45,15.96,13005
13,6,289,222,76.82,67,23.18,13006
13,7,320,265,82.81,55,17.19,13007
13,8,373,275,73.73,98,26.27,13008
13,9,293,253,86.35,40,13.65,13009
13,10,286,220,76.92,66,23.08,13010
13,11,273,233,85.35,40,14.65,13011
13,12,375,300,80.0,75,20.0,13012
13,13,362,309,85.36,53,14.64,13013
13,14,282,227,80.5,55,19.5,13014
13,15,362,293,80.94,69,19.06,13015
13,16,250,195,78.0,55,22.0,13016
13,17,354,280,79.1,74,20.9,13017
13,21,260,191,73.46,69,26.54,13021
13,22,348,305,87.64,43,12.36,13022
13,23,276,229,82.97,47,17.03,13023
13,24,352,274,77.84,78,22.16,13024
13,25,328,245,74.7,83,25.3,13025
13,27,402,313,77.86,89,22.14,13027
13,28,263,231,87.83,32,12.17,13028
13,29,297,240,80.81,57,19.19,13029
13,32,370,336,90.81,34,9.19,13032
13,33,299,245,81.94,54,18.06,13033
13,34,298,248,83.22,50,16.78,13034
13,35,370,312,84.32,58,15.68,13035
13,36,230,187,81.3,43,18.7,13036
13,37,234,193,82.48,41,17.52,13037
13,38,406,329,81.03,77,18.97,13038
13,39,329,261,79.33,68,20.67,13039
13,40,304,252,82.89,52,17.11,13040
13,41,295,255,86.44,40,13.56,13041
13,42,318,274,86.16,44,13.84,13042
13,43,243,213,87.65,30,12.35,13043
13,44,369,339,91.87,30,8.13,13044
13,45,471,378,80.25,93,19.75,13045
13,46,300,274,91.33,26,8.67,13046
13,48,361,310,85.87,51,14.13,13048
13,49,393,337,85.75,56,14.25,13049
13,50,397,356,89.67,41,10.33,13050
13,51,249,220,88.35,29,11.65,13051
13,52,385,293,76.1,92,23.9,13052
13,53,427,362,84.78,65,15.22,13053
13,54,347,291,83.86,56,16.14,13054
23,1,362,240,66.3,122,33.7,23001
23,2,456,373,81.8,83,18.2,23002
23,3,361,211,58.45,150,41.55,23003
23,4,401,264,65.84,137,34.16,23004
23,7,233,217,93.13,16,6.87,23007
23,8,438,299,68.26,139,31.74,23008
23,11,423,241,56.97,182,43.03,23011
23,12,365,233,63.84,132,36.16,23012
23,13,448,290,64.73,158,35.27,23013
23,14,1,1,100.0,0,0.0,23014
23,15,376,236,62.77,140,37.23,23015
23,16,414,287,69.32,127,30.68,23016
23,17,442,260,58.82,182,41.18,23017
23,18,311,223,71.7,88,28.3,23018
23,19,346,238,68.79,108,31.21,23019
23,20,323,217,67.18,106,32.82,23020
23,21,328,306,93.29,22,6.71,23021
23,22,416,283,68.03,133,31.97,23022
23,23,368,234,63.59,134,36.41,23023
23,26,398,250,62.81,148,37.19,23026
23,27,334,227,67.96,107,32.04,23027
23,28,402,290,72.14,112,27.86,23028
23,30,367,268,73.02,99,26.98,23030
23,34,360,234,65.0,126,35.0,23034
23,35,267,254,95.13,13,4.87,23035
23,36,495,310,62.63,185,37.37,23036
23,37,161,151,93.79,10,6.21,23037
23,38,309,217,70.23,92,29.77,23038
23,39,371,250,67.39,121,32.61,23039
23,40,382,236,61.78,146,38.22,23040
23,42,325,246,75.69,79,24.31,23042
23,43,458,302,65.94,156,34.06,23043
23,44,371,274,73.85,97,26.15,23044
23,45,431,295,68.45,136,31.55,23045
23,46,412,288,69.9,124,30.1,23046
23,47,453,300,66.23,153,33.77,23047
23,48,298,197,66.11,101,33.89,23048
23,49,420,227,54.05,193,45.95,23049
23,52,423,291,68.79,132,31.21,23052
23,54,517,372,71.95,145,28.05,23054
23,55,373,242,64.88,131,35.12,23055
23,56,340,207,60.88,133,39.12,23056
