ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Kurt J. Eckhardt,Kurt J. Eckhardt Percent,precinct_id
40,3,411,371,90.27,40,9.73,40003
40,4,324,280,86.42,44,13.58,40004
40,7,405,355,87.65,50,12.35,40007
40,8,118,87,73.73,31,26.27,40008
40,9,233,199,85.41,34,14.59,40009
40,11,350,307,87.71,43,12.29,40011
40,12,272,226,83.09,46,16.91,40012
40,13,472,409,86.65,63,13.35,40013
40,16,351,310,88.32,41,11.68,40016
40,18,357,314,87.96,43,12.04,40018
40,22,173,145,83.82,28,16.18,40022
40,26,399,360,90.23,39,9.77,40026
40,27,318,275,86.48,43,13.52,40027
40,28,414,349,84.3,65,15.7,40028
40,33,359,300,83.57,59,16.43,40033
40,35,340,271,79.71,69,20.29,40035
40,37,297,257,86.53,40,13.47,40037
40,39,283,233,82.33,50,17.67,40039
40,41,395,340,86.08,55,13.92,40041
40,42,442,374,84.62,68,15.38,40042
40,43,428,378,88.32,50,11.68,40043
40,46,432,368,85.19,64,14.81,40046
40,47,426,379,88.97,47,11.03,40047
41,1,311,208,66.88,103,33.12,41001
41,2,435,270,62.07,165,37.93,41002
41,4,361,235,65.1,126,34.9,41004
41,5,533,355,66.6,178,33.4,41005
41,6,358,225,62.85,133,37.15,41006
41,7,523,345,65.97,178,34.03,41007
41,8,371,231,62.26,140,37.74,41008
41,11,328,209,63.72,119,36.28,41011
41,13,297,202,68.01,95,31.99,41013
41,15,298,206,69.13,92,30.87,41015
41,17,379,253,66.75,126,33.25,41017
41,18,310,207,66.77,103,33.23,41018
41,20,430,301,70.0,129,30.0,41020
41,25,219,150,68.49,69,31.51,41025
41,26,238,154,64.71,84,35.29,41026
41,27,184,136,73.91,48,26.09,41027
41,28,339,237,69.91,102,30.09,41028
41,29,235,164,69.79,71,30.21,41029
41,31,376,247,65.69,129,34.31,41031
41,32,338,194,57.4,144,42.6,41032
41,33,340,207,60.88,133,39.12,41033
41,34,333,193,57.96,140,42.04,41034
41,36,371,247,66.58,124,33.42,41036
41,37,424,279,65.8,145,34.2,41037
41,38,358,255,71.23,103,28.77,41038
41,39,285,181,63.51,104,36.49,41039
41,40,317,203,64.04,114,35.96,41040
41,41,375,242,64.53,133,35.47,41041
41,42,352,204,57.95,148,42.05,41042
41,44,324,225,69.44,99,30.56,41044
41,45,296,229,77.36,67,22.64,41045
41,48,287,213,74.22,74,25.78,41048
41,49,293,167,57.0,126,43.0,41049
41,52,359,212,59.05,147,40.95,41052
41,53,462,301,65.15,161,34.85,41053
41,55,383,227,59.27,156,40.73,41055
41,56,414,290,70.05,124,29.95,41056
41,58,262,167,63.74,95,36.26,41058
41,60,282,189,67.02,93,32.98,41060
41,61,438,291,66.44,147,33.56,41061
41,63,326,222,68.1,104,31.9,41063
41,64,369,239,64.77,130,35.23,41064
44,3,0,0,0.0,0,0.0,44003
44,4,408,348,85.29,60,14.71,44004
44,7,476,358,75.21,118,24.79,44007
44,18,11,8,72.73,3,27.27,44018
44,35,358,282,78.77,76,21.23,44035
44,48,336,267,79.46,69,20.54,44048
44,49,720,576,80.0,144,20.0,44049
46,1,634,548,86.44,86,13.56,46001
46,2,518,475,91.7,43,8.3,46002
46,4,358,309,86.31,49,13.69,46004
46,6,416,356,85.58,60,14.42,46006
46,7,753,632,83.93,121,16.07,46007
46,8,452,382,84.51,70,15.49,46008
