ward,precinct,total,"William """"Willie"""" Delgado","William """"Willie"""" Delgado Percent",precinct_id
26,4,166,166,100.0,26004
26,6,122,122,100.0,26006
26,13,209,209,100.0,26013
26,16,169,169,100.0,26016
26,26,159,159,100.0,26026
26,30,210,210,100.0,26030
26,42,172,172,100.0,26042
26,54,147,147,100.0,26054
26,60,168,168,100.0,26060
26,62,232,232,100.0,26062
29,2,239,239,100.0,29002
29,6,135,135,100.0,29006
29,7,171,171,100.0,29007
29,9,122,122,100.0,29009
29,24,13,13,100.0,29024
29,30,56,56,100.0,29030
29,32,242,242,100.0,29032
29,39,285,285,100.0,29039
29,52,252,252,100.0,29052
29,53,256,256,100.0,29053
29,54,205,205,100.0,29054
30,2,156,156,100.0,30002
30,4,251,251,100.0,30004
30,5,162,162,100.0,30005
30,6,158,158,100.0,30006
30,9,56,56,100.0,30009
30,10,216,216,100.0,30010
30,11,165,165,100.0,30011
30,12,174,174,100.0,30012
30,17,155,155,100.0,30017
30,18,56,56,100.0,30018
30,21,125,125,100.0,30021
30,22,253,253,100.0,30022
30,24,220,220,100.0,30024
30,27,309,309,100.0,30027
30,28,182,182,100.0,30028
30,34,252,252,100.0,30034
30,35,246,246,100.0,30035
30,37,173,173,100.0,30037
30,40,243,243,100.0,30040
30,41,237,237,100.0,30041
30,42,173,173,100.0,30042
31,3,181,181,100.0,31003
31,10,114,114,100.0,31010
31,12,218,218,100.0,31012
31,15,116,116,100.0,31015
31,17,193,193,100.0,31017
31,20,157,157,100.0,31020
31,21,234,234,100.0,31021
31,23,136,136,100.0,31023
31,24,183,183,100.0,31024
31,25,187,187,100.0,31025
31,27,168,168,100.0,31027
31,29,158,158,100.0,31029
31,34,165,165,100.0,31034
31,35,167,167,100.0,31035
31,36,244,244,100.0,31036
31,37,241,241,100.0,31037
31,39,172,172,100.0,31039
31,40,151,151,100.0,31040
31,42,220,220,100.0,31042
31,43,222,222,100.0,31043
31,44,201,201,100.0,31044
31,45,188,188,100.0,31045
31,51,155,155,100.0,31051
35,2,272,272,100.0,35002
35,23,215,215,100.0,35023
35,35,329,329,100.0,35035
36,1,252,252,100.0,36001
36,3,262,262,100.0,36003
36,4,191,191,100.0,36004
36,6,31,31,100.0,36006
36,36,238,238,100.0,36036
36,41,152,152,100.0,36041
36,51,318,318,100.0,36051
36,53,100,100,100.0,36053
37,1,169,169,100.0,37001
37,2,180,180,100.0,37002
37,11,158,158,100.0,37011
37,39,141,141,100.0,37039
37,42,61,61,100.0,37042
37,47,82,82,100.0,37047
37,50,268,268,100.0,37050
37,52,183,183,100.0,37052
38,16,274,274,100.0,38016
38,53,30,30,100.0,38053
