ward,precinct,total,Calvin Giles,Calvin Giles Percent,Glenn L. Harris,Glenn L. Harris Percent,Julie Samuels,Julie Samuels Percent,precinct_id
24,7,315,305,96.83,7,2.22,3,0.95,24007
24,16,285,271,95.09,11,3.86,3,1.05,24016
24,41,280,265,94.64,11,3.93,4,1.43,24041
24,46,398,379,95.23,15,3.77,4,1.01,24046
28,1,316,289,91.46,25,7.91,2,0.63,28001
28,4,377,353,93.63,14,3.71,10,2.65,28004
28,8,194,173,89.18,12,6.19,9,4.64,28008
28,12,311,295,94.86,14,4.5,2,0.64,28012
28,14,230,223,96.96,4,1.74,3,1.3,28014
28,17,275,250,90.91,16,5.82,9,3.27,28017
28,19,404,384,95.05,12,2.97,8,1.98,28019
28,21,362,347,95.86,8,2.21,7,1.93,28021
28,27,264,247,93.56,9,3.41,8,3.03,28027
28,40,324,310,95.68,10,3.09,4,1.23,28040
28,42,261,251,96.17,8,3.07,2,0.77,28042
28,45,236,227,96.19,5,2.12,4,1.69,28045
28,47,236,226,95.76,4,1.69,6,2.54,28047
28,51,277,251,90.61,18,6.5,8,2.89,28051
28,55,318,306,96.23,8,2.52,4,1.26,28055
28,56,276,260,94.2,12,4.35,4,1.45,28056
28,57,201,184,91.54,8,3.98,9,4.48,28057
28,58,208,195,93.75,7,3.37,6,2.88,28058
28,60,246,235,95.53,7,2.85,4,1.63,28060
28,61,158,148,93.67,6,3.8,4,2.53,28061
28,62,313,299,95.53,9,2.88,5,1.6,28062
28,63,322,305,94.72,11,3.42,6,1.86,28063
28,65,290,269,92.76,9,3.1,12,4.14,28065
28,66,272,256,94.12,10,3.68,6,2.21,28066
28,68,298,280,93.96,12,4.03,6,2.01,28068
28,70,197,191,96.95,3,1.52,3,1.52,28070
28,72,157,150,95.54,4,2.55,3,1.91,28072
29,1,370,353,95.41,10,2.7,7,1.89,29001
29,3,466,452,97.0,7,1.5,7,1.5,29003
29,10,332,320,96.39,9,2.71,3,0.9,29010
29,12,449,412,91.76,23,5.12,14,3.12,29012
29,14,458,430,93.89,20,4.37,8,1.75,29014
29,15,413,381,92.25,21,5.08,11,2.66,29015
29,17,337,322,95.55,10,2.97,5,1.48,29017
29,22,297,216,72.73,40,13.47,41,13.8,29022
29,25,424,404,95.28,12,2.83,8,1.89,29025
29,28,528,493,93.37,22,4.17,13,2.46,29028
29,31,377,362,96.02,9,2.39,6,1.59,29031
29,34,303,268,88.45,25,8.25,10,3.3,29034
29,36,396,380,95.96,10,2.53,6,1.52,29036
29,38,348,333,95.69,9,2.59,6,1.72,29038
29,42,461,437,94.79,13,2.82,11,2.39,29042
29,48,308,295,95.78,9,2.92,4,1.3,29048
29,49,454,441,97.14,10,2.2,3,0.66,29049
37,2,0,0,0.0,0,0.0,0,0.0,37002
37,3,8,7,87.5,1,12.5,0,0.0,37003
37,10,348,308,88.51,23,6.61,17,4.89,37010
37,14,388,362,93.3,18,4.64,8,2.06,37014
37,15,399,375,93.98,13,3.26,11,2.76,37015
37,16,443,407,91.87,28,6.32,8,1.81,37016
37,20,286,262,91.61,18,6.29,6,2.1,37020
37,21,301,278,92.36,15,4.98,8,2.66,37021
37,22,451,410,90.91,30,6.65,11,2.44,37022
37,24,355,327,92.11,20,5.63,8,2.25,37024
37,25,418,383,91.63,28,6.7,7,1.67,37025
37,26,196,184,93.88,5,2.55,7,3.57,37026
37,27,321,301,93.77,8,2.49,12,3.74,37027
37,28,283,257,90.81,15,5.3,11,3.89,37028
37,30,271,246,90.77,13,4.8,12,4.43,37030
37,31,409,381,93.15,18,4.4,10,2.44,37031
37,33,346,321,92.77,15,4.34,10,2.89,37033
37,34,329,310,94.22,10,3.04,9,2.74,37034
37,40,413,385,93.22,17,4.12,11,2.66,37040
37,41,370,338,91.35,19,5.14,13,3.51,37041
37,43,250,231,92.4,13,5.2,6,2.4,37043
37,44,316,289,91.46,14,4.43,13,4.11,37044
37,48,380,357,93.95,14,3.68,9,2.37,37048
37,49,342,318,92.98,13,3.8,11,3.22,37049
37,54,394,369,93.65,14,3.55,11,2.79,37054
37,55,314,295,93.95,12,3.82,7,2.23,37055
37,57,184,171,92.93,11,5.98,2,1.09,37057
37,58,307,287,93.49,11,3.58,9,2.93,37058
