ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
1,1,293,222,75.77,71,24.23,01001
1,2,369,299,81.03,70,18.97,01002
1,3,289,234,80.97,55,19.03,01003
1,4,261,216,82.76,45,17.24,01004
1,5,289,239,82.7,50,17.3,01005
1,6,211,169,80.09,42,19.91,01006
1,7,391,314,80.31,77,19.69,01007
1,8,229,178,77.73,51,22.27,01008
1,9,214,159,74.3,55,25.7,01009
1,10,267,224,83.9,43,16.1,01010
1,11,296,237,80.07,59,19.93,01011
1,12,271,236,87.08,35,12.92,01012
1,13,255,192,75.29,63,24.71,01013
1,14,343,294,85.71,49,14.29,01014
1,15,157,122,77.71,35,22.29,01015
1,16,100,74,74.0,26,26.0,01016
1,17,278,225,80.94,53,19.06,01017
1,18,185,145,78.38,40,21.62,01018
1,19,289,226,78.2,63,21.8,01019
1,20,141,107,75.89,34,24.11,01020
1,21,369,298,80.76,71,19.24,01021
1,22,184,138,75.0,46,25.0,01022
1,23,282,221,78.37,61,21.63,01023
1,24,320,243,75.94,77,24.06,01024
1,25,236,190,80.51,46,19.49,01025
1,26,290,236,81.38,54,18.62,01026
1,27,237,191,80.59,46,19.41,01027
1,28,228,175,76.75,53,23.25,01028
1,29,206,167,81.07,39,18.93,01029
1,30,263,201,76.43,62,23.57,01030
1,31,300,247,82.33,53,17.67,01031
1,32,152,113,74.34,39,25.66,01032
1,33,262,205,78.24,57,21.76,01033
1,34,168,133,79.17,35,20.83,01034
1,35,188,155,82.45,33,17.55,01035
1,36,357,301,84.31,56,15.69,01036
1,37,334,266,79.64,68,20.36,01037
1,38,122,98,80.33,24,19.67,01038
1,39,303,221,72.94,82,27.06,01039
1,40,105,78,74.29,27,25.71,01040
2,1,415,335,80.72,80,19.28,02001
2,2,8,7,87.5,1,12.5,02002
2,3,274,219,79.93,55,20.07,02003
2,4,135,102,75.56,33,24.44,02004
2,5,150,116,77.33,34,22.67,02005
2,6,365,315,86.3,50,13.7,02006
2,7,275,229,83.27,46,16.73,02007
2,8,326,271,83.13,55,16.87,02008
2,9,169,142,84.02,27,15.98,02009
2,10,88,66,75.0,22,25.0,02010
2,11,104,89,85.58,15,14.42,02011
2,12,339,279,82.3,60,17.7,02012
2,13,174,134,77.01,40,22.99,02013
2,14,339,289,85.25,50,14.75,02014
2,15,47,41,87.23,6,12.77,02015
2,16,327,263,80.43,64,19.57,02016
2,17,215,168,78.14,47,21.86,02017
2,18,766,637,83.16,129,16.84,02018
2,19,92,61,66.3,31,33.7,02019
2,20,198,163,82.32,35,17.68,02020
2,21,199,166,83.42,33,16.58,02021
2,22,389,317,81.49,72,18.51,02022
2,23,157,132,84.08,25,15.92,02023
2,24,125,110,88.0,15,12.0,02024
2,25,163,134,82.21,29,17.79,02025
2,26,404,318,78.71,86,21.29,02026
2,27,134,110,82.09,24,17.91,02027
2,28,179,151,84.36,28,15.64,02028
2,29,94,82,87.23,12,12.77,02029
2,30,128,97,75.78,31,24.22,02030
2,31,240,192,80.0,48,20.0,02031
2,32,113,89,78.76,24,21.24,02032
2,33,171,137,80.12,34,19.88,02033
2,34,138,111,80.43,27,19.57,02034
2,35,150,119,79.33,31,20.67,02035
2,36,70,54,77.14,16,22.86,02036
2,37,324,272,83.95,52,16.05,02037
2,38,223,173,77.58,50,22.42,02038
2,39,226,183,80.97,43,19.03,02039
2,40,281,236,83.99,45,16.01,02040
2,41,141,111,78.72,30,21.28,02041
2,42,95,79,83.16,16,16.84,02042
2,43,309,258,83.5,51,16.5,02043
2,44,115,89,77.39,26,22.61,02044
2,45,224,167,74.55,57,25.45,02045
2,46,291,247,84.88,44,15.12,02046
2,47,178,138,77.53,40,22.47,02047
2,48,178,139,78.09,39,21.91,02048
2,49,393,330,83.97,63,16.03,02049
2,50,174,141,81.03,33,18.97,02050
2,51,195,153,78.46,42,21.54,02051
2,52,253,208,82.21,45,17.79,02052
2,53,94,77,81.91,17,18.09,02053
2,54,240,187,77.92,53,22.08,02054
2,55,69,60,86.96,9,13.04,02055
2,56,193,167,86.53,26,13.47,02056
2,57,59,46,77.97,13,22.03,02057
2,58,154,131,85.06,23,14.94,02058
2,59,226,192,84.96,34,15.04,02059
3,1,155,125,80.65,30,19.35,03001
3,2,252,217,86.11,35,13.89,03002
3,3,189,153,80.95,36,19.05,03003
3,4,82,64,78.05,18,21.95,03004
3,5,106,93,87.74,13,12.26,03005
3,6,191,132,69.11,59,30.89,03006
3,7,125,97,77.6,28,22.4,03007
3,8,48,30,62.5,18,37.5,03008
3,9,130,106,81.54,24,18.46,03009
3,10,101,81,80.2,20,19.8,03010
3,11,134,107,79.85,27,20.15,03011
3,12,216,171,79.17,45,20.83,03012
3,13,134,92,68.66,42,31.34,03013
3,14,43,32,74.42,11,25.58,03014
3,15,210,186,88.57,24,11.43,03015
3,16,392,344,87.76,48,12.24,03016
3,17,168,140,83.33,28,16.67,03017
3,18,130,103,79.23,27,20.77,03018
3,19,54,38,70.37,16,29.63,03019
3,20,5,5,100.0,0,0.0,03020
3,21,112,89,79.46,23,20.54,03021
3,22,164,140,85.37,24,14.63,03022
3,23,23,18,78.26,5,21.74,03023
3,24,151,131,86.75,20,13.25,03024
3,25,8,5,62.5,3,37.5,03025
3,26,133,106,79.7,27,20.3,03026
3,27,4,3,75.0,1,25.0,03027
3,28,156,100,64.1,56,35.9,03028
3,29,114,86,75.44,28,24.56,03029
3,30,170,144,84.71,26,15.29,03030
3,31,266,221,83.08,45,16.92,03031
3,32,194,165,85.05,29,14.95,03032
3,33,265,200,75.47,65,24.53,03033
3,34,144,116,80.56,28,19.44,03034
3,35,191,157,82.2,34,17.8,03035
3,36,117,91,77.78,26,22.22,03036
3,37,104,87,83.65,17,16.35,03037
3,38,40,36,90.0,4,10.0,03038
3,39,188,168,89.36,20,10.64,03039
3,40,153,130,84.97,23,15.03,03040
3,41,220,182,82.73,38,17.27,03041
3,42,177,135,76.27,42,23.73,03042
3,43,61,57,93.44,4,6.56,03043
3,44,105,81,77.14,24,22.86,03044
3,45,71,58,81.69,13,18.31,03045
3,46,138,110,79.71,28,20.29,03046
3,47,149,122,81.88,27,18.12,03047
3,48,169,143,84.62,26,15.38,03048
3,49,74,58,78.38,16,21.62,03049
3,50,195,150,76.92,45,23.08,03050
3,51,81,57,70.37,24,29.63,03051
3,52,107,83,77.57,24,22.43,03052
3,53,181,151,83.43,30,16.57,03053
3,54,80,68,85.0,12,15.0,03054
3,55,150,111,74.0,39,26.0,03055
3,56,146,118,80.82,28,19.18,03056
3,57,216,172,79.63,44,20.37,03057
3,58,81,67,82.72,14,17.28,03058
3,59,88,69,78.41,19,21.59,03059
3,60,250,198,79.2,52,20.8,03060
3,61,179,155,86.59,24,13.41,03061
3,62,99,78,78.79,21,21.21,03062
3,63,393,323,82.19,70,17.81,03063
4,1,252,228,90.48,24,9.52,04001
4,2,311,272,87.46,39,12.54,04002
4,3,347,287,82.71,60,17.29,04003
4,4,313,242,77.32,71,22.68,04004
4,5,264,226,85.61,38,14.39,04005
4,6,93,81,87.1,12,12.9,04006
4,7,185,153,82.7,32,17.3,04007
4,8,243,200,82.3,43,17.7,04008
4,9,414,365,88.16,49,11.84,04009
4,10,329,270,82.07,59,17.93,04010
4,11,294,245,83.33,49,16.67,04011
4,12,168,132,78.57,36,21.43,04012
