ward,precinct,total,Dorothy A. Brown,Dorothy A. Brown Percent,precinct_id
1,1,467,376,80.51,01001
1,2,610,490,80.33,01002
1,3,486,401,82.51,01003
1,4,425,358,84.24,01004
1,5,536,440,82.09,01005
1,6,365,282,77.26,01006
1,7,623,464,74.48,01007
1,8,424,347,81.84,01008
1,9,325,272,83.69,01009
1,10,398,324,81.41,01010
1,11,524,433,82.63,01011
1,12,489,393,80.37,01012
1,13,427,374,87.59,01013
1,14,596,512,85.91,01014
1,15,298,270,90.6,01015
1,16,217,204,94.01,01016
1,17,517,425,82.21,01017
1,18,332,304,91.57,01018
1,19,473,356,75.26,01019
1,20,325,271,83.38,01020
1,21,668,506,75.75,01021
1,22,394,344,87.31,01022
1,23,501,428,85.43,01023
1,24,518,436,84.17,01024
1,25,428,340,79.44,01025
1,26,493,390,79.11,01026
1,27,445,369,82.92,01027
1,28,445,373,83.82,01028
1,29,356,270,75.84,01029
1,30,522,447,85.63,01030
1,31,508,343,67.52,01031
1,32,319,267,83.7,01032
1,33,496,421,84.88,01033
1,34,290,234,80.69,01034
1,35,318,235,73.9,01035
1,36,565,409,72.39,01036
1,37,524,426,81.3,01037
1,38,233,196,84.12,01038
1,39,492,391,79.47,01039
1,40,187,154,82.35,01040
2,1,629,449,71.38,02001
2,2,15,13,86.67,02002
2,3,442,366,82.81,02003
2,4,318,315,99.06,02004
2,5,239,231,96.65,02005
2,6,558,360,64.52,02006
2,7,436,429,98.39,02007
2,8,517,400,77.37,02008
2,9,261,257,98.47,02009
2,10,126,121,96.03,02010
2,11,191,139,72.77,02011
2,12,557,358,64.27,02012
2,13,331,277,83.69,02013
2,14,469,452,96.38,02014
2,15,82,78,95.12,02015
2,16,541,386,71.35,02016
2,17,379,370,97.63,02017
2,18,1173,828,70.59,02018
2,19,179,176,98.32,02019
2,20,390,372,95.38,02020
2,21,403,356,88.34,02021
2,22,594,452,76.09,02022
2,23,257,236,91.83,02023
2,24,225,217,96.44,02024
2,25,253,208,82.21,02025
2,26,656,529,80.64,02026
2,27,273,268,98.17,02027
2,28,294,192,65.31,02028
2,29,161,136,84.47,02029
2,30,328,322,98.17,02030
2,31,366,359,98.09,02031
2,32,220,218,99.09,02032
2,33,292,285,97.6,02033
2,34,346,335,96.82,02034
2,35,229,177,77.29,02035
2,36,173,170,98.27,02036
2,37,509,391,76.82,02037
2,38,417,390,93.53,02038
2,39,390,332,85.13,02039
2,40,477,413,86.58,02040
2,41,255,247,96.86,02041
2,42,190,164,86.32,02042
2,43,514,422,82.1,02043
2,44,232,228,98.28,02044
2,45,369,356,96.48,02045
2,46,462,449,97.19,02046
