ward,precinct,total,Barack Obama,Barack Obama Percent,Alan Keyes,Alan Keyes Percent,Jerry Kohn,Jerry Kohn Percent,Albert J. Franzen,Albert J. Franzen Percent,precinct_id
1,1,523,458,87.57,50,9.56,11,2.1,4,0.76,01001
1,2,706,638,90.37,54,7.65,10,1.42,4,0.57,01002
1,3,571,510,89.32,49,8.58,6,1.05,6,1.05,01003
1,4,502,463,92.23,31,6.18,5,1.0,3,0.6,01004
1,5,619,554,89.5,43,6.95,16,2.58,6,0.97,01005
1,6,414,343,82.85,61,14.73,4,0.97,6,1.45,01006
1,7,689,596,86.5,75,10.89,9,1.31,9,1.31,01007
1,8,500,450,90.0,34,6.8,7,1.4,9,1.8,01008
1,9,378,335,88.62,33,8.73,4,1.06,6,1.59,01009
1,10,457,417,91.25,30,6.56,8,1.75,2,0.44,01010
1,11,618,558,90.29,45,7.28,8,1.29,7,1.13,01011
1,12,552,490,88.77,55,9.96,6,1.09,1,0.18,01012
1,13,472,417,88.35,41,8.69,10,2.12,4,0.85,01013
1,14,660,600,90.91,51,7.73,7,1.06,2,0.3,01014
1,15,330,300,90.91,21,6.36,4,1.21,5,1.52,01015
1,16,240,225,93.75,11,4.58,4,1.67,0,0.0,01016
1,17,591,541,91.54,43,7.28,6,1.02,1,0.17,01017
1,18,374,340,90.91,22,5.88,3,0.8,9,2.41,01018
1,19,530,444,83.77,63,11.89,10,1.89,13,2.45,01019
1,20,388,328,84.54,47,12.11,10,2.58,3,0.77,01020
1,21,786,688,87.53,81,10.31,13,1.65,4,0.51,01021
1,22,440,385,87.5,42,9.55,11,2.5,2,0.45,01022
1,23,560,506,90.36,38,6.79,12,2.14,4,0.71,01023
1,24,567,507,89.42,46,8.11,11,1.94,3,0.53,01024
1,25,488,427,87.5,49,10.04,8,1.64,4,0.82,01025
1,26,549,478,87.07,62,11.29,5,0.91,4,0.73,01026
1,27,506,439,86.76,51,10.08,12,2.37,4,0.79,01027
1,28,492,438,89.02,38,7.72,13,2.64,3,0.61,01028
1,29,412,349,84.71,47,11.41,14,3.4,2,0.49,01029
1,30,581,517,88.98,52,8.95,8,1.38,4,0.69,01030
1,31,592,513,86.66,57,9.63,12,2.03,10,1.69,01031
1,32,399,357,89.47,28,7.02,12,3.01,2,0.5,01032
1,33,564,494,87.59,55,9.75,12,2.13,3,0.53,01033
1,34,327,284,86.85,35,10.7,3,0.92,5,1.53,01034
1,35,360,312,86.67,43,11.94,2,0.56,3,0.83,01035
1,36,642,551,85.83,71,11.06,13,2.02,7,1.09,01036
1,37,587,515,87.73,56,9.54,8,1.36,8,1.36,01037
1,38,261,238,91.19,15,5.75,8,3.07,0,0.0,01038
1,39,558,475,85.13,62,11.11,15,2.69,6,1.08,01039
1,40,218,193,88.53,14,6.42,4,1.83,7,3.21,01040
2,1,693,572,82.54,96,13.85,17,2.45,8,1.15,02001
2,2,18,17,94.44,0,0.0,0,0.0,1,5.56,02002
2,3,490,432,88.16,46,9.39,5,1.02,7,1.43,02003
2,4,342,330,96.49,7,2.05,1,0.29,4,1.17,02004
2,5,252,238,94.44,12,4.76,2,0.79,0,0.0,02005
2,6,624,518,83.01,93,14.9,8,1.28,5,0.8,02006
2,7,458,447,97.6,9,1.97,1,0.22,1,0.22,02007
2,8,560,476,85.0,74,13.21,5,0.89,5,0.89,02008
2,9,266,256,96.24,8,3.01,2,0.75,0,0.0,02009
2,10,129,119,92.25,8,6.2,2,1.55,0,0.0,02010
2,11,206,176,85.44,26,12.62,2,0.97,2,0.97,02011
2,12,631,516,81.77,94,14.9,15,2.38,6,0.95,02012
2,13,379,343,90.5,29,7.65,5,1.32,2,0.53,02013
2,14,487,467,95.89,17,3.49,0,0.0,3,0.62,02014
2,15,96,95,98.96,1,1.04,0,0.0,0,0.0,02015
2,16,600,519,86.5,63,10.5,12,2.0,6,1.0,02016
2,17,412,390,94.66,20,4.85,2,0.49,0,0.0,02017
2,18,1288,1070,83.07,183,14.21,20,1.55,15,1.16,02018
2,19,208,198,95.19,5,2.4,5,2.4,0,0.0,02019
2,20,440,415,94.32,20,4.55,4,0.91,1,0.23,02020
2,21,436,408,93.58,24,5.5,4,0.92,0,0.0,02021
2,22,645,559,86.67,72,11.16,2,0.31,12,1.86,02022
2,23,273,258,94.51,13,4.76,1,0.37,1,0.37,02023
2,24,247,233,94.33,13,5.26,1,0.4,0,0.0,02024
