ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,Bruce Best,Bruce Best Percent,precinct_id
1,7,33,25,75.76,8,24.24,01007
1,28,190,144,75.79,46,24.21,01028
29,2,257,210,81.71,47,18.29,29002
29,9,158,123,77.85,35,22.15,29009
29,24,136,121,88.97,15,11.03,29024
29,32,258,205,79.46,53,20.54,29032
29,53,128,113,88.28,15,11.72,29053
29,54,231,186,80.52,45,19.48,29054
30,1,258,200,77.52,58,22.48,30001
30,2,182,143,78.57,39,21.43,30002
30,3,377,311,82.49,66,17.51,30003
30,7,233,193,82.83,40,17.17,30007
30,8,297,236,79.46,61,20.54,30008
30,9,257,209,81.32,48,18.68,30009
30,10,241,209,86.72,32,13.28,30010
30,11,192,159,82.81,33,17.19,30011
30,12,188,155,82.45,33,17.55,30012
30,13,282,220,78.01,62,21.99,30013
30,14,120,98,81.67,22,18.33,30014
30,15,251,201,80.08,50,19.92,30015
30,16,292,234,80.14,58,19.86,30016
30,17,136,106,77.94,30,22.06,30017
30,25,44,35,79.55,9,20.45,30025
30,28,199,162,81.41,37,18.59,30028
30,30,274,233,85.04,41,14.96,30030
30,34,257,208,80.93,49,19.07,30034
30,37,205,156,76.1,49,23.9,30037
30,38,353,301,85.27,52,14.73,30038
30,39,280,236,84.29,44,15.71,30039
30,40,254,216,85.04,38,14.96,30040
30,42,193,150,77.72,43,22.28,30042
31,3,207,167,80.68,40,19.32,31003
31,8,169,143,84.62,26,15.38,31008
31,9,215,191,88.84,24,11.16,31009
31,15,129,108,83.72,21,16.28,31015
31,16,79,66,83.54,13,16.46,31016
31,19,181,149,82.32,32,17.68,31019
31,26,147,115,78.23,32,21.77,31026
31,28,195,170,87.18,25,12.82,31028
31,29,174,147,84.48,27,15.52,31029
31,32,188,163,86.7,25,13.3,31032
31,33,171,136,79.53,35,20.47,31033
31,35,52,48,92.31,4,7.69,31035
31,38,116,101,87.07,15,12.93,31038
31,41,186,154,82.8,32,17.2,31041
31,43,241,183,75.93,58,24.07,31043
31,45,216,176,81.48,40,18.52,31045
31,46,188,158,84.04,30,15.96,31046
31,47,237,199,83.97,38,16.03,31047
31,48,169,142,84.02,27,15.98,31048
31,50,246,189,76.83,57,23.17,31050
32,7,466,329,70.6,137,29.4,32007
32,8,636,432,67.92,204,32.08,32008
32,9,705,554,78.58,151,21.42,32009
32,10,519,363,69.94,156,30.06,32010
32,13,274,192,70.07,82,29.93,32013
32,15,423,334,78.96,89,21.04,32015
32,18,496,341,68.75,155,31.25,32018
32,19,425,362,85.18,63,14.82,32019
32,20,499,352,70.54,147,29.46,32020
32,21,407,335,82.31,72,17.69,32021
32,22,579,467,80.66,112,19.34,32022
32,23,497,373,75.05,124,24.95,32023
32,24,499,333,66.73,166,33.27,32024
32,25,398,337,84.67,61,15.33,32025
32,27,435,324,74.48,111,25.52,32027
32,30,481,325,67.57,156,32.43,32030
32,32,522,336,64.37,186,35.63,32032
32,37,480,352,73.33,128,26.67,32037
32,38,530,413,77.92,117,22.08,32038
32,39,640,417,65.16,223,34.84,32039
32,40,545,415,76.15,130,23.85,32040
32,41,545,425,77.98,120,22.02,32041
32,42,593,466,78.58,127,21.42,32042
32,43,511,354,69.28,157,30.72,32043
32,44,252,189,75.0,63,25.0,32044
32,45,427,329,77.05,98,22.95,32045
32,47,498,318,63.86,180,36.14,32047
32,48,692,467,67.49,225,32.51,32048
32,49,466,335,71.89,131,28.11,32049
32,50,84,48,57.14,36,42.86,32050
33,5,190,154,81.05,36,18.95,33005
33,7,329,278,84.5,51,15.5,33007
33,10,356,317,89.04,39,10.96,33010
33,14,339,289,85.25,50,14.75,33014
33,16,89,68,76.4,21,23.6,33016
33,18,164,135,82.32,29,17.68,33018
33,22,265,242,91.32,23,8.68,33022
33,23,474,407,85.86,67,14.14,33023
33,24,309,263,85.11,46,14.89,33024
33,25,539,448,83.12,91,16.88,33025
33,28,358,312,87.15,46,12.85,33028
33,29,367,318,86.65,49,13.35,33029
33,34,275,237,86.18,38,13.82,33034
35,22,153,132,86.27,21,13.73,35022
35,33,331,277,83.69,54,16.31,35033
36,1,335,261,77.91,74,22.09,36001
36,2,288,234,81.25,54,18.75,36002
36,3,353,314,88.95,39,11.05,36003
36,5,257,204,79.38,53,20.62,36005
36,6,335,260,77.61,75,22.39,36006
36,7,282,199,70.57,83,29.43,36007
36,8,334,242,72.46,92,27.54,36008
36,9,328,245,74.7,83,25.3,36009
36,10,229,179,78.17,50,21.83,36010
36,11,407,304,74.69,103,25.31,36011
36,12,235,175,74.47,60,25.53,36012
36,13,460,384,83.48,76,16.52,36013
36,14,367,300,81.74,67,18.26,36014
36,15,349,274,78.51,75,21.49,36015
36,16,464,393,84.7,71,15.3,36016
36,17,290,200,68.97,90,31.03,36017
36,18,364,238,65.38,126,34.62,36018
36,19,447,408,91.28,39,8.72,36019
36,20,458,343,74.89,115,25.11,36020
36,21,508,387,76.18,121,23.82,36021
36,22,469,355,75.69,114,24.31,36022
36,25,261,196,75.1,65,24.9,36025
36,26,382,279,73.04,103,26.96,36026
36,27,182,129,70.88,53,29.12,36027
36,28,331,239,72.21,92,27.79,36028
36,29,313,249,79.55,64,20.45,36029
36,30,400,286,71.5,114,28.5,36030
36,31,380,300,78.95,80,21.05,36031
36,32,329,249,75.68,80,24.32,36032
36,33,98,83,84.69,15,15.31,36033
36,34,260,171,65.77,89,34.23,36034
36,35,415,323,77.83,92,22.17,36035
36,36,279,230,82.44,49,17.56,36036
36,37,282,202,71.63,80,28.37,36037
36,38,211,175,82.94,36,17.06,36038
36,39,338,244,72.19,94,27.81,36039
36,40,406,315,77.59,91,22.41,36040
36,41,277,209,75.45,68,24.55,36041
36,42,288,216,75.0,72,25.0,36042
