ward,precinct,total,Edward J. Acevedo,Edward J. Acevedo Percent,precinct_id
11,1,273,273,100.0,11001
11,2,274,274,100.0,11002
11,4,262,262,100.0,11004
11,5,191,191,100.0,11005
11,6,340,340,100.0,11006
11,7,217,217,100.0,11007
11,8,263,263,100.0,11008
11,9,194,194,100.0,11009
11,10,155,155,100.0,11010
11,11,323,323,100.0,11011
11,16,276,276,100.0,11016
11,17,346,346,100.0,11017
11,18,158,158,100.0,11018
11,19,253,253,100.0,11019
11,20,146,146,100.0,11020
11,21,220,220,100.0,11021
11,22,166,166,100.0,11022
11,24,344,344,100.0,11024
11,25,149,149,100.0,11025
11,26,342,342,100.0,11026
11,29,297,297,100.0,11029
11,30,270,270,100.0,11030
11,38,332,332,100.0,11038
11,40,148,148,100.0,11040
11,41,130,130,100.0,11041
11,44,238,238,100.0,11044
11,45,130,130,100.0,11045
11,47,227,227,100.0,11047
11,50,196,196,100.0,11050
12,1,127,127,100.0,12001
12,7,88,88,100.0,12007
12,8,252,252,100.0,12008
12,9,10,10,100.0,12009
12,14,139,139,100.0,12014
12,15,175,175,100.0,12015
12,16,64,64,100.0,12016
12,18,238,238,100.0,12018
12,22,169,169,100.0,12022
22,1,164,164,100.0,22001
22,29,139,139,100.0,22029
24,57,266,266,100.0,24057
25,1,271,271,100.0,25001
25,2,396,396,100.0,25002
25,5,307,307,100.0,25005
25,7,292,292,100.0,25007
25,8,352,352,100.0,25008
25,9,347,347,100.0,25009
25,11,316,316,100.0,25011
25,13,348,348,100.0,25013
25,15,299,299,100.0,25015
25,17,436,436,100.0,25017
25,19,339,339,100.0,25019
25,20,352,352,100.0,25020
25,22,185,185,100.0,25022
25,23,381,381,100.0,25023
25,24,379,379,100.0,25024
25,30,330,330,100.0,25030
28,29,244,244,100.0,28029
28,38,119,119,100.0,28038
28,69,0,0,0.0,28069
