ward,precinct,total,Michael Tashman,Michael Tashman Percent,Rosemary Mulligan,Rosemary Mulligan Percent,precinct_id
41,13,199,96,48.24,103,51.76,41013
41,25,222,116,52.25,106,47.75,41025
41,26,231,112,48.48,119,51.52,41026
41,28,333,184,55.26,149,44.74,41028
41,29,225,126,56.0,99,44.0,41029
41,32,351,138,39.32,213,60.68,41032
41,38,356,200,56.18,156,43.82,41038
41,48,287,163,56.79,124,43.21,41048
41,55,44,18,40.91,26,59.09,41055
