ward,precinct,total,"William """"Will"""" Davis","William """"Will"""" Davis Percent",precinct_id
9,4,418,418,100.0,09004
9,6,347,347,100.0,09006
9,18,309,309,100.0,09018
9,19,425,425,100.0,09019
9,30,263,263,100.0,09030
9,39,349,349,100.0,09039
9,45,411,411,100.0,09045
9,53,186,186,100.0,09053
34,3,15,15,100.0,34003
34,6,264,264,100.0,34006
34,35,483,483,100.0,34035
34,65,138,138,100.0,34065
